model,group,deleted_symbol,rows,coverage,paired_difference_bps
admission_only,cycle_04|state4,SOFI,106,0.0,10.994175214880563
admission_only,cycle_04|state4,WULF,104,0.0,26.065880723492082
admission_only,cycle_07|state5,AAL,282,0.0,-104.49460675523828
admission_only,cycle_07|state5,AAOI,280,0.0,-108.39538559915387
admission_only,cycle_07|state5,APLD,268,0.0,-104.97348237061786
admission_only,cycle_07|state5,ASTS,278,0.0,-107.36222411550949
admission_only,cycle_07|state5,CIFR,273,0.0,-108.40046394258844
admission_only,cycle_07|state5,HIMS,281,0.0,-103.5524101293694
admission_only,cycle_07|state5,IONQ,265,0.0,-97.12043081070159
admission_only,cycle_07|state5,IREN,257,0.0,-98.42802295367318
admission_only,cycle_07|state5,MARA,273,0.0,-94.44558435228645
admission_only,cycle_07|state5,MP,285,0.0,-102.33452114523531
admission_only,cycle_07|state5,MRNA,281,0.0,-105.64542549005938
admission_only,cycle_07|state5,MSTR,265,0.0,-112.31418503151255
admission_only,cycle_07|state5,NVTS,280,0.0,-101.67026485998322
admission_only,cycle_07|state5,QBTS,276,0.0,-100.48109214155257
admission_only,cycle_07|state5,RGTI,277,0.0,-87.53054042830031
admission_only,cycle_07|state5,RIOT,273,0.0,-93.39121928188715
admission_only,cycle_07|state5,RIVN,281,0.0,-102.09216074328302
admission_only,cycle_07|state5,SMCI,264,0.0,-113.77284669692301
admission_only,cycle_07|state5,SOFI,275,0.0,-106.84730546607895
admission_only,cycle_07|state5,WULF,277,0.0,-103.33916515195399
admission_plus_causal_route_probabilities,pooled,AAL,390,0.0,-71.35601736315537
admission_plus_causal_route_probabilities,pooled,AAOI,387,0.0,-72.49165161264648
admission_plus_causal_route_probabilities,pooled,APLD,376,0.0,-70.55804265382272
admission_plus_causal_route_probabilities,pooled,ASTS,382,0.0,-75.37198431100575
admission_plus_causal_route_probabilities,pooled,CIFR,376,0.0,-74.98552552091378
admission_plus_causal_route_probabilities,pooled,HIMS,387,0.0,-70.85341335816116
admission_plus_causal_route_probabilities,pooled,IONQ,376,0.0,-63.648649614620844
admission_plus_causal_route_probabilities,pooled,IREN,365,0.0,-64.59343281177259
admission_plus_causal_route_probabilities,pooled,MARA,377,0.0,-64.29691097375482
admission_plus_causal_route_probabilities,pooled,MP,384,0.0,-72.71674248402395
admission_plus_causal_route_probabilities,pooled,MRNA,386,0.0,-72.96471372832237
admission_plus_causal_route_probabilities,pooled,MSTR,377,0.0,-74.44168755544543
admission_plus_causal_route_probabilities,pooled,NVTS,386,0.0,-70.20646423353894
admission_plus_causal_route_probabilities,pooled,QBTS,388,0.0,-67.09803764464073
admission_plus_causal_route_probabilities,pooled,RGTI,386,0.0,-58.78327962094541
admission_plus_causal_route_probabilities,pooled,RIOT,373,0.0,-65.43059505843632
admission_plus_causal_route_probabilities,pooled,RIVN,386,0.0,-70.0826408411662
admission_plus_causal_route_probabilities,pooled,SMCI,375,0.0,-75.1602920361391
admission_plus_causal_route_probabilities,pooled,SOFI,381,0.0,-74.06201162833169
admission_plus_causal_route_probabilities,pooled,WULF,381,0.0,-68.0160030232233
admission_plus_causal_route_probabilities,cycle_04|state4,AAL,108,0.0,15.172521605061162
admission_plus_causal_route_probabilities,cycle_04|state4,AAOI,107,0.0,21.46204480064392
admission_plus_causal_route_probabilities,cycle_04|state4,APLD,108,0.0,14.84323368044668
admission_plus_causal_route_probabilities,cycle_04|state4,ASTS,104,0.0,10.14038747411001
admission_plus_causal_route_probabilities,cycle_04|state4,CIFR,103,0.0,13.580282140418092
admission_plus_causal_route_probabilities,cycle_04|state4,HIMS,106,0.0,15.829776195702195
admission_plus_causal_route_probabilities,cycle_04|state4,IONQ,111,0.0,16.261458646292606
admission_plus_causal_route_probabilities,cycle_04|state4,IREN,108,0.0,15.92036039626863
admission_plus_causal_route_probabilities,cycle_04|state4,MARA,104,0.0,14.843356644890726
admission_plus_causal_route_probabilities,cycle_04|state4,MP,99,0.0,12.546559722493543
admission_plus_causal_route_probabilities,cycle_04|state4,MRNA,105,0.0,14.495095843564396
admission_plus_causal_route_probabilities,cycle_04|state4,MSTR,112,0.0,15.16734665132054
admission_plus_causal_route_probabilities,cycle_04|state4,NVTS,106,0.0,12.905461949521419
admission_plus_causal_route_probabilities,cycle_04|state4,QBTS,112,0.0,15.16734665132054
admission_plus_causal_route_probabilities,cycle_04|state4,RGTI,109,0.0,14.27168591701153
admission_plus_causal_route_probabilities,cycle_04|state4,RIOT,100,0.0,10.901909071584507
admission_plus_causal_route_probabilities,cycle_04|state4,RIVN,105,0.0,15.580931468308323
admission_plus_causal_route_probabilities,cycle_04|state4,SMCI,111,0.0,16.674973103022662
admission_plus_causal_route_probabilities,cycle_04|state4,SOFI,106,0.0,10.994175214880563
admission_plus_causal_route_probabilities,cycle_04|state4,WULF,104,0.0,26.065880723492082
admission_plus_causal_route_probabilities,cycle_07|state5,AAL,282,0.0,-104.49460675523828
admission_plus_causal_route_probabilities,cycle_07|state5,AAOI,280,0.0,-108.39538559915387
admission_plus_causal_route_probabilities,cycle_07|state5,APLD,268,0.0,-104.97348237061786
admission_plus_causal_route_probabilities,cycle_07|state5,ASTS,278,0.0,-107.36222411550949
admission_plus_causal_route_probabilities,cycle_07|state5,CIFR,273,0.0,-108.40046394258844
admission_plus_causal_route_probabilities,cycle_07|state5,HIMS,281,0.0,-103.5524101293694
admission_plus_causal_route_probabilities,cycle_07|state5,IONQ,265,0.0,-97.12043081070159
admission_plus_causal_route_probabilities,cycle_07|state5,IREN,257,0.0,-98.42802295367318
admission_plus_causal_route_probabilities,cycle_07|state5,MARA,273,0.0,-94.44558435228645
admission_plus_causal_route_probabilities,cycle_07|state5,MP,285,0.0,-102.33452114523531
admission_plus_causal_route_probabilities,cycle_07|state5,MRNA,281,0.0,-105.64542549005938
admission_plus_causal_route_probabilities,cycle_07|state5,MSTR,265,0.0,-112.31418503151255
admission_plus_causal_route_probabilities,cycle_07|state5,NVTS,280,0.0,-101.67026485998322
admission_plus_causal_route_probabilities,cycle_07|state5,QBTS,276,0.0,-100.48109214155257
admission_plus_causal_route_probabilities,cycle_07|state5,RGTI,277,0.0,-87.53054042830031
admission_plus_causal_route_probabilities,cycle_07|state5,RIOT,273,0.0,-93.39121928188715
admission_plus_causal_route_probabilities,cycle_07|state5,RIVN,281,0.0,-102.09216074328302
admission_plus_causal_route_probabilities,cycle_07|state5,SMCI,264,0.0,-113.77284669692301
admission_plus_causal_route_probabilities,cycle_07|state5,SOFI,275,0.0,-106.84730546607895
admission_plus_causal_route_probabilities,cycle_07|state5,WULF,277,0.0,-103.33916515195399
