period,symbol,rows,sessions,first_timestamp,last_timestamp,atr14_available
2024,AAL,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19442
2024,AAOI,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19411
2024,APLD,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19456
2024,ASTS,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19422
2024,CIFR,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19456
2024,HIMS,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19473
2024,IONQ,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19458
2024,IREN,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19472
2024,MARA,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19442
2024,MP,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19473
2024,MRNA,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19456
2024,MSTR,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19351
2024,NVTS,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19441
2024,QBTS,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19308
2024,RGTI,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19244
2024,RIOT,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19457
2024,RIVN,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19457
2024,SMCI,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19457
2024,SOFI,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19457
2024,WULF,19551,252,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00,19364
