candidate_id,trajectory_representation,origin_definition,distance_metric,departure_threshold,confirmation_bars,velocity_condition,return_ratio,rotation_persistence,event_definition_hash,cross_lineage_same_family_fraction,unique_event_count,stock_count,month_count,maximum_stock_share,maximum_month_share,class_entropy,maximum_quarter_share_range_pp,median_onset_to_resolution_bars,median_first_detectable_to_resolution_bars,eligible_fraction,selected,selection_uses_validation,selection_uses_prediction_accuracy,run_id,git_sha,contract_hash,data_snapshot_hash,panel_hash,implementation_source_hash,state_model_version,state_model_hash,model_lineage,symbol,session,segment_id,timestamp,state,age,source_artifact,source_hash,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,part_b_interaction_scoring_enabled,semantic_dictionary_promotion_enabled
E_A3_Q80_C1_R35_ROT2,E,ORIGIN_A_W3,DIAGONAL,2.5323162518,1,False,0.35,2,eb07e6ac0588cec484ea1e5559054e291077f87573b027aace0dabf860bf405d,1,26738,22,12,0.0606253272496,0.0975390829531,1.07801310209,4.14644870843,5,5,0.889734162696,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A3_Q90_C2_R50_ROT3,E,ORIGIN_A_W3,DIAGONAL,2.92485762677,2,False,0.5,3,061ca81f8b1526894de9335849b8e011c759879ce8b3d3f308e6d26615019a5b,1,9292,22,12,0.0782393456737,0.102346104176,1.65347899163,6.55979402077,8,9,0.889734162696,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A6_Q80_C2_R50_ROT2,E,ORIGIN_A_W6,DIAGONAL,2.65894972599,2,False,0.5,2,82245547018209a73d2264a56f221e33cb6c5c3663df8ec89a99ee2afa322e46,1,15745,22,12,0.0637662750079,0.0967926325818,1.23429528751,6.43531200516,5,6,0.845705080043,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A6_Q90_C1V_R35_ROT2,E,ORIGIN_A_W6,DIAGONAL,3.03897049781,1,True,0.35,2,fae5dff654a1b8b9d81430504f23d0a83fc9f18682df5fcb1737cf3510982731,1,13551,22,12,0.0688510073057,0.0952697217917,1.40630247444,5.85242375463,9,9,0.845705080043,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A6_Q90_C2_R50_ROT3,E,ORIGIN_A_W6,DIAGONAL,3.03897049781,2,False,0.5,3,9fe03e2a432e6bbcebb4128b8ee1317056e3e327be6bf5975887dad55f14cc89,1,7780,22,12,0.0759640102828,0.101670951157,1.74060679776,9.21294604798,9,10,0.845705080043,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A6_Q95_C2_R65_ROT3,E,ORIGIN_A_W6,DIAGONAL,3.40305113785,2,False,0.65,3,1f5e28d6eb548790cc976f4b60afceb61a27f06e6be9f440bf29a4296dd51b3a,1,4255,22,12,0.0991774383079,0.100587544066,1.44259141432,6.71974295888,5,6,0.845705080043,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A12_Q80_C2_R50_ROT2,E,ORIGIN_A_W12,DIAGONAL,2.80430168371,2,False,0.5,2,a574c65a5f49c1404177f1bc4cfd88aeacbd54b669cf315d24ae01074aab7535,1,12099,22,12,0.0629804116043,0.0988511447227,1.37297117871,6.06804922179,6,7,0.764924643709,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A12_Q90_C2_R50_ROT3,E,ORIGIN_A_W12,DIAGONAL,3.1780300613,2,False,0.5,3,2a71ada549bcd80a621f72fd256745d033966de3f3d19e4298a65c28e3944c4f,1,6064,22,12,0.0725593667546,0.0979551451187,1.75939711691,6.37949886949,10,11,0.764924643709,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_B6_Q90_C2_R50_ROT3,E,ORIGIN_B_STABLE_W6,DIAGONAL,2.79376004318,2,False,0.5,3,323f2f051145a0e304d1b21f7e2e52f318b9d2fd807c1b76885b2fee0e057b62,1,3794,22,12,0.0727464417501,0.107538218239,1.55138102939,6.21407295468,8,9,0.233970743058,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
P_A6_Q90_C2_R50_ROT3,P,ORIGIN_A_W6,JENSEN_SHANNON,0.78144161659,2,False,0.5,3,a9a0d6093b405bb08a6a4e82a7830b5c1767af4d8dc551d85c074ac73a2f7053,0.215984776403,11561,22,12,0.0556180261223,0.102586281464,1.32429610513,4.68222031847,6,7,0.845705080043,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
H_A6_Q90_C2_R50_ROT3,H,ORIGIN_A_W6,EQUAL_WEIGHT_HYBRID,0.927428667297,2,False,0.5,3,6080e985d515ce9b34e2c263eaa3701d8a1372d0c1779c581404a3705b6e358f,0.446027223805,9477,22,12,0.0574021314762,0.100242692835,1.50080626624,7.84751777541,7,8,0.845705080043,False,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
E_A6_MAH_Q90_C2_R50_ROT3,E,ORIGIN_A_W6,SHRINKAGE_MAHALANOBIS,9.58689417122,2,False,0.5,3,3d18758a31681b77780fcb2c33646e3956daafb8b5d6789b069d665f9e05c80f,1,9540,22,12,0.0537735849057,0.0968553459119,0.90351420962,1.72764433883,24,25,0.845705080043,True,False,False,5592b30b8c4f3909d75c67cc,91996a9cf747a614ff6d9e08eaafc3583a58b91c,0bc8ac397792a0b665e0e9b1972bf539bd5ab964a296a6dedd8648fcf7741a44,2b2efafb8d7c0cebbd7b392493ecbc0a279f71ee1d4f74197e18d99ecd8c43a7,801c0bf9d69ecdd58b21fb2ba4392137048b466668344ebfc4c8faf6a0d3e2f1,7c8d4f606dc0e46e80d69390a4c1e6e30c3215b09ec2191a2b5fe7195f583a84,cluster_invariant_excursion_event_model_v1,4fc1a02dce9ac2311dabaeb4623a559d37286dfe58baffef53828cc7415a3425,MODEL_FULL_REFIT,not_applicable,not_applicable,not_applicable,not_applicable,-1,-1,not_applicable,not_applicable,True,False,disabled,False,False,False,False,False,False,False
