model,rows,sessions,target_rate,raw_log_loss,raw_brier,raw_auc,mean_raw_probability,mean_calibrated_probability,mean_calibration_support
context_only,1645,68,0.4316109422492401,0.6878236564606536,0.2473913612578183,0.5343194998870227,0.4420714203478982,0.4355805107111006,500.0
context_plus_loop_mixture,1645,68,0.4316109422492401,0.69291596306484,0.2496342562803028,0.5298079385403329,0.44092418140209555,0.436853344981769,500.0
prediction_only,1645,68,0.4316109422492401,0.6917903057872082,0.24911553201469352,0.49475408601340665,0.4403298645999797,0.43269266937250117,500.0
sequential_confirmation,3300,68,0.41575757575757577,0.6745883137054273,0.24045089548395002,0.5878404636899217,0.41384348691778905,0.4087747911003725,300.0
