scope,route_resolution_state,rows,sessions,stock_sessions,stocks,months,weight_sum,mean_absolute_log_return_15m,median_absolute_log_return_15m,mean_iv_expected_absolute_15m,mean_iv_absolute_residual_15m,median_iv_absolute_residual_15m,mean_iv_sigma_ratio_15m,exceed_iv_expected_rate,exceed_one_iv_sigma_rate,mean_realised_range_15m,mean_maximum_absolute_excursion_15m,mean_realised_variance_15m,absolute_log_return_10m_available_rows,mean_absolute_log_return_10m,absolute_log_return_30m_available_rows,mean_absolute_log_return_30m,absolute_log_return_60m_available_rows,mean_absolute_log_return_60m,registered_completion_in_bars_2_or_3_rows,registered_completion_in_bars_2_or_3_rate,movement_before_completion_available_rows,mean_movement_before_completion,movement_from_completion_to_horizon_end_available_rows,mean_movement_from_completion_to_horizon_end
pooled,BROAD_CONFLICT,18,3,5,2,3,0.09258771929824561,0.004599332000781422,0.002613700850399991,0.00546495394441969,-0.0008656219436382681,-0.002688636525383453,0.6925825217227621,0.18379914732354335,0.1459024159166272,0.007990588268099287,0.006659254317545318,5.0919064321355864e-05,18,0.00366447028202903,18,0.005286807673301399,13,0.010272355833155073,1,0.0675035528185694,1,0.001772417721369358,1,0.00012520973554836748
pooled,LOW_ROUTE_SUPPORT,19,3,7,3,3,0.10069548872180449,0.005689866536902936,0.0033437892327273597,0.007849639383443985,-0.0021597728465410494,-0.003153723391725184,0.4998661978728077,0.19028062970568108,0.10515835977848301,0.01350988587324875,0.010362588624289225,0.00010785787509264836,19,0.0043510345552299065,18,0.007972400357940355,13,0.010802730415022723,0,0.0,0,,0,
pooled,NARROWING,1,1,1,1,1,0.0035714285714285713,0.013264750613551401,0.013264750613551403,0.013489564183585035,-0.0002248135700336322,-0.0002248135700336322,0.7845872241248514,0.0,0.0,0.029631651620958963,0.016188729732469664,0.00029958659123976723,1,0.001482728328186295,1,0.02201116333142352,1,0.006654369346634373,0,0.0,0,,0,
pooled,OTHER,48,3,8,3,3,0.21104010025062658,0.00886773901697174,0.005311466672720131,0.008693833435361632,0.0001739055816101082,-0.001426112143282597,0.8050230427876025,0.36781267937375056,0.3007145260574391,0.016508412909839287,0.01378595979751221,0.00015574098797688576,48,0.007151450952771113,46,0.013063635412249591,40,0.02085797373880735,0,0.0,0,,0,
development,BROAD_CONFLICT,10,2,3,2,2,0.057499999999999996,0.0035159808378977067,0.003245130982207189,0.005862627894487242,-0.002346647056589535,-0.002499382701433921,0.5158541906108087,0.1739130434782609,0.1739130434782609,0.0064769321180546905,0.00501403065112199,1.3269252344023923e-05,10,0.0019675171214935893,10,0.004426428386535152,8,0.007740909225291455,1,0.10869565217391305,1,0.001772417721369358,1,0.00012520973554836748
development,LOW_ROUTE_SUPPORT,13,2,5,3,2,0.07964285714285714,0.005481198870139496,0.0030674870678618345,0.008008091465869569,-0.0025268925957300735,-0.0031887896477505156,0.44655997411076026,0.15246636771300448,0.04484304932735426,0.01081738960514209,0.009078960339122989,8.117323176391999e-05,13,0.004047023852127439,13,0.007284119784370064,10,0.010094989698649722,0,0.0,0,,0,
development,NARROWING,1,1,1,1,1,0.0035714285714285713,0.013264750613551401,0.013264750613551403,0.013489564183585035,-0.0002248135700336322,-0.0002248135700336322,0.7845872241248514,0.0,0.0,0.029631651620958963,0.016188729732469664,0.00029958659123976723,1,0.001482728328186295,1,0.02201116333142352,1,0.006654369346634373,0,0.0,0,,0,
development,OTHER,23,2,5,3,2,0.10928571428571429,0.009368230063609017,0.006921420573581788,0.010702379353482852,-0.0013341492898738345,-0.003952921831669245,0.6382130529632015,0.3464052287581699,0.28104575163398693,0.01671382386737115,0.014567626053788262,0.0001321588357758616,23,0.007849225504766962,22,0.01564160571810435,19,0.027484888358550206,0,0.0,0,,0,
assessment,BROAD_CONFLICT,8,1,2,2,1,0.03508771929824561,0.0063746737189571126,0.001557347962800144,0.004813265758746491,0.0015614079602106219,-0.002688636525383453,0.9821960743324755,0.2,0.1,0.01047109228398487,0.009355364600896546,0.00011261769369920857,8,0.006445352273856484,8,0.006696754229489585,5,0.01616076123313784,0,0.0,0,,0,
assessment,LOW_ROUTE_SUPPORT,6,1,2,2,1,0.021052631578947368,0.006479263772685699,0.003396211125439893,0.0072502094966250515,-0.0007709457239393531,-0.002673716872400786,0.7015255461583392,0.33333333333333337,0.33333333333333337,0.023695695416077255,0.015218600270940416,0.00020880683382820371,6,0.00550111790259165,5,0.01109694834745891,3,0.015149016707177632,0,0.0,0,,0,
assessment,OTHER,25,1,3,3,1,0.10175438596491228,0.008330204236463894,0.0047265722086375405,0.0065366254363548384,0.001793578800109057,-0.0010818471247835163,0.9841794370312724,0.3908045977011494,0.32183908045977017,0.016287798505820156,0.012946438686553659,0.00018106856794549808,25,0.006402030771988378,24,0.010327172544223677,21,0.013788949243718806,0,0.0,0,,0,
