symbol,session,required_options_date,period,clean_rows,valid_pair_rows,pair_available,mean_absolute_log_return_15m,mean_realised_range_15m,mean_maximum_absolute_excursion_15m,front_dte,atm_iv,mean_iv_expected_absolute_15m,mean_iv_absolute_residual_15m,mean_iv_sigma_ratio_15m,exceed_iv_expected_rate
AAL,2024-01-17,2024-01-16,development,10,10,True,0.002860505725555154,0.006086548784883162,0.004573391079393589,10.0,0.56535,0.0055727622295869954,-0.0027122565040318403,0.4095551291227088,0.0
AAL,2024-11-01,2024-10-31,development,5,5,True,0.002709666672923548,0.006538066386330216,0.005050571326111399,8.0,0.4762499999999999,0.0046944866221646855,-0.0019848199492411376,0.46054049723776647,0.19999999999999998
AAL,2025-08-22,2025-08-21,assessment,9,9,True,0.003985620092092713,0.007826093891867737,0.006016612501320959,8.0,0.4307499999999999,0.004245984488183597,-0.00026036439609088336,0.7489581616599077,0.2222222222222222
MSTR,2024-01-17,2024-01-16,development,8,8,True,0.0027943805371520134,0.0076953847649600705,0.005730076002311071,10.0,0.7719,0.007608764774065978,-0.004814384236913964,0.29302957231652704,0.0
MSTR,2024-11-01,2024-10-31,development,10,10,True,0.013578433696505937,0.02255127827455313,0.020635926535153136,8.0,1.2669,0.012488073704189903,0.0010903599923160348,0.867549540702384,0.5000000000000001
MSTR,2025-08-22,2025-08-21,assessment,15,15,True,0.007077588155485961,0.01387915758741381,0.011268964946688304,8.0,0.54585,0.005380547029309384,0.0016970411261765764,1.0495398118856898,0.40000000000000013
WULF,2024-01-17,2024-01-16,development,10,0,False,0.010442824381845918,0.02202550938111356,0.01567801463158088,,,,,,
WULF,2024-11-01,2024-10-31,development,14,14,True,0.01225491457173843,0.020455940164835217,0.01723466334445203,8.0,1.3685,0.013489564183585035,-0.0012346496118466029,0.7248571560708136,0.5
WULF,2025-08-22,2025-08-21,assessment,15,15,True,0.011883341264630547,0.026243498654391576,0.02006855385496835,8.0,0.9252,0.009119871963940724,0.002763469300689825,1.039656539399849,0.40000000000000013
