group_type,group_value,model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,mean_reciprocal_rank,mean_probability_realised_class,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support
decision_ordinal,6,T0,0.6336419760114222,0.3756257295062043,0.7317819495660595,0.9620497634745038,0.8595659353621138,0.6137040785974371,0.02267719674917799,0.6698731340558548,1.9539894101992015,3131,157,20,"{""NO_REGISTERED_COMPLETION"": 2291, ""REGISTERED_COMPLETION"": 118, ""UNREGISTERED_LOOP"": 722}"
decision_ordinal,6,T1,0.626172540428942,0.3705913593648649,0.7362405482921741,0.9610943494617648,0.8616359990563812,0.6161671169698155,0.018723591426936238,0.6694699894260085,1.9532018286270107,3131,157,20,"{""NO_REGISTERED_COMPLETION"": 2291, ""REGISTERED_COMPLETION"": 118, ""UNREGISTERED_LOOP"": 722}"
decision_ordinal,6,T2,0.6260592177106435,0.37042497427894794,0.7378329049800721,0.9614128207993444,0.8624852559565935,0.616499472509758,0.020722524924120102,0.6685056048692302,1.9513190989308509,3131,157,20,"{""NO_REGISTERED_COMPLETION"": 2291, ""REGISTERED_COMPLETION"": 118, ""UNREGISTERED_LOOP"": 722}"
decision_ordinal,12,T0,0.7064200644401397,0.42978644773949604,0.6734942451670577,0.9422002458375236,0.8271138302231162,0.5637906077853325,0.019168667598981594,0.7329606345763273,2.081233266462855,3130,157,20,"{""NO_REGISTERED_COMPLETION"": 2017, ""REGISTERED_COMPLETION"": 194, ""UNREGISTERED_LOOP"": 919}"
decision_ordinal,12,T1,0.7039683108877558,0.4277802470834188,0.6749636830930829,0.941881774499944,0.8277954706298656,0.5658176974459834,0.024077364979753026,0.7294337598149344,2.0739059462484444,3130,157,20,"{""NO_REGISTERED_COMPLETION"": 2017, ""REGISTERED_COMPLETION"": 194, ""UNREGISTERED_LOOP"": 919}"
decision_ordinal,12,T2,0.7039058411713127,0.42769647784631476,0.6755838641188959,0.9415633031623644,0.8280524825865087,0.5658012770802496,0.02317098690065006,0.7295030797159533,2.074049714186293,3130,157,20,"{""NO_REGISTERED_COMPLETION"": 2017, ""REGISTERED_COMPLETION"": 194, ""UNREGISTERED_LOOP"": 919}"
decision_ordinal,24,T0,0.7533806708341765,0.4579026963831866,0.6444155223828273,0.9251331619920289,0.8097299548567518,0.5407753786946126,0.022127564163203793,0.7645279616861105,2.1479802063560283,3109,157,20,"{""NO_REGISTERED_COMPLETION"": 1574, ""REGISTERED_COMPLETION"": 234, ""UNREGISTERED_LOOP"": 1301}"
decision_ordinal,24,T1,0.7545468578265858,0.4582250623513418,0.6515466729769346,0.9229224866838007,0.8129270842691009,0.5426188091150816,0.017046064323847372,0.7580828394951246,2.134180728890162,3109,157,20,"{""NO_REGISTERED_COMPLETION"": 1574, ""REGISTERED_COMPLETION"": 234, ""UNREGISTERED_LOOP"": 1301}"
decision_ordinal,24,T2,0.754602185183951,0.4582029783329784,0.6512114399900087,0.9235259060602673,0.8128600376717156,0.5425883281770993,0.014837668948950684,0.7582484904291327,2.134534287204069,3109,157,20,"{""NO_REGISTERED_COMPLETION"": 1574, ""REGISTERED_COMPLETION"": 234, ""UNREGISTERED_LOOP"": 1301}"
decision_ordinal,36,T0,0.715268273758973,0.42787707015273085,0.6775338026595149,0.9280068536521772,0.8267680436051202,0.5698145481219241,0.025276573318595053,0.727086312405821,2.06904327077863,3103,157,20,"{""NO_REGISTERED_COMPLETION"": 1344, ""REGISTERED_COMPLETION"": 257, ""UNREGISTERED_LOOP"": 1502}"
decision_ordinal,36,T1,0.7193829296941688,0.43011424471286697,0.6743360524453382,0.9245036689388013,0.824585304379136,0.5697953366641642,0.016233806477243536,0.7231198776668711,2.0608527998952604,3103,157,20,"{""NO_REGISTERED_COMPLETION"": 1344, ""REGISTERED_COMPLETION"": 257, ""UNREGISTERED_LOOP"": 1502}"
decision_ordinal,36,T2,0.7192282937254301,0.42998846787729905,0.6735054195999552,0.9251741349126531,0.8242817322854198,0.5701075689561264,0.018881809680767934,0.722521454923202,2.059619907640624,3103,157,20,"{""NO_REGISTERED_COMPLETION"": 1344, ""REGISTERED_COMPLETION"": 257, ""UNREGISTERED_LOOP"": 1502}"
