model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,mean_reciprocal_rank,mean_probability_realised_class,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support
T0,0.7021777462611779,0.42279798594540446,0.6818063799438648,0.9393475062390583,0.8307944410117757,0.5720211532998266,0.014251541785722945,0.7236120106810284,2.0618672632003743,12473,157,20,"{""NO_REGISTERED_COMPLETION"": 7226, ""REGISTERED_COMPLETION"": 803, ""UNREGISTERED_LOOP"": 4444}"
T1,0.701017659709363,0.42167772837812306,0.6842717392018826,0.9376005698960778,0.8317359645836208,0.5735997400487611,0.013577250777020015,0.7200266166007346,2.0544878934001227,12473,157,20,"{""NO_REGISTERED_COMPLETION"": 7226, ""REGISTERED_COMPLETION"": 803, ""UNREGISTERED_LOOP"": 4444}"
T2,0.7009488844478343,0.421578224583885,0.684533407172233,0.9379190412336574,0.8319198771250595,0.5737491616808084,0.013468377044058195,0.7196946574843796,2.0538060006009946,12473,157,20,"{""NO_REGISTERED_COMPLETION"": 7226, ""REGISTERED_COMPLETION"": 803, ""UNREGISTERED_LOOP"": 4444}"
