raw_subtype,final_pooled_class,development_outcomes,assessment_outcomes,development_sessions,assessment_sessions,development_stocks,assessment_stocks,development_months,assessment_months,development_maximum_stock_share,assessment_maximum_stock_share,assessment_mean_M0_probability_final_pooled_class,assessment_mean_M1_probability_final_pooled_class,assessment_mean_M2_probability_final_pooled_class
REGISTERED_PRIMITIVE,REGISTERED_COMPLETION,525,312,205,126,20,20,12,8,0.123809523809524,0.0833333333333333,0.100032656761124,0.10014726421052,0.104592393275235
REGISTERED_REPEAT,REGISTERED_COMPLETION,0,0,0,0,0,0,0,0,,,,,
REGISTERED_COMPOSITE,REGISTERED_COMPLETION,0,0,0,0,0,0,0,0,,,,,
UNREGISTERED_LOOP,UNREGISTERED_LOOP,2676,1641,234,157,20,20,12,8,0.0605381165919283,0.0572821450335161,0.359447458745269,0.361575016924953,0.363005547296526
NO_REGISTERED_COMPLETION,NO_REGISTERED_COMPLETION,6083,4308,234,157,20,20,12,8,0.0550715107677133,0.0580315691736305,0.710294228105741,0.71548368210262,0.716582936242077
