model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,top_three_accuracy,mean_reciprocal_rank,mean_probability_realised_class,macro_ovr_auc,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support,predicted_class_distribution,mean_predicted_probability_distribution
M0,0.67805969330713,0.404749974640475,0.7027535665065,0.949895705292956,1,0.843026067468743,0.587982995082052,0.73082590161769,0.0317819279034318,0.703725400820408,2.05073771042818,6261,157,20,"{""NO_REGISTERED_COMPLETION"": 4308, ""REGISTERED_COMPLETION"": 312, ""UNREGISTERED_LOOP"": 1641}","{""NO_REGISTERED_COMPLETION"": 0.8608708608038141, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.1391291391961858}","{""NO_REGISTERED_COMPLETION"": 0.6685134480031215, ""REGISTERED_COMPLETION"": 0.05421692971536049, ""UNREGISTERED_LOOP"": 0.277269622281518}"
M1,0.67465167490971,0.403273309093931,0.704344991991656,0.950214176630536,1,0.843874858767584,0.592117515830276,0.733611807050738,0.0145607305374573,0.693609468695218,2.03565494705311,6261,157,20,"{""NO_REGISTERED_COMPLETION"": 4308, ""REGISTERED_COMPLETION"": 312, ""UNREGISTERED_LOOP"": 1641}","{""NO_REGISTERED_COMPLETION"": 0.8558637836629791, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.1441362163370209}","{""NO_REGISTERED_COMPLETION"": 0.6715714069074261, ""REGISTERED_COMPLETION"": 0.05387662465509626, ""UNREGISTERED_LOOP"": 0.2745519684374777}"
M2,0.672908452269639,0.402718270016403,0.703682906842478,0.950851119305695,1,0.843649973305521,0.593470148094518,0.736213455982898,0.0122471463303845,0.688954271292675,2.02880135124479,6261,157,20,"{""NO_REGISTERED_COMPLETION"": 4308, ""REGISTERED_COMPLETION"": 312, ""UNREGISTERED_LOOP"": 1641}","{""NO_REGISTERED_COMPLETION"": 0.8545982791373338, ""REGISTERED_COMPLETION"": 0.0012738853503184715, ""UNREGISTERED_LOOP"": 0.14412783551234776}","{""NO_REGISTERED_COMPLETION"": 0.6718388753510417, ""REGISTERED_COMPLETION"": 0.05407371219235487, ""UNREGISTERED_LOOP"": 0.27408741245660356}"
