model,target_class,support,mean_realised_probability,top_one_accuracy,top_two_accuracy,top_three_accuracy,ovr_auc,ovr_brier
M0,REGISTERED_COMPLETION,312,0.100032656761124,0,0.0319841388597935,1,0.753920392656632,0.0451937734505754
M0,UNREGISTERED_LOOP,1641,0.359447458745269,0.274133016795912,0.995745936071761,1,0.713552162164361,0.172946603738256
M0,NO_REGISTERED_COMPLETION,4308,0.710294228105741,0.916783710715822,0.998843090612391,1,0.725005150032077,0.186609597451643
M1,REGISTERED_COMPLETION,312,0.10014726421052,0,0.0319841388597935,1,0.757450885416757,0.0451545717784869
M1,UNREGISTERED_LOOP,1641,0.361575016924953,0.285509172714285,0.995138212653441,1,0.715611271838169,0.172283163317693
M1,NO_REGISTERED_COMPLETION,4308,0.71548368210262,0.914764870006684,0.999537236244956,1,0.727773263897289,0.185835573997751
M2,REGISTERED_COMPLETION,312,0.104592393275235,0.0159920694298968,0.0447777944037109,1,0.762623123197711,0.0450381239220663
M2,UNREGISTERED_LOOP,1641,0.363005547296526,0.282406584736547,0.995745936071761,1,0.716608285709153,0.172242537100679
M2,NO_REGISTERED_COMPLETION,4308,0.716582936242077,0.913827164503043,0.999305854367434,1,0.729408959041829,0.185437608993657
