metric,real_value,null_mean,null_q90,real_percentile,draw_count,seed_base,draw_values
m1_minus_m0_log_loss_improvement,0.00340801839742044,-0.000378125093578952,5.81029475774319e-05,1,10,20260723,"[-0.00024546892068044723, -0.0003070572897223567, -0.0007289392636342651, 0.0002434438127943972, -0.0007859736894566538, -9.93599423086966e-05, -0.001277715923125644, -0.0003332051034857786, 3.750951810888026e-05, -0.0002844841342789506]"
m1_minus_m0_brier_improvement,0.00147666554654446,-0.000227412051883202,9.67783997605764e-06,1,10,20260723,"[-2.6906887126809664e-05, -0.0002248462338938495, -0.0005737305609638255, 0.0003060381060101536, -0.0006364152061394401, -0.00015984353763570658, -0.0005561956411919144, -0.0002721301259930309, -0.00010683935342542528, -2.3251078472175113e-05]"
m2_minus_m1_log_loss_improvement,0.00174322264007087,-0.00138391436233349,-0.000382719155198741,1,10,20260723,"[-0.001078607742803328, -0.0003858553957154509, -0.000856055319257254, -0.002165289999998321, -0.0018491230661767943, -0.0015362261445186487, -0.002364687518979447, -0.0003544929905483496, -0.0017225999777944478, -0.001526205467542896]"
m2_minus_m1_brier_improvement,0.000555039077527852,-0.000764340815930636,-0.000297153057402166,1,10,20260723,"[-0.0005969601028438798, -0.00032832180963532354, -0.0006222276073920563, -0.0013731574416778192, -0.0011492358055680274, -0.0006118765400897619, -0.0013489967610614273, -1.6634287303751716e-05, -0.0007163212255650864, -0.0008796765781692306]"
m2_minus_m1_top_two_improvement,0.000636942675159347,-0.000652866242038197,3.18471337579672e-05,1,10,20260723,"[-0.0015923566878981443, -0.00047770700636928787, -0.0001592356687896146, 0.0003184713375796733, -0.0003184713375796733, 0.0, -0.001751592356687759, -0.0003184713375796733, -0.0009554140127389088, -0.001273885350318582]"
