model,mean_prediction_entropy,median_prediction_entropy,mean_effective_candidate_count,mean_probability_realised_class,realised_class_top_one_percent,realised_class_top_two_percent,realised_class_top_three_percent,rows
M0,0.703725400820408,0.70828181575068,2.05073771042818,0.587982995082052,70.27535665065,94.9895705292956,100,6261
M1,0.693609468695218,0.700084619964521,2.03565494705311,0.592117515830276,70.4344991991656,95.0214176630536,100,6261
M2,0.688954271292675,0.70336318846949,2.02880135124479,0.593470148094518,70.3682906842478,95.0851119305695,100,6261
