breakdown,value,arm,comparison,rows,sessions,stocks,outcome_rate,brier_improvement,log_loss_improvement
closure_history_increment_quintile,1,closure,A3_vs_A2,789,157,20,0.2598225602027883,0.000526477184514023,0.0013946427700071698
closure_history_increment_quintile,1,joint,C1_vs_C0,789,157,20,0.03802281368821293,-0.0004814352218683596,-0.0023729545450452585
closure_history_increment_quintile,1,movement,B1_vs_B0,789,157,20,0.1926489226869455,5.660533066083601e-05,0.00012377472045037595
closure_history_increment_quintile,2,closure,A3_vs_A2,866,157,20,0.24480369515011546,-0.0002790546213690472,-0.00033463211491029777
closure_history_increment_quintile,2,joint,C1_vs_C0,866,157,20,0.04387990762124711,6.0396549948585144e-06,-0.0007410903940185565
closure_history_increment_quintile,2,movement,B1_vs_B0,866,157,20,0.1836027713625866,-5.360913691383702e-06,-9.684319116101154e-06
closure_history_increment_quintile,3,closure,A3_vs_A2,952,156,20,0.3550420168067227,-0.0006875511554501792,-0.0013746351810065604
closure_history_increment_quintile,3,joint,C1_vs_C0,952,156,20,0.0546218487394958,-0.0007437516017636941,-0.005239370882807496
closure_history_increment_quintile,3,movement,B1_vs_B0,952,156,20,0.15441176470588236,-1.3502095194879866e-05,-4.530245828343059e-05
closure_history_increment_quintile,4,closure,A3_vs_A2,1092,157,20,0.31776556776556775,0.0007753706396844734,0.001876052180904085
closure_history_increment_quintile,4,joint,C1_vs_C0,1092,157,20,0.056776556776556776,0.0001435874699460893,0.0006976424103476285
closure_history_increment_quintile,4,movement,B1_vs_B0,1092,157,20,0.163003663003663,-6.891437990491967e-05,-0.00015576081755697225
closure_history_increment_quintile,5,closure,A3_vs_A2,750,156,20,0.39866666666666667,0.0008052420432095524,0.0018772633124069244
closure_history_increment_quintile,5,joint,C1_vs_C0,750,156,20,0.08666666666666667,-0.0002555666711385917,-0.002938725341853076
closure_history_increment_quintile,5,movement,B1_vs_B0,750,156,20,0.212,7.973858377979802e-05,0.00016881023588632738
decision_ordinal,12,closure,A3_vs_A2,2138,157,20,0.2862488306828812,0.00027573984260956377,0.0008121643740279853
decision_ordinal,12,joint,C1_vs_C0,2138,157,20,0.05472404115996258,0.00021913895904926344,0.0008899795344811423
decision_ordinal,12,movement,B1_vs_B0,2138,157,20,0.1753975678203929,1.224685479613879e-05,-3.246824224433675e-06
decision_ordinal,36,closure,A3_vs_A2,2311,157,20,0.3414106447425357,0.000172227504370507,0.000544695824822729
decision_ordinal,36,joint,C1_vs_C0,2311,157,20,0.056252704456945045,-0.0007195695261036914,-0.004885362736433256
decision_ordinal,36,movement,B1_vs_B0,2311,157,20,0.18173950670705322,-6.682529452471287e-06,5.191720558405437e-06
month,2025-01,closure,A3_vs_A2,510,20,20,0.3156862745098039,-0.0002422949050953558,-0.00016123148123363146
month,2025-01,joint,C1_vs_C0,510,20,20,0.07058823529411765,-0.001298027447111879,-0.004519037616977523
month,2025-01,movement,B1_vs_B0,510,20,20,0.19019607843137254,-9.76858155726202e-06,-2.7521814667518473e-05
month,2025-02,closure,A3_vs_A2,514,19,20,0.3560311284046693,0.0002042355248883217,0.0007001271571139844
month,2025-02,joint,C1_vs_C0,514,19,20,0.07003891050583658,0.0008245685653132467,-8.268910405167901e-05
month,2025-02,movement,B1_vs_B0,514,19,20,0.20817120622568094,8.083988866251775e-05,0.00024833247528157856
month,2025-03,closure,A3_vs_A2,632,21,20,0.3639240506329114,-0.0004870353721486846,-0.0014185386663925323
month,2025-03,joint,C1_vs_C0,632,21,20,0.07436708860759493,0.00021303824429446975,0.0020941718257569742
month,2025-03,movement,B1_vs_B0,632,21,20,0.20411392405063292,-5.382237911851287e-05,-0.00016769591202710874
month,2025-04,closure,A3_vs_A2,573,20,20,0.3089005235602094,0.0006914923059922861,0.0018797728676158362
month,2025-04,joint,C1_vs_C0,573,20,20,0.06108202443280977,-0.0014680828056886917,-0.005515694788861586
