stage,group_type,group_value,model,brier_score,log_loss,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,sessions,stocks,predicted_positive_rate,mean_probability_realised_class,probability_distribution_overlap,top_decile_threshold,top_decile_precision,top_decile_lift,top_quintile_threshold,top_quintile_precision,top_quintile_lift
U,assessment_month,2025-01,U0,0.18222878086616673,0.5385018940975315,0.7016772281597787,0.417940070358051,-0.10737577996202143,0.852482241721838,0.04671491516433827,0.2725,800,20,20,0.095,0.6459187425296363,0.6624105425770054,0.5432270117461249,0.45652173913043503,1.6753091344236146,0.42695349330743865,0.4253731343283583,1.5610023278104892
U,assessment_month,2025-01,U1,0.17981273721350752,0.5310905153148926,0.7141618588227883,0.4316458593318012,-0.07451187588947394,0.8929640998063058,0.04745235672218933,0.2725,800,20,20,0.095,0.6492208632393615,0.6336265329928454,0.5476725194483318,0.49019607843137275,1.798884691491276,0.4318235594956362,0.4210526315789475,1.5451472718493486
U,assessment_month,2025-02,U0,0.17263984753136286,0.5175461537287598,0.7162819444817676,0.4703002444233445,-0.01871001594323564,0.9842727810987468,0.03702395178905548,0.26184210526315793,760,19,20,0.09210526315789475,0.6570693192117364,0.6747014932057807,0.5432270117461249,0.5192307692307695,1.9829918824893706,0.42695349330743865,0.48648648648648646,1.8579383403504002
U,assessment_month,2025-02,U1,0.17227941131894428,0.5163574014942723,0.7199276238590464,0.4736248199818535,-0.05508866051632379,0.966559756241123,0.03196330709527545,0.26184210526315793,760,19,20,0.1013157894736842,0.6572963323133619,0.6952946550936512,0.5476725194483318,0.517241379310345,1.9753942124415182,0.4318235594956362,0.4859813084112149,1.8560090170478556
U,assessment_month,2025-03,U0,0.17441515616453718,0.5243283390695533,0.6912238115814543,0.4192093446509227,-0.1242032768499624,1.0079876878299905,0.030281840065713366,0.25394736842105264,838,21,20,0.07506265664160401,0.6434269219957198,0.7105112114570145,0.5432270117461249,0.5327102803738321,2.0977192387777843,0.42695349330743865,0.460658737419945,1.8139929556433068
U,assessment_month,2025-03,U1,0.17405389872875454,0.522609264556711,0.6980450784060892,0.4158535228539247,-0.16575492586030324,1.0023828100921022,0.03215149578143632,0.25394736842105264,838,21,20,0.09172932330827069,0.6426630457373611,0.6955006655639948,0.5476725194483318,0.5300429184549357,2.0872156374391246,0.4318235594956362,0.4550898203592814,1.7920635413111599
U,assessment_month,2025-04,U0,0.17075268756395048,0.5158393226219253,0.7556273790691507,0.5545775605130624,0.35529138895237383,1.2868481228422746,0.049081156404843125,0.28460526315789475,788,20,20,0.09824561403508773,0.655038028270688,0.6026622266178273,0.5432270117461249,0.6195380774032463,2.1768328193549107,0.42695349330743865,0.615584041480628,2.1629397666448322
U,assessment_month,2025-04,U1,0.170129823475226,0.5133670432279858,0.7612104492013994,0.5447167935944597,0.2670545025597825,1.2306286672657167,0.04818084588385805,0.28460526315789475,788,20,20,0.11094298245614036,0.6557170492635306,0.5993553613020027,0.5476725194483318,0.6043766196372015,2.1235609381612255,0.4318235594956362,0.6099972535017852,2.1433098135060416
U,assessment_month,2025-05,U0,0.15744014854388158,0.48431767080482685,0.7532529131263723,0.5085821256874304,-0.11719882262391813,1.1852031303037538,0.050461053760212336,0.24402777777777782,796,20,20,0.11833333333333333,0.6640615214864913,0.6349369588128699,0.5432270117461249,0.6389776357827476,2.618462707817747,0.42695349330743865,0.5509727626459145,2.2578280540982267
U,assessment_month,2025-05,U1,0.15617968611041802,0.48159250939450493,0.7586021887097948,0.5103383190492419,-0.09071299401333366,1.1923749206344414,0.039792216973270025,0.24402777777777782,796,20,20,0.12319444444444443,0.6669755952950436,0.618490317881254,0.5476725194483318,0.6086956521739132,2.4943703447081242,0.4318235594956362,0.5366043613707167,2.198947866743972
