stage,group_type,group_value,model,brier_score,log_loss,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,sessions,stocks,predicted_positive_rate,mean_probability_realised_class,probability_distribution_overlap,top_decile_threshold,top_decile_precision,top_decile_lift,top_quintile_threshold,top_quintile_precision,top_quintile_lift
U,checkpoint,6,U0,0.16148586247441588,0.49422334252652333,0.7011596463736953,0.4057607337023469,0.017025283854934486,1.0962673261854528,0.01957975009083376,0.23033672291131227,3131,157,20,0.04431966327708869,0.6694481034097206,0.7245910187121207,0.5432270117461249,0.536327608982827,2.328450288794514,0.42695349330743865,0.48570323744871,2.108666092448154
U,checkpoint,6,U1,0.1592023761847368,0.487916123528772,0.7164265833159085,0.4207586580515512,0.05064398904636455,1.1386923839685887,0.02693861106045764,0.23033672291131227,3131,157,20,0.050705851678027346,0.6724370315390478,0.6984930136227198,0.5476725194483318,0.5573770491803279,2.419835804449374,0.4318235594956362,0.4933902703144475,2.1420391159442693
U,checkpoint,12,U0,0.18359035782567248,0.5442618097555065,0.7188187179622402,0.49546928764108183,-0.18275910418638386,0.9476803104001775,0.03333144642929383,0.29370320706224157,3130,157,20,0.17371587141952546,0.6291508815402252,0.6885394359065135,0.5432270117461249,0.5611839599542956,1.910717848700132,0.42695349330743865,0.5028552135171239,1.7121202677591425
U,checkpoint,12,U1,0.1829504331308339,0.54213822163995,0.7235730803853689,0.4978486361086665,-0.191225169167453,0.9456388996939958,0.030195708826609793,0.29370320706224157,3130,157,20,0.18008343576563487,0.6305732797150225,0.6738335506508262,0.5476725194483318,0.5643611341796179,1.921535484152948,0.4318235594956362,0.4989263490023079,1.698743278947497
R,checkpoint,6,R0,0.04472711516177421,0.18471634937082212,0.7667421705087736,0.18843979090755594,0.38619485730186065,1.4930766925684666,0.04000908556556467,0.04889380370369475,2409,157,20,0.0004137800867728299,0.879656469353689,0.6390436382615238,,,,,,
R,checkpoint,6,R1,0.04488026701269667,0.18503113410735614,0.7662796063892463,0.18379468095919863,0.2629728628153056,1.4461232760777483,0.03944460067398667,0.04889380370369475,2409,157,20,0.0008275601735456598,0.8789344252602791,0.6166292631416993,,,,,,
R,checkpoint,12,R0,0.0692498140118886,0.2485337411327073,0.8251274874896047,0.3389415126216437,0.30746943850967057,1.4059079541180648,0.033271980239018006,0.08769667676583898,2211,157,20,0.010370768829155231,0.8371968235127855,0.5128093155762121,,,,,,
R,checkpoint,12,R1,0.06908034737129626,0.24747441801476536,0.8277232393449356,0.33664132311571626,0.2566606959123947,1.3841871733492015,0.03530542178701665,0.08769667676583898,2211,157,20,0.011272574814299163,0.8375345708741727,0.5129682838432559,,,,,,
