record_type,stage,population,comparison,draw,metric,value,interval_level,lower,upper
draw,A_primary,pooled,U1_minus_U0,0.0,log_loss_improvement,0.005046367375903249,,,
draw,A_primary,pooled,U1_minus_U0,0.0,brier_improvement,0.0019359299591456547,,,
draw,A_primary,pooled,U1_minus_U0,0.0,auc_improvement,0.011859987958260598,,,
draw,A_primary,pooled,U1_minus_U0,0.0,top_decile_precision_improvement,0.004183868653380052,,,
draw,A_diagnostic,pooled,R1_minus_R0,0.0,log_loss_improvement,0.0006844272406705543,,,
draw,A_diagnostic,pooled,R1_minus_R0,0.0,brier_improvement,9.69100493403846e-06,,,
draw,A_primary,ordinal_6,U1_minus_U0,0.0,log_loss_improvement,0.007523470680420974,,,
draw,A_primary,ordinal_6,U1_minus_U0,0.0,brier_improvement,0.002785626597361701,,,
draw,A_primary,ordinal_6,U1_minus_U0,0.0,auc_improvement,0.020715262426701186,,,
draw,A_primary,ordinal_6,U1_minus_U0,0.0,top_decile_precision_improvement,-0.007594936708860911,,,
draw,A_diagnostic,ordinal_6,R1_minus_R0,0.0,log_loss_improvement,-0.0002060072964904791,,,
draw,A_diagnostic,ordinal_6,R1_minus_R0,0.0,brier_improvement,-0.00026371828185615953,,,
draw,A_primary,ordinal_12,U1_minus_U0,0.0,log_loss_improvement,0.0025692640713856907,,,
draw,A_primary,ordinal_12,U1_minus_U0,0.0,brier_improvement,0.0010862333209296915,,,
draw,A_primary,ordinal_12,U1_minus_U0,0.0,auc_improvement,0.005582184032648985,,,
draw,A_primary,ordinal_12,U1_minus_U0,0.0,top_decile_precision_improvement,0.006240056030327845,,,
draw,A_diagnostic,ordinal_12,R1_minus_R0,0.0,log_loss_improvement,0.0016414869749866168,,,
draw,A_diagnostic,ordinal_12,R1_minus_R0,0.0,brier_improvement,0.00030355766043148324,,,
draw,A_primary,low_transition,U1_minus_U0,0.0,log_loss_improvement,0.007039736868172053,,,
draw,A_primary,low_transition,U1_minus_U0,0.0,brier_improvement,0.0028291501220932547,,,
draw,A_primary,low_transition,U1_minus_U0,0.0,auc_improvement,0.015753815842606045,,,
draw,A_primary,low_transition,U1_minus_U0,0.0,top_decile_precision_improvement,0.016640171003588167,,,
draw,A_diagnostic,low_transition,R1_minus_R0,0.0,log_loss_improvement,0.0011800752939718218,,,
draw,A_diagnostic,low_transition,R1_minus_R0,0.0,brier_improvement,8.908530680627053e-05,,,
draw,B,pooled,F1_minus_F0,0.0,multiclass_log_loss_improvement,0.0077045961383048756,,,
draw,B,pooled,F1_minus_F0,0.0,multiclass_brier_improvement,0.00230616895472302,,,
draw,B,pooled,F1_minus_F0,0.0,top_two_accuracy_improvement,0.0006137479541733493,,,
draw,A_primary,pooled,U1_minus_U0,1.0,log_loss_improvement,0.004486092367032346,,,
draw,A_primary,pooled,U1_minus_U0,1.0,brier_improvement,0.0014419370545856458,,,
draw,A_primary,pooled,U1_minus_U0,1.0,auc_improvement,0.010002911467954956,,,
draw,A_primary,pooled,U1_minus_U0,1.0,top_decile_precision_improvement,0.01795482598549658,,,
draw,A_diagnostic,pooled,R1_minus_R0,1.0,log_loss_improvement,-0.0006572855622277163,,,
