group_type,group_value,model,brier_score,log_loss,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,sessions,stocks,predicted_positive_rate,mean_probability_realised_class,probability_distribution_overlap
population,REGISTERED_VS_NO_COMPLETION,R0,0.056462055627815345,0.21525512887470424,0.8106915348533485,0.28336868982768865,0.3409334533149872,1.4482142671301408,0.03493561083610113,0.06746229031598659,4620,157,20,0.005178535827038924,0.8593380933381606,0.543740312396252
population,REGISTERED_VS_NO_COMPLETION,R1,0.05646082362342441,0.21491235654687296,0.8121767745143081,0.28099507258186024,0.2716482537572434,1.4214633766662101,0.0351674498343678,0.06746229031598659,4620,157,20,0.005825852805418789,0.8591231952854241,0.5358012778616287
