year,period,family_id,hidden_family_class,selected_on_development,canonical_path,motif_type,repeat_depth,transition_length,v2_compatible,outcomes,sessions,stocks,months,maximum_stock_share
2024,development,unregistered_primitive_like__5-6-5,unregistered_primitive_like__5-6-5,True,"[5, 6, 5]",primitive_like,1,2,True,967,215,20,12,0.12409513960703206
2024,development,unregistered_primitive_like__2-3-2,unregistered_primitive_like__2-3-2,True,"[2, 3, 2]",primitive_like,1,2,True,447,157,20,12,0.12527964205816555
2024,development,unregistered_primitive_like__2-5-2,unregistered_primitive_like__2-5-2,True,"[2, 5, 2]",primitive_like,1,2,True,125,92,20,12,0.104
2024,development,unregistered_primitive_like__4-7-4,unregistered_primitive_like__4-7-4,True,"[4, 7, 4]",primitive_like,1,2,True,99,66,17,11,0.2727272727272727
2024,development,unregistered_primitive_like__3-5-3,OTHER_UNREGISTERED_FAMILY,False,"[3, 5, 3]",primitive_like,1,2,True,98,67,20,12,0.14285714285714285
2024,development,unregistered_primitive_like__1-5-1,OTHER_UNREGISTERED_FAMILY,False,"[1, 5, 1]",primitive_like,1,2,True,78,54,19,12,0.1794871794871795
2024,development,unregistered_primitive_like__3-6-3,OTHER_UNREGISTERED_FAMILY,False,"[3, 6, 3]",primitive_like,1,2,True,70,52,20,12,0.11428571428571428
2024,development,unregistered_primitive_like__0-5-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 5, 0]",primitive_like,1,2,True,41,33,17,12,0.14634146341463414
2024,development,unregistered_primitive_like__1-3-1,OTHER_UNREGISTERED_FAMILY,False,"[1, 3, 1]",primitive_like,1,2,True,34,30,12,12,0.20588235294117646
2024,development,unregistered_primitive_like__1-3-2-1,OTHER_UNREGISTERED_FAMILY,False,"[1, 3, 2, 1]",primitive_like,1,3,True,34,30,12,10,0.3235294117647059
2024,development,unregistered_primitive_like__0-3-2-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 3, 2, 0]",primitive_like,1,3,True,28,25,8,11,0.32142857142857145
2024,development,unregistered_primitive_like__0-3-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 3, 0]",primitive_like,1,2,True,27,24,11,10,0.2222222222222222
2024,development,unregistered_primitive_like__2-3-6-2,OTHER_UNREGISTERED_FAMILY,False,"[2, 3, 6, 2]",primitive_like,1,3,True,27,22,13,10,0.2222222222222222
2024,development,unregistered_primitive_like__2-5-3-2,OTHER_UNREGISTERED_FAMILY,False,"[2, 5, 3, 2]",primitive_like,1,3,True,26,19,13,9,0.19230769230769232
2024,development,unregistered_primitive_like__3-5-6-3,OTHER_UNREGISTERED_FAMILY,False,"[3, 5, 6, 3]",primitive_like,1,3,True,26,25,14,11,0.11538461538461539
2024,development,unregistered_primitive_like__2-3-5-2,OTHER_UNREGISTERED_FAMILY,False,"[2, 3, 5, 2]",primitive_like,1,3,True,24,21,16,9,0.125
2024,development,unregistered_primitive_like__3-6-5-3,OTHER_UNREGISTERED_FAMILY,False,"[3, 6, 5, 3]",primitive_like,1,3,True,24,19,15,8,0.16666666666666666
2024,development,unregistered_primitive_like__5-7-5,OTHER_UNREGISTERED_FAMILY,False,"[5, 7, 5]",primitive_like,1,2,True,23,18,9,9,0.21739130434782608
2024,development,unregistered_primitive_like__2-6-3-2,OTHER_UNREGISTERED_FAMILY,False,"[2, 6, 3, 2]",primitive_like,1,3,True,21,20,13,10,0.23809523809523808
2024,development,unregistered_primitive_like__1-3-5-1,OTHER_UNREGISTERED_FAMILY,False,"[1, 3, 5, 1]",primitive_like,1,3,True,20,19,11,8,0.2
2024,development,unregistered_primitive_like__5-7-6-5,OTHER_UNREGISTERED_FAMILY,False,"[5, 7, 6, 5]",primitive_like,1,3,True,16,14,9,7,0.1875
2024,development,unregistered_primitive_like__0-1-5-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 1, 5, 0]",primitive_like,1,3,True,14,11,9,8,0.21428571428571427
2024,development,unregistered_primitive_like__0-1-3-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 1, 3, 0]",primitive_like,1,3,True,11,10,5,4,0.36363636363636365
2024,development,unregistered_primitive_like__0-2-3-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 2, 3, 0]",primitive_like,1,3,True,10,10,6,8,0.3
2024,development,unregistered_composite_like__6-2-6-5-6,OTHER_UNREGISTERED_FAMILY,False,"[6, 2, 6, 5, 6]",composite_like,1,4,True,9,9,6,6,0.2222222222222222
2024,development,unregistered_primitive_like__0-1-3-2-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 1, 3, 2, 0]",primitive_like,1,4,True,9,8,5,8,0.4444444444444444
2024,development,unregistered_primitive_like__0-2-1-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 2, 1, 0]",primitive_like,1,3,True,9,9,5,6,0.4444444444444444
2024,development,unregistered_primitive_like__1-5-2-1,OTHER_UNREGISTERED_FAMILY,False,"[1, 5, 2, 1]",primitive_like,1,3,True,9,9,6,5,0.2222222222222222
2024,development,unregistered_primitive_like__0-3-5-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 3, 5, 0]",primitive_like,1,3,True,8,8,6,8,0.25
2024,development,unregistered_primitive_like__2-3-5-6-2,OTHER_UNREGISTERED_FAMILY,False,"[2, 3, 5, 6, 2]",primitive_like,1,4,True,8,7,5,5,0.375
2024,development,unregistered_primitive_like__2-3-6-5-2,OTHER_UNREGISTERED_FAMILY,False,"[2, 3, 6, 5, 2]",primitive_like,1,4,True,8,8,7,7,0.25
2024,development,unregistered_primitive_like__0-1-2-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 1, 2, 0]",primitive_like,1,3,True,7,7,5,3,0.2857142857142857
2024,development,unregistered_primitive_like__0-6-5-0,OTHER_UNREGISTERED_FAMILY,False,"[0, 6, 5, 0]",primitive_like,1,3,True,7,7,5,6,0.42857142857142855
