record_type,trajectory_group,permutation_draw,sum_absolute_standardised_coefficients,signed_standardised_coefficient_sum,log_loss_deterioration,brier_deterioration,auc_deterioration
coefficient_summary,AROUSAL_TRAJECTORY,,0.11746426112218136,0.06435620704477893,,,
permutation_draw,AROUSAL_TRAJECTORY,0.0,,,0.0025968201414227066,0.0010194068984469562,0.004965475339442471
permutation_draw,AROUSAL_TRAJECTORY,1.0,,,0.00246648196912147,0.0009595198592652621,0.005328934184766654
permutation_draw,AROUSAL_TRAJECTORY,2.0,,,0.0018337455375673217,0.000718897636409449,0.004076357537678543
permutation_draw,AROUSAL_TRAJECTORY,3.0,,,0.002835593698601646,0.0012056937391494993,0.0053761677866394075
permutation_draw,AROUSAL_TRAJECTORY,4.0,,,0.003126051928526663,0.0013200188462664242,0.006044933361988969
permutation_draw,AROUSAL_TRAJECTORY,5.0,,,0.0021383616446258857,0.0009195626979581761,0.004438139520391515
permutation_draw,AROUSAL_TRAJECTORY,6.0,,,0.0022934788905893955,0.0009153314565311377,0.005012589381308663
permutation_draw,AROUSAL_TRAJECTORY,7.0,,,0.001628175605291049,0.0006378834643491205,0.0037360794721496005
permutation_draw,AROUSAL_TRAJECTORY,8.0,,,0.0034094653450637002,0.0012985249797214937,0.007156461893197741
permutation_draw,AROUSAL_TRAJECTORY,9.0,,,0.003017292390090298,0.0012433779480927887,0.004975688834045089
permutation_draw,AROUSAL_TRAJECTORY,10.0,,,0.0027852138396532444,0.0011015397110588632,0.005453663492097749
permutation_draw,AROUSAL_TRAJECTORY,11.0,,,0.0027435643167180723,0.0010446505035114073,0.005584730434956553
permutation_draw,AROUSAL_TRAJECTORY,12.0,,,0.002493934680031007,0.0009802166424517644,0.004898138557275611
permutation_draw,AROUSAL_TRAJECTORY,13.0,,,0.002473002885368003,0.0009909765578859364,0.005208154218760308
permutation_draw,AROUSAL_TRAJECTORY,14.0,,,0.0019109538393331515,0.0007790349689925091,0.003879241657918975
permutation_draw,AROUSAL_TRAJECTORY,15.0,,,0.0015540949359995615,0.0005880837044501541,0.0037685633173460964
permutation_draw,AROUSAL_TRAJECTORY,16.0,,,0.0020945160673361274,0.0008445884298309836,0.004123058763206844
permutation_draw,AROUSAL_TRAJECTORY,17.0,,,0.0020433597672271375,0.0008547757413629176,0.004638888040423006
permutation_draw,AROUSAL_TRAJECTORY,18.0,,,0.0034829527163854346,0.0013823092530323156,0.006940430975562517
permutation_draw,AROUSAL_TRAJECTORY,19.0,,,0.0019608188036673857,0.0007099951996852594,0.0043412038897497895
permutation_summary,AROUSAL_TRAJECTORY,,0.11746426112218136,0.06435620704477893,0.002444393950130963,0.0009757194119226209,0.004997345032945305
coefficient_summary,CONVICTION_TRAJECTORY,,0.1621303459817347,0.1621303459817347,,,
permutation_draw,CONVICTION_TRAJECTORY,0.0,,,0.003128750903804156,0.0012558638383828036,0.005495840760892268
permutation_draw,CONVICTION_TRAJECTORY,1.0,,,0.002791905159914121,0.0012110357120815318,0.005218509413114747
permutation_draw,CONVICTION_TRAJECTORY,2.0,,,0.002287350646684727,0.0008824446553873655,0.004474882309077111
permutation_draw,CONVICTION_TRAJECTORY,3.0,,,0.004181300787440612,0.001788939564867309,0.007714730071176401
