group_type,group_value,model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,mean_reciprocal_rank,mean_probability_realised_family,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,family_support
assessment_month,2025-04,F0,0.7632177647714515,0.42747493351969834,0.6916319926028663,0.9190167976575743,0.8304887758771254,0.551744279634972,0.05378471840113523,0.8669120063301875,2.3795514566517504,225,20,20,"{""OTHER_UNREGISTERED_FAMILY"": 86, ""unregistered_primitive_like__2-3-2"": 22, ""unregistered_primitive_like__2-5-2"": 11, ""unregistered_primitive_like__4-7-4"": 5, ""unregistered_primitive_like__5-6-5"": 101}"
assessment_month,2025-04,F1,0.7589644320990067,0.4266768797776378,0.6872399445214978,0.9146247495762059,0.8279267478296604,0.5558866370664507,0.07653508747310443,0.8499267213040687,2.339475411937268,225,20,20,"{""OTHER_UNREGISTERED_FAMILY"": 86, ""unregistered_primitive_like__2-3-2"": 22, ""unregistered_primitive_like__2-5-2"": 11, ""unregistered_primitive_like__4-7-4"": 5, ""unregistered_primitive_like__5-6-5"": 101}"
assessment_month,2025-05,F0,0.7724300754925827,0.445072696291859,0.6442800227660784,0.9385315879339784,0.8106146841206602,0.552446200275332,0.07178427594914558,0.8178874590056293,2.265708376408886,194,20,20,"{""OTHER_UNREGISTERED_FAMILY"": 106, ""unregistered_primitive_like__2-3-2"": 24, ""unregistered_primitive_like__2-5-2"": 7, ""unregistered_primitive_like__4-7-4"": 6, ""unregistered_primitive_like__5-6-5"": 51}"
assessment_month,2025-05,F1,0.7679866826924043,0.44566314649348804,0.6254980079681274,0.943653955606147,0.8020774046670461,0.5526561173358757,0.0890645095523426,0.8133936443392273,2.2555495459238295,194,20,20,"{""OTHER_UNREGISTERED_FAMILY"": 106, ""unregistered_primitive_like__2-3-2"": 24, ""unregistered_primitive_like__2-5-2"": 7, ""unregistered_primitive_like__4-7-4"": 6, ""unregistered_primitive_like__5-6-5"": 51}"
assessment_month,2025-06,F0,0.7134904646404714,0.41556406825188824,0.6589595375722543,0.930635838150289,0.8155105973025047,0.5706566298473946,0.08080846485692832,0.7965660279502741,2.2179115901130793,173,20,19,"{""OTHER_UNREGISTERED_FAMILY"": 92, ""unregistered_primitive_like__2-3-2"": 30, ""unregistered_primitive_like__2-5-2"": 6, ""unregistered_primitive_like__4-7-4"": 13, ""unregistered_primitive_like__5-6-5"": 32}"
assessment_month,2025-06,F1,0.701326371535264,0.40939412532831454,0.6878612716763006,0.930635838150289,0.8304431599229287,0.575090292335299,0.05035335599723337,0.7908283780128383,2.2052224276142836,173,20,19,"{""OTHER_UNREGISTERED_FAMILY"": 92, ""unregistered_primitive_like__2-3-2"": 30, ""unregistered_primitive_like__2-5-2"": 6, ""unregistered_primitive_like__4-7-4"": 13, ""unregistered_primitive_like__5-6-5"": 32}"
assessment_month,2025-07,F0,0.8012700957293866,0.47041945354145853,0.6127999999999999,0.9087999999999999,0.7897523809523809,0.5237921795726213,0.04222260197280717,0.8611937574617623,2.3659834189066733,230,21,20,"{""OTHER_UNREGISTERED_FAMILY"": 116, ""unregistered_primitive_like__2-3-2"": 51, ""unregistered_primitive_like__2-5-2"": 12, ""unregistered_primitive_like__4-7-4"": 8, ""unregistered_primitive_like__5-6-5"": 43}"
assessment_month,2025-07,F1,0.7973225294709353,0.4701242287361255,0.6301714285714284,0.9131428571428571,0.7991619047619049,0.5248898222905874,0.05477320577072784,0.8584083147753272,2.359402277647234,230,21,20,"{""OTHER_UNREGISTERED_FAMILY"": 116, ""unregistered_primitive_like__2-3-2"": 51, ""unregistered_primitive_like__2-5-2"": 12, ""unregistered_primitive_like__4-7-4"": 8, ""unregistered_primitive_like__5-6-5"": 43}"
assessment_month,2025-08,F0,0.7434458627470049,0.4083483161770908,0.7089947089947088,0.9047619047619045,0.8364197530864197,0.5687537300755747,0.06724611837414596,0.8248197285993214,2.2814694445633554,189,16,20,"{""OTHER_UNREGISTERED_FAMILY"": 82, ""unregistered_primitive_like__2-3-2"": 35, ""unregistered_primitive_like__2-5-2"": 8, ""unregistered_primitive_like__4-7-4"": 6, ""unregistered_primitive_like__5-6-5"": 58}"
assessment_month,2025-08,F1,0.7334147665967792,0.40478061124921333,0.7195767195767195,0.9100529100529099,0.8430335097001763,0.5728312047548096,0.06036034332295816,0.8169408937445313,2.2635647502690714,189,16,20,"{""OTHER_UNREGISTERED_FAMILY"": 82, ""unregistered_primitive_like__2-3-2"": 35, ""unregistered_primitive_like__2-5-2"": 8, ""unregistered_primitive_like__4-7-4"": 6, ""unregistered_primitive_like__5-6-5"": 58}"
