model_name,target_lead_sessions,eligible_forecasts,observable_targets,coverage,brier_score,log_loss,ece,calibration_slope,calibration_intercept,auc,active_count,precision_active,recall_active,mean_target_payoff_when_active_bps,median_target_payoff_when_active_bps,positive_payoff_rate,abstention_rate,onset_precision,onset_recall,false_onset_rate
hierarchical_change_point,0,8360,2801,0.33504784689,0.324973510402,0.971991520617,0.238519992229,-0.000864892403117,-0.125245827156,0.487872515539,90,0.344444444444,0.023610053313,-53.6176396446,-47.8905183002,0.46876115673,0.685112459836,,0,
hierarchical_change_point,1,8360,2787,0.333373205742,0.328631670408,1.01422312049,0.239684969444,-0.0361387961931,-0.132901726688,0.477356890606,88,0.522727272727,0.0352490421456,-21.0616820111,3.39408820232,0.468245425188,0.682095443129,,0,
hierarchical_change_point,2,8360,2769,0.331220095694,0.325247418044,1.00672902698,0.232806180951,-0.0270598493612,-0.138790058472,0.487384295775,81,0.41975308642,0.0263361735089,-25.284757232,-18.8444833315,0.466233297219,0.681834597328,,0,
hierarchical_change_point,3,8360,2752,0.329186602871,0.317005248922,0.955981607436,0.218996762514,0.0128259375042,-0.12906512999,0.505826202636,86,0.46511627907,0.0311041990669,-9.24874876093,-13.2457400579,0.467296511628,0.687863372093,,0,
hierarchical_change_point,5,8360,2722,0.325598086124,0.317544630157,1.00105076996,0.226392794708,-0.0197157765598,-0.14262696007,0.503559384928,80,0.4375,0.0276461295419,-45.9014532543,-49.2879097971,0.465099191771,0.683321087436,,0,
hierarchical_payoff_history_change_point,0,8360,2801,0.33504784689,0.275706488329,0.75795382295,0.112270977286,-0.035931026313,-0.127310198069,0.500481639355,120,0.366666666667,0.033511043412,-48.0645006172,-46.0376582321,0.46876115673,0.646911817208,,0,
hierarchical_payoff_history_change_point,1,8360,2787,0.333373205742,0.27389445965,0.753902625971,0.111326907409,-0.000316320666543,-0.127353607756,0.50625849918,122,0.524590163934,0.0490421455939,-11.8831920475,3.81680657537,0.468245425188,0.644779332616,,0,
hierarchical_payoff_history_change_point,2,8360,2769,0.331220095694,0.272958346606,0.75184260225,0.1061297057,0.0122281804307,-0.134623478837,0.510194444939,112,0.464285714286,0.0402788536019,-16.0600381667,-5.21793407141,0.466233297219,0.644275911882,,0,
hierarchical_payoff_history_change_point,3,8360,2752,0.329186602871,0.269736584256,0.743712549241,0.105511457844,0.0695762819306,-0.127534219591,0.518120423747,115,0.486956521739,0.0435458786936,-0.973542931078,-0.283546701741,0.467296511628,0.649345930233,,0,
hierarchical_payoff_history_change_point,5,8360,2722,0.325598086124,0.273885910723,0.753417487891,0.122243839382,0.00375826818413,-0.139800195038,0.501803834002,118,0.483050847458,0.0450236966825,-20.7584120892,-1.56642528956,0.465099191771,0.646216017634,,0,
payoff_only_change_point,0,8360,2801,0.33504784689,0.296145402188,0.852386383889,0.148512748934,-0.0477731069203,-0.126976050724,0.48783310403,103,0.417475728155,0.032749428789,-16.3681343022,-41.6957210777,0.46876115673,0.757586576223,,0,
payoff_only_change_point,1,8360,2787,0.333373205742,0.296937988347,0.854785236925,0.155150745216,-0.0505608881264,-0.129380569125,0.484062905569,101,0.435643564356,0.0337164750958,-16.3566291973,-10.6970254431,0.468245425188,0.75421600287,,0,
payoff_only_change_point,2,8360,2769,0.331220095694,0.292111147926,0.841878456812,0.144185950381,-0.0126093439526,-0.135664807677,0.498997168909,97,0.432989690722,0.0325329202169,-24.3670756119,-10.6970254431,0.466233297219,0.759479956663,,0,
payoff_only_change_point,3,8360,2752,0.329186602871,0.290559129352,0.841745664841,0.137158871253,-0.00975751830053,-0.131272450211,0.507358339044,93,0.483870967742,0.0349922239502,-13.570020114,-0.283546701741,0.467296511628,0.761264534884,,0,
payoff_only_change_point,5,8360,2722,0.325598086124,0.291267495706,0.837800351573,0.150154728765,0.00434921681734,-0.139733963454,0.497804747583,90,0.488888888889,0.0347551342812,-7.53653095682,-0.0170964554383,0.465099191771,0.767450404115,,0,
v1_60_session_selector,0,8360,2801,0.33504784689,0.25794150012,0.710436202733,0.0632940377918,0.0626311126314,-0.126684314993,0.507182363708,1307,0.479724560061,0.477532368621,-1.71708586062,-8.28285403059,0.46876115673,0,0.0899653979239,0.241860465116,0.910034602076
v1_60_session_selector,1,8360,2787,0.333373205742,0.258234459621,0.711107497785,0.0644718618652,0.0504509892623,-0.128566416694,0.506466098934,1293,0.473317865429,0.468965517241,-4.26847873829,-10,0.468245425188,0,0.07917383821,0.222222222222,0.92082616179
v1_60_session_selector,2,8360,2769,0.331220095694,0.258501010917,0.711693770306,0.0659387229357,0.0411816105144,-0.136590160505,0.503368537675,1277,0.473766640564,0.468628969791,-4.27440837115,-10,0.466233297219,0,0.13691507799,0.221288515406,0.86308492201
v1_60_session_selector,3,8360,2752,0.329186602871,0.258400198873,0.711586597883,0.0640892443572,0.0420642620478,-0.132313425874,0.504273910027,1265,0.475889328063,0.468118195956,-3.70278495034,-9.22380975923,0.467296511628,0,0.194055944056,0.221115537849,0.805944055944
v1_60_session_selector,5,8360,2722,0.325598086124,0.25865585386,0.712074817125,0.0618187994767,0.035651498116,-0.14070321905,0.503768792424,1252,0.476837060703,0.471563981043,-3.44776016368,-8.86652169447,0.465099191771,0,0.294938917976,0.222661396574,0.705061082024
