target_lead_sessions,contribution_bin,forecasts,mean_feature_contribution,mean_future_payoff_bps,positive_payoff_rate,independent_stock_support,spearman_future_payoff,spearman_future_payoff_p_value,spearman_positive_event,spearman_positive_event_p_value
0,bin_1,359,-0.383108575779,-11.4143355235,0.473537604457,1123,,,,
0,bin_2,384,-0.194777368593,1.71853111248,0.466145833333,1240,,,,
0,bin_3,563,-0.0620686790528,-3.53777654604,0.479573712256,1729,,,,
0,bin_4,377,0.0428793801372,-2.97271989856,0.480106100796,1224,,,,
0,bin_5,1118,0.22733372532,-3.67517667605,0.45885509839,4232,,,,
1,bin_1,355,-0.383424557155,-5.7230484787,0.478873239437,1142,,,,
1,bin_2,384,-0.194992058975,21.2859756577,0.528645833333,1288,,,,
1,bin_3,568,-0.0611050558305,-9.00620916826,0.43838028169,1747,,,,
1,bin_4,381,0.0428798105875,11.2697477964,0.51968503937,1157,,,,
1,bin_5,1099,0.225353197151,-14.2244936399,0.441310282075,4166,,,,
2,bin_1,335,-0.388972846823,4.21078206701,0.50447761194,1139,,,,
2,bin_2,381,-0.194215613296,15.9759464279,0.49343832021,1240,,,,
2,bin_3,562,-0.0609635399433,-8.78132728145,0.453736654804,1709,,,,
2,bin_4,387,0.0429397402607,-9.25344001156,0.452196382429,1153,,,,
2,bin_5,1104,0.227318803586,-10.1170425077,0.45652173913,4200,,,,
3,bin_1,338,-0.388976947462,1.69515816198,0.461538461538,1078,,,,
3,bin_2,387,-0.194971873108,6.78602853894,0.462532299742,1298,,,,
3,bin_3,558,-0.0618759571428,-10.002898608,0.460573476703,1662,,,,
3,bin_4,382,0.0427513788015,4.19236003391,0.526178010471,1190,,,,
3,bin_5,1087,0.227451198224,-9.86409630502,0.453541858326,4160,,,,
5,bin_1,343,-0.386581651782,-1.63265345291,0.472303206997,1127,,,,
5,bin_2,357,-0.194974672485,3.15639413535,0.453781512605,1119,,,,
5,bin_3,545,-0.0590911882148,-5.67821804625,0.456880733945,1691,,,,
5,bin_4,370,0.0438002047339,-13.2164273095,0.437837837838,1161,,,,
5,bin_5,1107,0.22585505821,-5.86420326704,0.479674796748,4173,,,,
0,continuous_rank_diagnostic,2801,,,,,-0.00501411341615,0.790814927213,-0.019220074846,0.309223726754
1,continuous_rank_diagnostic,2787,,,,,-0.0448466733952,0.0179001691128,-0.0471758857849,0.012746265302
2,continuous_rank_diagnostic,2769,,,,,-0.0317361983898,0.0949854317719,-0.03002741262,0.114170110991
3,continuous_rank_diagnostic,2752,,,,,-0.0110676229017,0.56167453378,-0.00537818166368,0.777935361845
5,continuous_rank_diagnostic,2722,,,,,-0.00881992138219,0.645546733292,0.0102341149758,0.59354145866
