excluded_stock,target_lead_sessions,paired_forecasts,paired_observable_targets,paired_brier_improvement,paired_log_loss_improvement,paired_absolute_error_improvement_bps,paired_economic_increment_bps,primary_registered_endpoint,all_stock_dependent_inputs_rebuilt
NVTS,3,8360,2701,-0.0497624708072,-0.215751384244,0,-751.52009666,False,True
NVTS,5,8360,2671,-0.047182448762,-0.252756596314,0,-1644.4043278,False,True
QBTS,0,8360,2710,-0.0447268452554,-0.208375601512,0,3581.00818277,False,True
QBTS,1,8360,2697,-0.0544405497752,-0.259963845529,0,-399.541034384,True,True
QBTS,2,8360,2679,-0.0490095103247,-0.246968449942,0,-1365.66337359,False,True
QBTS,3,8360,2663,-0.0471920461906,-0.223848498734,0,-927.634115434,False,True
QBTS,5,8360,2634,-0.0451303046143,-0.234844865182,0,-1843.17492916,False,True
RGTI,0,8360,2707,-0.0459445727175,-0.205946104118,0,1136.87429896,False,True
RGTI,1,8360,2693,-0.0563581884646,-0.269307016588,0,1263.69025586,True,True
RGTI,2,8360,2677,-0.049495427465,-0.232232719929,0,-1031.48599104,False,True
RGTI,3,8360,2660,-0.0474879051656,-0.209875084796,0,-1151.8947469,False,True
RGTI,5,8360,2632,-0.0406145827674,-0.236992060292,0,-1397.46570097,False,True
RIOT,0,8360,2766,-0.0484553559464,-0.20870999966,0,3399.61517645,False,True
RIOT,1,8360,2752,-0.0561012109201,-0.267519404641,0,-1121.03925471,True,True
RIOT,2,8360,2734,-0.0528385881431,-0.254095575888,0,741.79382689,False,True
RIOT,3,8360,2717,-0.048145530794,-0.220339200507,0,-1103.07715029,False,True
RIOT,5,8360,2687,-0.0422935450876,-0.235131501404,0,-1524.41621738,False,True
RIVN,0,8170,2770,-0.0467039758754,-0.193909285387,0,1000.97770422,False,True
RIVN,1,8170,2756,-0.0545648833215,-0.258250086159,0,-1440.54134888,True,True
RIVN,2,8170,2738,-0.0510877941312,-0.247992922946,0,470.72280979,False,True
RIVN,3,8170,2721,-0.047560403177,-0.208484489449,0,-1000.39239832,False,True
RIVN,5,8170,2691,-0.0426699378628,-0.240661059335,0,-944.682922828,False,True
SMCI,0,8360,2766,-0.0498570037021,-0.21272664622,0,2377.84384013,False,True
SMCI,1,8360,2753,-0.0552128117334,-0.261503056229,0,-982.413711483,True,True
SMCI,2,8360,2736,-0.0526889308035,-0.253505756143,0,-1018.10497058,False,True
SMCI,3,8360,2719,-0.0457802514438,-0.190853520555,0,-451.559930722,False,True
SMCI,5,8360,2689,-0.0450576301804,-0.254407976885,0,-876.690532485,False,True
SOFI,0,8360,2783,-0.0497288823478,-0.215322523129,0,627.899912975,False,True
SOFI,1,8360,2769,-0.0559076096717,-0.264387674247,0,-1464.92795704,True,True
SOFI,2,8360,2751,-0.0540856031501,-0.259279066409,0,1130.99073822,False,True
SOFI,3,8360,2734,-0.0488495762477,-0.214634293571,0,-551.051324838,False,True
SOFI,5,8360,2704,-0.0461998724434,-0.254309681989,0,-1188.1594054,False,True
WULF,0,8360,2722,-0.0461812941517,-0.201845532741,0,1290.08282464,False,True
WULF,1,8360,2708,-0.0525731051835,-0.248453611001,0,-1198.56167892,True,True
WULF,2,8360,2690,-0.0521764874589,-0.257013107281,0,1013.62479956,False,True
WULF,3,8360,2674,-0.0474318229439,-0.221349914106,0,1487.04441491,False,True
WULF,5,8360,2646,-0.0447420117657,-0.253475632273,0,-645.291243004,False,True
