symbol,present_in_safe_raw_manifest,raw_file_hash,data_qa_only,used_in_observable_model_training,used_in_feature_selection,used_in_threshold_selection,used_in_directional_outcome_analysis,used_in_post_hoc_tail_inspection,used_in_any_price_or_payoff_report,used_only_in_structural_nonprice_research,exposure_evidence_paths,exposure_status,eligible_for_cross_stock_holdout,exclusion_reason,vendor_qa_status,vendor_qa_issue_codes,bar_audit_passed,bar_audit_issue_codes,safe_raw_file
MARA,true,415969c4658973eb2ca0addabfb3e6dd5dc4505232f40dfcd652bacf30f6a0da,false,true,false,true,true,true,true,false,data/reports/audits/MARA_5m_audit.json|data/reports/research/20260630120142_vwap_reclaim_v2_intraday_session_flat_MARA_5m.json|data/reports/vendor_qa/MARA_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=MARA/interval=5m/2024-01-01_2025-08-23.json
MP,true,461ef4f756acd9a5c6e1fd24c8be5dec0ff67b89414c0fb9c6bbf8de7a6cf879,false,true,false,true,true,true,true,false,data/reports/audits/MP_5m_audit.json|data/reports/research/20260630120652_vwap_reclaim_v2_intraday_session_flat_MP_5m.json|data/reports/vendor_qa/MP_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=MP/interval=5m/2024-01-01_2025-08-23.json
MRNA,true,484d41670946cb5133116e7c3402847342fa68a76bf8063c8f06fd94b9fb574a,false,true,false,true,true,true,true,false,data/reports/audits/MRNA_5m_audit.json|data/reports/research/20260630121156_vwap_reclaim_v2_intraday_session_flat_MRNA_5m.json|data/reports/vendor_qa/MRNA_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=MRNA/interval=5m/2024-01-01_2025-08-23.json
MRVL,true,45e91fa5ce2d00863fa5f23511fa8ec7f9d492461343a0820c4ea8c3b853f3b7,false,false,false,false,true,false,true,false,data/reports/audits/MRVL_5m_audit.json|data/reports/research/20260628200825_moving_average_momentum_v1_MRVL_1d.json|data/reports/vendor_qa/MRVL_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=MRVL/interval=5m/2024-01-01_2025-08-23.json
MSFT,true,8a634e9a1f4eb4ec08cb155645c382302c9793c1e9c636897c43943ea50eee43,false,false,false,false,true,false,true,false,data/reports/audits/MSFT_5m_audit.json|data/reports/research/20260628195301_moving_average_momentum_v1_MSFT.US_1d.json|data/reports/vendor_qa/MSFT_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=MSFT/interval=5m/2024-01-01_2025-08-23.json
MSTR,true,71b7f70b5e7c314316d34c25e6783d4c260d287a60e5dd9e5651c9d58a9c0dcf,false,true,false,true,true,true,true,false,data/reports/audits/MSTR_5m_audit.json|data/reports/research/20260630112032_vwap_reclaim_v2_intraday_session_flat_MSTR_5m.json|data/reports/vendor_qa/MSTR_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=MSTR/interval=5m/2024-01-01_2025-08-23.json
MU,true,e70c5286a5b3977142856dd771f0a3c33d1ac9f50091fd8251caf1aa81cabd69,false,false,false,false,true,false,true,false,data/reports/audits/MU_5m_audit.json|data/reports/research/20260628200826_moving_average_momentum_v1_MU_1d.json|data/reports/vendor_qa/MU_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=MU/interval=5m/2024-01-01_2025-08-23.json
NBIS,true,a54552cec2c3da354b45802602e8a72354f0c42b3c6673b32963592a25cb6737,false,false,false,false,true,false,true,false,data/reports/audits/NBIS_5m_audit.json|data/reports/research/20260630113839_vwap_reclaim_v2_intraday_session_flat_NBIS_5m.json|data/reports/vendor_qa/NBIS_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=NBIS/interval=5m/2024-01-01_2025-08-23.json
NVDA,true,f7a95b5720b296616fd181d59a9bb21d6b355cefab92fc10827be38cd06ca62b,false,false,false,false,true,false,true,false,data/reports/audits/NVDA_5m_audit.json|data/reports/research/20260628195302_moving_average_momentum_v1_NVDA.US_1d.json|data/reports/vendor_qa/NVDA_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=NVDA/interval=5m/2024-01-01_2025-08-23.json
NVTS,true,ec3528caddda4462b94a3feab084034eb04a734485a01bd2ce3203a72ec67c67,false,true,false,true,true,true,true,false,data/reports/audits/NVTS_5m_audit.json|data/reports/research/20260630112757_vwap_reclaim_v2_intraday_session_flat_NVTS_5m.json|data/reports/vendor_qa/NVTS_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=NVTS/interval=5m/2024-01-01_2025-08-23.json
OKLO,true,5bf51c768fbb87aed81595994859a907ade1d4455e03b20a5e7c740cea6ebd6f,false,false,false,false,true,false,true,false,data/reports/audits/OKLO_5m_audit.json|data/reports/research/20260630115126_vwap_reclaim_v2_intraday_session_flat_OKLO_5m.json|data/reports/vendor_qa/OKLO_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=OKLO/interval=5m/2024-01-01_2025-08-23.json
ORCL,true,fbe7963c08ac1b924bb86e6fa12f8dbaa86b280c04c8f6020e393c5969c675f1,false,false,false,false,true,false,true,false,data/reports/audits/ORCL_5m_audit.json|data/reports/research/20260628200833_moving_average_momentum_v1_ORCL_1d.json|data/reports/vendor_qa/ORCL_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=ORCL/interval=5m/2024-01-01_2025-08-23.json
PLTR,true,9ae6929fe027e5a44371fdcd71fe102322ea50d9496791d3b2609fcc2519647d,false,false,false,false,true,false,true,false,data/reports/audits/PLTR_5m_audit.json|data/reports/research/20260628200836_moving_average_momentum_v1_PLTR_1d.json|data/reports/vendor_qa/PLTR_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=PLTR/interval=5m/2024-01-01_2025-08-23.json
QBTS,true,ac16142da6f31075dac0d10134286483b9ac58f54fb0731306bd7b14f2fb60cd,false,true,false,true,true,true,true,false,data/reports/audits/QBTS_5m_audit.json|data/reports/research/20260630113813_vwap_reclaim_v2_intraday_session_flat_QBTS_5m.json|data/reports/vendor_qa/QBTS_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=QBTS/interval=5m/2024-01-01_2025-08-23.json
RGTI,true,a1724e78c1fe10499c57595030d2f64c0e11f70537c114dd13d2af781c9f4ea4,false,true,false,true,true,true,true,false,data/reports/audits/RGTI_5m_audit.json|data/reports/research/20260630114322_vwap_reclaim_v2_intraday_session_flat_RGTI_5m.json|data/reports/vendor_qa/RGTI_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=RGTI/interval=5m/2024-01-01_2025-08-23.json
