period,mechanism,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_session_count,unique_transition_event_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_prediction_following_rate,material_prediction_opposing_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,mean_raw_signed_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_month_share,maximum_session_share,maximum_transition_event_share,status
assessment,baseline,follow_vti_opening_transition,all_severe_opening_episodes,130,130,0,43,43,20,68,62,51,15,64,0.42424242424242425,0.2153846153846154,0.42424242424242425,0.5757575757575758,-0.15151515151515155,-0.00136467595868738,0.00046129641931257217,0.005125113477205651,0.4418604651162791,0.25,0.11538461538461539,0.23076923076923078,0.06153846153846154,0.06153846153846154,evaluated
assessment,baseline,oppose_vti_opening_transition,all_severe_opening_episodes,130,130,0,43,43,20,62,68,51,15,64,0.5757575757575758,0.2923076923076923,0.5757575757575758,0.42424242424242425,0.15151515151515155,0.00136467595868738,-0.00046129641931257217,0.005125113477205651,0.5581395348837209,0.75,0.11538461538461539,0.23076923076923078,0.06153846153846154,0.06153846153846154,evaluated
assessment,baseline,recent_stock_5m_momentum,all_severe_opening_episodes,130,128,2,42,42,20,44,84,50,15,63,0.4307692307692308,0.21875,0.4307692307692308,0.5692307692307692,-0.1384615384615384,0.000693233446670679,-0.000932748980464175,0.005128692683570319,0.5238095238095238,0.625,0.1171875,0.2265625,0.0625,0.0625,evaluated
assessment,baseline,stock_opening_window_momentum,all_severe_opening_episodes,130,129,1,43,43,20,61,68,51,15,63,0.45454545454545453,0.23255813953488372,0.45454545454545453,0.5454545454545454,-0.09090909090909088,-0.0003148080903448075,-0.001136696998695028,0.005107864578341984,0.5116279069767442,0.5,0.11627906976744186,0.23255813953488372,0.06201550387596899,0.06201550387596899,evaluated
assessment,baseline,frozen_A1,all_severe_opening_episodes,130,49,81,25,25,20,30,19,27,3,19,0.6333333333333333,0.3877551020408163,0.6333333333333333,0.36666666666666664,0.26666666666666666,0.0023517743361254617,0.002607737471499852,0.008779872557377312,0.56,0.5,0.10204081632653061,0.2653061224489796,0.10204081632653061,0.10204081632653061,evaluated
assessment,baseline,existing_clean_market_direction_baseline,all_severe_opening_episodes,130,130,0,43,43,20,72,58,51,15,64,0.4090909090909091,0.2076923076923077,0.4090909090909091,0.5909090909090909,-0.18181818181818182,-0.001593133601491976,0.00020470829354522736,0.005125113477205651,0.4186046511627907,0.25,0.11538461538461539,0.23076923076923078,0.06153846153846154,0.06153846153846154,evaluated
assessment,baseline,always_CALL,all_severe_opening_episodes,130,130,0,43,43,20,130,0,51,15,64,0.7727272727272727,0.3923076923076923,0.7727272727272727,0.22727272727272727,0.5454545454545454,0.005125113477205651,0.005298402598311652,0.005125113477205651,0.6511627906976745,0.875,0.11538461538461539,0.23076923076923078,0.06153846153846154,0.06153846153846154,evaluated
assessment,baseline,always_PUT,all_severe_opening_episodes,130,130,0,43,43,20,0,130,51,15,64,0.22727272727272727,0.11538461538461539,0.22727272727272727,0.7727272727272727,-0.5454545454545454,-0.005125113477205651,-0.005298402598311652,0.005125113477205651,0.3488372093023256,0.125,0.11538461538461539,0.23076923076923078,0.06153846153846154,0.06153846153846154,evaluated
assessment,baseline,frozen_D2,all_severe_opening_episodes,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
assessment,baseline,follow_vti_opening_transition,amplification_acted_episodes,83,83,0,35,35,20,41,42,35,12,36,0.40425531914893614,0.2289156626506024,0.40425531914893614,0.5957446808510638,-0.19148936170212766,-0.0015411013733613367,-0.002634408491173292,0.00508615114929997,0.4,0.375,0.13253012048192772,0.2289156626506024,0.07228915662650602,0.07228915662650602,evaluated
assessment,baseline,oppose_vti_opening_transition,amplification_acted_episodes,83,83,0,35,35,20,42,41,35,12,36,0.5957446808510638,0.3373493975903614,0.5957446808510638,0.40425531914893614,0.19148936170212766,0.0015411013733613367,0.002634408491173292,0.00508615114929997,0.5714285714285714,0.625,0.13253012048192772,0.2289156626506024,0.07228915662650602,0.07228915662650602,evaluated
assessment,baseline,recent_stock_5m_momentum,amplification_acted_episodes,83,81,2,34,34,19,26,55,34,12,35,0.45652173913043476,0.25925925925925924,0.45652173913043476,0.5434782608695652,-0.08695652173913043,0.0009213106036470342,-0.001987034980338569,0.005090845146323008,0.4411764705882353,0.625,0.13580246913580246,0.2222222222222222,0.07407407407407407,0.07407407407407407,evaluated
assessment,baseline,stock_opening_window_momentum,amplification_acted_episodes,83,83,0,35,35,20,41,42,35,12,36,0.40425531914893614,0.2289156626506024,0.40425531914893614,0.5957446808510638,-0.19148936170212766,-0.0015411013733613367,-0.002634408491173292,0.00508615114929997,0.4,0.375,0.13253012048192772,0.2289156626506024,0.07228915662650602,0.07228915662650602,evaluated
assessment,baseline,frozen_A1,amplification_acted_episodes,83,33,50,19,19,19,22,11,20,2,11,0.6818181818181818,0.45454545454545453,0.6818181818181818,0.3181818181818182,0.3636363636363636,0.003639147470363579,0.006343443810762489,0.010277637181885818,0.5263157894736842,0.5714285714285714,0.09090909090909091,0.24242424242424243,0.15151515151515152,0.15151515151515152,evaluated
assessment,baseline,existing_clean_market_direction_baseline,amplification_acted_episodes,83,83,0,35,35,20,41,42,35,12,36,0.3404255319148936,0.1927710843373494,0.3404255319148936,0.6595744680851063,-0.3191489361702127,-0.002888676910305188,-0.0033703446836780655,0.00508615114929997,0.37142857142857144,0.25,0.13253012048192772,0.2289156626506024,0.07228915662650602,0.07228915662650602,evaluated
assessment,baseline,always_CALL,amplification_acted_episodes,83,83,0,35,35,20,83,0,35,12,36,0.7446808510638298,0.42168674698795183,0.7446808510638298,0.2553191489361702,0.48936170212765956,0.00508615114929997,0.005965045483767441,0.00508615114929997,0.6285714285714286,0.875,0.13253012048192772,0.2289156626506024,0.07228915662650602,0.07228915662650602,evaluated
assessment,baseline,always_PUT,amplification_acted_episodes,83,83,0,35,35,20,0,83,35,12,36,0.2553191489361702,0.14457831325301204,0.2553191489361702,0.7446808510638298,-0.48936170212765956,-0.00508615114929997,-0.005965045483767441,0.00508615114929997,0.34285714285714286,0.125,0.13253012048192772,0.2289156626506024,0.07228915662650602,0.07228915662650602,evaluated
assessment,baseline,frozen_D2,amplification_acted_episodes,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
assessment,baseline,follow_vti_opening_transition,resistance_acted_episodes,47,47,0,28,28,17,27,20,16,3,28,0.47368421052631576,0.19148936170212766,0.47368421052631576,0.5263157894736842,-0.05263157894736842,-0.0010531161838376263,0.0017991580629248484,0.005193919290315688,0.6071428571428571,0.5,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,evaluated
assessment,baseline,oppose_vti_opening_transition,resistance_acted_episodes,47,47,0,28,28,17,20,27,16,3,28,0.5263157894736842,0.2127659574468085,0.5263157894736842,0.47368421052631576,0.05263157894736842,0.0010531161838376263,-0.0017991580629248484,0.005193919290315688,0.39285714285714285,0.5,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,evaluated
assessment,baseline,recent_stock_5m_momentum,resistance_acted_episodes,47,47,0,28,28,17,18,29,16,3,28,0.3684210526315789,0.14893617021276595,0.3684210526315789,0.631578947368421,-0.2631578947368421,0.00030016430379653356,0.000578115086614564,0.005193919290315688,0.5,0.625,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,evaluated
assessment,baseline,stock_opening_window_momentum,resistance_acted_episodes,47,46,1,28,28,17,20,26,16,3,27,0.5789473684210527,0.2391304347826087,0.5789473684210527,0.42105263157894735,0.1578947368421053,0.0018978515290111035,-0.0009153568840587244,0.00514704315683084,0.39285714285714285,0.5,0.10869565217391304,0.2608695652173913,0.10869565217391304,0.10869565217391304,evaluated
assessment,baseline,frozen_A1,resistance_acted_episodes,47,16,31,14,14,10,8,8,7,1,8,0.5,0.25,0.5,0.5,0.0,-0.00030343275324065395,-0.001884765790288916,0.00569073301932852,0.5,0.42857142857142855,0.125,0.3125,0.125,0.125,evaluated
assessment,baseline,existing_clean_market_direction_baseline,resistance_acted_episodes,47,47,0,28,28,17,31,16,16,3,28,0.5789473684210527,0.23404255319148937,0.5789473684210527,0.42105263157894735,0.1578947368421053,0.0006947407523696543,0.0018304965755564456,0.005193919290315688,0.6785714285714286,0.625,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,evaluated
assessment,baseline,always_CALL,resistance_acted_episodes,47,47,0,28,28,17,47,0,16,3,28,0.8421052631578947,0.3404255319148936,0.8421052631578947,0.15789473684210525,0.6842105263157894,0.005193919290315688,0.0022104672175888205,0.005193919290315688,0.75,0.875,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,evaluated
assessment,baseline,always_PUT,resistance_acted_episodes,47,47,0,28,28,17,0,47,16,3,28,0.15789473684210525,0.06382978723404255,0.15789473684210525,0.8421052631578947,-0.6842105263157894,-0.005193919290315688,-0.0022104672175888205,0.005193919290315688,0.25,0.125,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,evaluated
assessment,baseline,frozen_D2,resistance_acted_episodes,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
stress,baseline,follow_vti_opening_transition,all_severe_opening_episodes,101,101,0,13,13,20,63,38,19,38,44,0.17543859649122806,0.09900990099009901,0.17543859649122806,0.8245614035087719,-0.6491228070175439,-0.010307735846495818,-0.008613008410907598,-0.006536215793650222,0.23076923076923078,0.0,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,evaluated
stress,baseline,oppose_vti_opening_transition,all_severe_opening_episodes,101,101,0,13,13,20,38,63,19,38,44,0.8245614035087719,0.46534653465346537,0.8245614035087719,0.17543859649122806,0.6491228070175439,0.010307735846495818,0.008613008410907598,-0.006536215793650222,0.7692307692307693,1.0,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,evaluated
stress,baseline,recent_stock_5m_momentum,all_severe_opening_episodes,101,100,1,13,13,20,63,37,18,38,44,0.26785714285714285,0.15,0.26785714285714285,0.7321428571428571,-0.46428571428571425,-0.007217296553007042,-0.004576740407254547,-0.0068071943360819166,0.38461538461538464,0.25,0.09,0.58,0.14,0.14,evaluated
stress,baseline,stock_opening_window_momentum,all_severe_opening_episodes,101,101,0,13,13,20,62,39,19,38,44,0.3333333333333333,0.18811881188118812,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.005946760328584711,-0.004589759486729629,-0.006536215793650222,0.3076923076923077,0.25,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,evaluated
stress,baseline,frozen_A1,all_severe_opening_episodes,101,49,52,13,13,17,23,26,8,13,28,0.5714285714285714,0.24489795918367346,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0009550205983108827,0.0017166957374068063,-0.004869725275258345,0.6153846153846154,0.75,0.12244897959183673,0.5714285714285714,0.14285714285714285,0.14285714285714285,evaluated
stress,baseline,existing_clean_market_direction_baseline,all_severe_opening_episodes,101,101,0,13,13,20,65,36,19,38,44,0.21052631578947367,0.1188118811881188,0.21052631578947367,0.7894736842105263,-0.5789473684210527,-0.009897195752553095,-0.007332137173908067,-0.006536215793650222,0.23076923076923078,0.0,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,evaluated
stress,baseline,always_CALL,all_severe_opening_episodes,101,101,0,13,13,20,101,0,19,38,44,0.3333333333333333,0.18811881188118812,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.006536215793650222,-0.0032899192405354384,-0.006536215793650222,0.3076923076923077,0.25,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,evaluated
stress,baseline,always_PUT,all_severe_opening_episodes,101,101,0,13,13,20,0,101,19,38,44,0.6666666666666666,0.37623762376237624,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.006536215793650222,0.0032899192405354384,-0.006536215793650222,0.6923076923076923,0.75,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,evaluated
