period,mechanism,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_session_count,unique_transition_event_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_prediction_following_rate,material_prediction_opposing_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,mean_raw_signed_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_month_share,maximum_session_share,maximum_transition_event_share,raw_mean_aligned_return,winsorised_1pct_mean_aligned_return,support_status,support_checks_json,session_cluster_lower_95,session_cluster_upper_95,event_cluster_lower_95,event_cluster_upper_95,assessment_null_p_value,holm_adjusted_assessment_null_p_value
assessment,resistance_reversal,resistance_reversal,fixed_acted_population,47,47,0,28,28,17,20,27,16,3,28,0.5263157894736842,0.2127659574468085,0.5263157894736842,0.47368421052631576,0.05263157894736842,0.0010531161838376263,-0.0017991580629248484,0.005193919290315688,0.39285714285714285,0.5,0.1276595744680851,0.2553191489361702,0.10638297872340426,0.10638297872340426,0.0010531161838376263,0.0008673452687207665,pass,"{""maximum_event_share_20pct"":true,""maximum_session_share_20pct"":true,""maximum_stock_share_25pct"":true,""minimum_15_sessions"":true,""minimum_15_transition_events"":true,""minimum_30_episodes"":true,""minimum_8_call_predictions"":true,""minimum_8_put_predictions"":true,""minimum_8_stocks"":true}",-0.003054154376023036,0.005546342707087547,-0.0031078246526555988,0.005445990873518155,0.3156843156843157,0.6313686313686314
stress,resistance_reversal,resistance_reversal,fixed_acted_population,32,32,0,11,11,16,14,18,8,10,14,0.8333333333333334,0.46875,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.008300109026633248,0.007818338557359493,0.0004316676324017611,0.8181818181818182,1.0,0.125,0.46875,0.1875,0.1875,0.008300109026633248,0.008330053541910413,blocked_insufficient_support,"{""maximum_event_share_20pct"":true,""maximum_session_share_20pct"":true,""maximum_stock_share_25pct"":true,""minimum_15_sessions"":false,""minimum_15_transition_events"":false,""minimum_30_episodes"":true,""minimum_8_call_predictions"":true,""minimum_8_put_predictions"":true,""minimum_8_stocks"":true}",0.0035037614947222395,0.01337543275421817,0.003582289417837738,0.012967316045882587,,
