period,mechanism,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_session_count,unique_transition_event_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_prediction_following_rate,material_prediction_opposing_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,mean_raw_signed_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_month_share,maximum_session_share,maximum_transition_event_share,raw_mean_aligned_return,winsorised_1pct_mean_aligned_return,support_status,support_checks_json,session_cluster_lower_95,session_cluster_upper_95,event_cluster_lower_95,event_cluster_upper_95,assessment_null_p_value,holm_adjusted_assessment_null_p_value
assessment,market_following,market_following,fixed_acted_population,130,130,0,43,43,20,68,62,51,15,64,0.42424242424242425,0.2153846153846154,0.42424242424242425,0.5757575757575758,-0.15151515151515155,-0.00136467595868738,0.00046129641931257217,0.005125113477205651,0.4418604651162791,0.25,0.11538461538461539,0.23076923076923078,0.06153846153846154,0.06153846153846154,-0.00136467595868738,-0.0013579181161371223,pass,"{""maximum_event_share_20pct"":true,""maximum_session_share_20pct"":true,""maximum_stock_share_25pct"":true,""minimum_15_sessions"":true,""minimum_15_transition_events"":true,""minimum_30_episodes"":true,""minimum_8_call_predictions"":true,""minimum_8_put_predictions"":true,""minimum_8_stocks"":true}",-0.004999874677576403,0.0022240536080347082,-0.0049497700264812695,0.0021442756126466593,0.8411588411588412,
stress,market_following,market_following,fixed_acted_population,101,101,0,13,13,20,63,38,19,38,44,0.17543859649122806,0.09900990099009901,0.17543859649122806,0.8245614035087719,-0.6491228070175439,-0.010307735846495818,-0.008613008410907598,-0.006536215793650222,0.23076923076923078,0.0,0.0891089108910891,0.5742574257425742,0.13861386138613863,0.13861386138613863,-0.010307735846495818,-0.010631305401248913,blocked_insufficient_support,"{""maximum_event_share_20pct"":true,""maximum_session_share_20pct"":true,""maximum_stock_share_25pct"":true,""minimum_15_sessions"":false,""minimum_15_transition_events"":false,""minimum_30_episodes"":true,""minimum_8_call_predictions"":true,""minimum_8_put_predictions"":true,""minimum_8_stocks"":true}",-0.019420366412284926,-0.0021171499174120804,-0.019103632139191067,-0.002218897372976128,,
