period,mechanism,dimension,rank,value,episode_count,episode_share
assessment,market_following,stock,1,MARA,15,0.11538461538461539
assessment,market_following,stock,2,AAL,14,0.1076923076923077
assessment,market_following,stock,3,WULF,10,0.07692307692307693
assessment,market_following,stock,4,IONQ,9,0.06923076923076923
assessment,market_following,stock,5,ASTS,8,0.06153846153846154
assessment,market_following,stock,6,RIOT,8,0.06153846153846154
assessment,market_following,stock,7,IREN,8,0.06153846153846154
assessment,market_following,stock,8,SMCI,7,0.05384615384615385
assessment,market_following,stock,9,HIMS,6,0.046153846153846156
assessment,market_following,stock,10,MP,6,0.046153846153846156
assessment,market_following,stock,11,SOFI,6,0.046153846153846156
assessment,market_following,stock,12,APLD,5,0.038461538461538464
assessment,market_following,stock,13,AAOI,5,0.038461538461538464
assessment,market_following,stock,14,RIVN,4,0.03076923076923077
assessment,market_following,stock,15,MSTR,4,0.03076923076923077
assessment,market_following,stock,16,QBTS,4,0.03076923076923077
assessment,market_following,stock,17,CIFR,4,0.03076923076923077
assessment,market_following,stock,18,MRNA,3,0.023076923076923078
assessment,market_following,stock,19,RGTI,2,0.015384615384615385
assessment,market_following,stock,20,NVTS,2,0.015384615384615385
assessment,market_following,month,1,2025-04,30,0.23076923076923078
assessment,market_following,month,2,2025-01,24,0.18461538461538463
assessment,market_following,month,3,2025-03,20,0.15384615384615385
assessment,market_following,month,4,2025-05,19,0.14615384615384616
assessment,market_following,month,5,2025-08,15,0.11538461538461539
assessment,market_following,month,6,2025-07,10,0.07692307692307693
assessment,market_following,month,7,2025-06,7,0.05384615384615385
assessment,market_following,month,8,2025-02,5,0.038461538461538464
assessment,market_following,session,1,2025-01-06,8,0.06153846153846154
assessment,market_following,session,2,2025-05-12,7,0.05384615384615385
assessment,market_following,session,3,2025-07-22,6,0.046153846153846156
assessment,market_following,session,4,2025-04-02,6,0.046153846153846156
assessment,market_following,session,5,2025-05-13,6,0.046153846153846156
assessment,market_following,session,6,2025-04-23,5,0.038461538461538464
assessment,market_following,session,7,2025-08-15,5,0.038461538461538464
assessment,market_following,session,8,2025-04-15,5,0.038461538461538464
assessment,market_following,session,9,2025-03-24,5,0.038461538461538464
assessment,market_following,session,10,2025-01-02,5,0.038461538461538464
assessment,market_following,session,11,2025-03-04,4,0.03076923076923077
assessment,market_following,session,12,2025-07-17,4,0.03076923076923077
assessment,market_following,session,13,2025-06-02,4,0.03076923076923077
assessment,market_following,session,14,2025-08-01,4,0.03076923076923077
assessment,market_following,session,15,2025-08-20,4,0.03076923076923077
assessment,market_following,session,16,2025-01-13,3,0.023076923076923078
assessment,market_following,session,17,2025-03-18,3,0.023076923076923078
assessment,market_following,session,18,2025-03-03,3,0.023076923076923078
assessment,market_following,session,19,2025-04-21,3,0.023076923076923078
assessment,market_following,session,20,2025-04-14,3,0.023076923076923078
assessment,market_following,session,21,2025-04-11,3,0.023076923076923078
assessment,market_following,session,22,2025-01-10,3,0.023076923076923078
assessment,market_following,session,23,2025-05-22,3,0.023076923076923078
assessment,market_following,session,24,2025-04-16,2,0.015384615384615385
assessment,market_following,session,25,2025-04-22,2,0.015384615384615385
assessment,market_following,session,26,2025-03-07,2,0.015384615384615385
assessment,market_following,session,27,2025-06-23,2,0.015384615384615385
assessment,market_following,session,28,2025-05-19,2,0.015384615384615385
assessment,market_following,session,29,2025-02-20,2,0.015384615384615385
assessment,market_following,session,30,2025-08-04,2,0.015384615384615385
assessment,market_following,session,31,2025-03-17,2,0.015384615384615385
assessment,market_following,session,32,2025-03-28,1,0.007692307692307693
assessment,market_following,session,33,2025-01-16,1,0.007692307692307693
assessment,market_following,session,34,2025-01-15,1,0.007692307692307693
assessment,market_following,session,35,2025-02-24,1,0.007692307692307693
assessment,market_following,session,36,2025-04-24,1,0.007692307692307693
assessment,market_following,session,37,2025-01-08,1,0.007692307692307693
assessment,market_following,session,38,2025-05-30,1,0.007692307692307693
assessment,market_following,session,39,2025-02-25,1,0.007692307692307693
assessment,market_following,session,40,2025-02-27,1,0.007692307692307693
assessment,market_following,session,41,2025-06-05,1,0.007692307692307693
assessment,market_following,session,42,2025-01-27,1,0.007692307692307693
assessment,market_following,session,43,2025-01-14,1,0.007692307692307693
assessment,market_following,transition_event,1,opening-transition-v1-1dee32c928ea99ea2ec8b606,8,0.06153846153846154
assessment,market_following,transition_event,2,opening-transition-v1-41606cab932b90aae12dfe91,7,0.05384615384615385
assessment,market_following,transition_event,3,opening-transition-v1-c0920ecb2ab4bcf800e99c05,6,0.046153846153846156
assessment,market_following,transition_event,4,opening-transition-v1-53e9ee41e0495ab4c7edd4a1,6,0.046153846153846156
assessment,market_following,transition_event,5,opening-transition-v1-972f5ca66576082b210ca123,6,0.046153846153846156
assessment,market_following,transition_event,6,opening-transition-v1-ac2e8e12502fc4cdab03ee70,5,0.038461538461538464
assessment,market_following,transition_event,7,opening-transition-v1-95d3cc1350219a3e0f273b78,5,0.038461538461538464
assessment,market_following,transition_event,8,opening-transition-v1-45ca1bd160f2afc1d7f6cee1,5,0.038461538461538464
assessment,market_following,transition_event,9,opening-transition-v1-63fc8f4f9ddeacfa913bc828,5,0.038461538461538464
assessment,market_following,transition_event,10,opening-transition-v1-3aeb06bdbeb416153e8ecf20,5,0.038461538461538464
assessment,market_following,transition_event,11,opening-transition-v1-f584e64ed71c4e86ffb1ca8d,4,0.03076923076923077
assessment,market_following,transition_event,12,opening-transition-v1-f949128cba6fc1727dc7ec19,4,0.03076923076923077
assessment,market_following,transition_event,13,opening-transition-v1-b04edbe0916c06015da2f2b9,4,0.03076923076923077
assessment,market_following,transition_event,14,opening-transition-v1-abb585cc4f1fe941c25a7435,4,0.03076923076923077
assessment,market_following,transition_event,15,opening-transition-v1-3aaf98f8e151222c23fe2c4e,4,0.03076923076923077
assessment,market_following,transition_event,16,opening-transition-v1-ae46af0363851978997c5e7f,3,0.023076923076923078
assessment,market_following,transition_event,17,opening-transition-v1-357caad24b2cb35ffbf8ba63,3,0.023076923076923078
assessment,market_following,transition_event,18,opening-transition-v1-c6fb9de09de7ecbd29d2feb2,3,0.023076923076923078
assessment,market_following,transition_event,19,opening-transition-v1-44486132973100cda7a44063,3,0.023076923076923078
assessment,market_following,transition_event,20,opening-transition-v1-dd84a2d4e0ab3e98b0042d7c,3,0.023076923076923078
assessment,market_following,transition_event,21,opening-transition-v1-3c7e554b0525876e422f3ec9,3,0.023076923076923078
assessment,market_following,transition_event,22,opening-transition-v1-ecc3128a49dccaf05fb89945,3,0.023076923076923078
assessment,market_following,transition_event,23,opening-transition-v1-226f84f7371b68663031bfbc,3,0.023076923076923078
assessment,market_following,transition_event,24,opening-transition-v1-7b83466700634c8ba5fca992,2,0.015384615384615385
assessment,market_following,transition_event,25,opening-transition-v1-568c4f0994370a24f4c2e708,2,0.015384615384615385
assessment,market_following,transition_event,26,opening-transition-v1-1c71e769da242b258b7156c8,2,0.015384615384615385
assessment,market_following,transition_event,27,opening-transition-v1-5ec585e4cb02ea08fdf7c085,2,0.015384615384615385
assessment,market_following,transition_event,28,opening-transition-v1-283de66b8122f5b35538079c,2,0.015384615384615385
assessment,market_following,transition_event,29,opening-transition-v1-b303b6fee2556361c62dd340,2,0.015384615384615385
assessment,market_following,transition_event,30,opening-transition-v1-287fb6c9a7251b548077c0ad,2,0.015384615384615385
assessment,market_following,transition_event,31,opening-transition-v1-e022aca4482bf710c059a68f,2,0.015384615384615385
assessment,market_following,transition_event,32,opening-transition-v1-1aa4e314f6ae9e29713d74bc,1,0.007692307692307693
assessment,market_following,transition_event,33,opening-transition-v1-303d5afe8d29332d29f027e3,1,0.007692307692307693
assessment,market_following,transition_event,34,opening-transition-v1-d1c0e549ef42c1a5d8642e18,1,0.007692307692307693
assessment,market_following,transition_event,35,opening-transition-v1-3ecbeb0586b74f036361230d,1,0.007692307692307693
assessment,market_following,transition_event,36,opening-transition-v1-d336104487d03f6ac2d459bd,1,0.007692307692307693
assessment,market_following,transition_event,37,opening-transition-v1-40642ed31f06466c77401887,1,0.007692307692307693
assessment,market_following,transition_event,38,opening-transition-v1-04cedf0e092415f55f8fa212,1,0.007692307692307693
assessment,market_following,transition_event,39,opening-transition-v1-a41f0f4771e5664df1ce183d,1,0.007692307692307693
assessment,market_following,transition_event,40,opening-transition-v1-ac2a21d993b5e017ebad89e5,1,0.007692307692307693
assessment,market_following,transition_event,41,opening-transition-v1-680b3a00b39a1dba52c2fd51,1,0.007692307692307693
assessment,market_following,transition_event,42,opening-transition-v1-4503d72569fdd39f7054de90,1,0.007692307692307693
assessment,market_following,transition_event,43,opening-transition-v1-d2eb49d3a18a3a7db9caf1b6,1,0.007692307692307693
assessment,amplification_continuation,stock,1,AAL,11,0.13253012048192772
assessment,amplification_continuation,stock,2,MARA,10,0.12048192771084337
assessment,amplification_continuation,stock,3,RIOT,7,0.08433734939759036
assessment,amplification_continuation,stock,4,IONQ,6,0.07228915662650602
assessment,amplification_continuation,stock,5,SOFI,5,0.060240963855421686
assessment,amplification_continuation,stock,6,ASTS,5,0.060240963855421686
assessment,amplification_continuation,stock,7,SMCI,5,0.060240963855421686
assessment,amplification_continuation,stock,8,MSTR,4,0.04819277108433735
assessment,amplification_continuation,stock,9,QBTS,4,0.04819277108433735
assessment,amplification_continuation,stock,10,WULF,4,0.04819277108433735
assessment,amplification_continuation,stock,11,HIMS,4,0.04819277108433735
assessment,amplification_continuation,stock,12,APLD,4,0.04819277108433735
assessment,amplification_continuation,stock,13,IREN,3,0.03614457831325301
assessment,amplification_continuation,stock,14,AAOI,2,0.024096385542168676
assessment,amplification_continuation,stock,15,RGTI,2,0.024096385542168676
assessment,amplification_continuation,stock,16,RIVN,2,0.024096385542168676
assessment,amplification_continuation,stock,17,CIFR,2,0.024096385542168676
assessment,amplification_continuation,stock,18,MP,1,0.012048192771084338
assessment,amplification_continuation,stock,19,NVTS,1,0.012048192771084338
assessment,amplification_continuation,stock,20,MRNA,1,0.012048192771084338
assessment,amplification_continuation,month,1,2025-04,19,0.2289156626506024
assessment,amplification_continuation,month,2,2025-03,17,0.20481927710843373
assessment,amplification_continuation,month,3,2025-08,12,0.14457831325301204
assessment,amplification_continuation,month,4,2025-01,12,0.14457831325301204
assessment,amplification_continuation,month,5,2025-07,9,0.10843373493975904
assessment,amplification_continuation,month,6,2025-05,7,0.08433734939759036
assessment,amplification_continuation,month,7,2025-02,4,0.04819277108433735
assessment,amplification_continuation,month,8,2025-06,3,0.03614457831325301
assessment,amplification_continuation,session,1,2025-07-22,6,0.07228915662650602
assessment,amplification_continuation,session,2,2025-04-02,5,0.060240963855421686
assessment,amplification_continuation,session,3,2025-03-24,5,0.060240963855421686
assessment,amplification_continuation,session,4,2025-01-06,5,0.060240963855421686
assessment,amplification_continuation,session,5,2025-08-20,4,0.04819277108433735
assessment,amplification_continuation,session,6,2025-08-15,4,0.04819277108433735
assessment,amplification_continuation,session,7,2025-03-04,3,0.03614457831325301
assessment,amplification_continuation,session,8,2025-01-02,3,0.03614457831325301
assessment,amplification_continuation,session,9,2025-03-18,3,0.03614457831325301
assessment,amplification_continuation,session,10,2025-07-17,3,0.03614457831325301
assessment,amplification_continuation,session,11,2025-05-13,3,0.03614457831325301
assessment,amplification_continuation,session,12,2025-04-15,3,0.03614457831325301
assessment,amplification_continuation,session,13,2025-08-01,3,0.03614457831325301
assessment,amplification_continuation,session,14,2025-04-14,3,0.03614457831325301
