period,stock,session,checkpoint,fresh_episode_id,prior_canonical_fresh_episode_id_v1,minutes_since_prior_canonical_fresh_episode_v1,tail_phase_v1,market_shock_state_v1,included_in_primary_signed_shock_population_v1,included_in_tail_phase_diagnostics_v1,inclusion_exclusion_reason_v1
stress,NVTS,2025-10-07,28,m1c-86320d492f5cf3589bf4af99,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,NVTS,2025-10-17,10,,m1c-e31462441376c47e0c76d8b4,20.0,RE_ENTRY,POSITIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
stress,NVTS,2025-10-17,14,m1c-8063856159fc294821946672,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,NVTS,2025-10-22,14,m1c-44af95ec43fc4411c6321842,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,NVTS,2025-11-06,14,m1c-ae2c1446c0fdf5a43567fc3f,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,NVTS,2025-11-18,18,m1c-2cc079cb83b3ef266aa9e97b,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,NVTS,2025-11-21,20,m1c-b33c536da5a9181b0b6ad3a0,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,NVTS,2025-12-18,14,m1c-3ef252404d938409f3eb6a88,,,RE_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,QBTS,2025-04-11,14,m1c-e21725af8d649236b9edd6e3,,,RE_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,RGTI,2025-04-25,8,m1c-da91b612e86a3a16d47409a4,,,FIRST_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,RGTI,2025-05-14,24,m1c-e2128f11a89cae0aba09a290,,,RE_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,RGTI,2025-11-14,14,m1c-669fd405d2f886b736a1f6bd,,,RE_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,RIOT,2025-11-14,14,m1c-525dcc70e61b6ed453af3bdf,,,RE_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,RIVN,2025-01-07,22,m1c-cc115d353669a368b9465494,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,RIVN,2025-11-06,10,,m1c-24b8151f7a06035344f53eee,20.0,RE_ENTRY,POSITIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
stress,RIVN,2025-12-12,32,m1c-cf596b5e6210cfceb465bf59,,,RE_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,SOFI,2025-08-01,10,,m1c-4d21b9693179df04c4b59a30,20.0,RE_ENTRY,POSITIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
stress,SOFI,2025-11-06,14,m1c-7176da850ec035bed8b46418,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,SOFI,2025-11-18,10,,m1c-74fdf3ca11f4222b4df1c5e4,20.0,RE_ENTRY,POSITIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
assessment,WULF,2025-02-13,10,,m1c-a4ed7649a2dadfccce719d67,20.0,RE_ENTRY,POSITIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
stress,WULF,2025-11-13,10,m1c-dddb283e11e93f463e2b0ab3,,,FIRST_ENTRY,POSITIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,WULF,2025-11-21,20,m1c-79b18145be8682c005ffc2bc,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
