period,mechanism,dependency,omitted_value,remaining_episode_count,remaining_session_count,remaining_transition_event_count,mean_aligned_return,material_direction_accuracy,accuracy_counting_no_move_as_failure
assessment,market_following,stock,AAL,116,43,43,-0.0013061240678483947,0.4262295081967213,0.22413793103448276
assessment,market_following,stock,AAOI,125,43,43,-0.0011930215832944662,0.4444444444444444,0.224
assessment,market_following,stock,APLD,125,43,43,-0.0009298690140596915,0.4375,0.224
assessment,market_following,stock,ASTS,122,42,42,-0.0007768908823204081,0.4444444444444444,0.22950819672131148
assessment,market_following,stock,CIFR,126,42,42,-0.0012809064833257853,0.4307692307692308,0.2222222222222222
assessment,market_following,stock,HIMS,124,42,42,-0.0012827710162254642,0.4375,0.22580645161290322
assessment,market_following,stock,IONQ,121,42,42,-0.0023168713477150745,0.4032258064516129,0.2066115702479339
assessment,market_following,stock,IREN,122,42,42,-0.001198467645700068,0.4166666666666667,0.20491803278688525
assessment,market_following,stock,MARA,115,43,43,-0.0020843083727555027,0.38596491228070173,0.19130434782608696
assessment,market_following,stock,MP,124,41,41,-0.0014458864230533796,0.4126984126984127,0.20967741935483872
assessment,market_following,stock,MRNA,127,41,41,-0.0012443773612399365,0.4307692307692308,0.2204724409448819
assessment,market_following,stock,MSTR,126,43,43,-0.0015005913060098584,0.421875,0.21428571428571427
assessment,market_following,stock,NVTS,128,43,43,-0.0015112337499261594,0.4153846153846154,0.2109375
assessment,market_following,stock,QBTS,126,43,43,-0.0010919744585174255,0.4307692307692308,0.2222222222222222
assessment,market_following,stock,RGTI,128,43,43,-0.0014757310825500108,0.4153846153846154,0.2109375
assessment,market_following,stock,RIOT,122,42,42,-0.00141326458430213,0.43548387096774194,0.22131147540983606
assessment,market_following,stock,RIVN,126,43,43,-0.0015983371999274939,0.40625,0.20634920634920634
assessment,market_following,stock,SMCI,123,43,43,-0.0013658006368132878,0.42857142857142855,0.21951219512195122
assessment,market_following,stock,SOFI,124,42,42,-0.001371364407218003,0.4262295081967213,0.20967741935483872
assessment,market_following,stock,WULF,120,42,42,-0.000951811538549701,0.43103448275862066,0.20833333333333334
assessment,amplification_continuation,stock,AAL,72,33,33,-0.0015497783679123199,0.40476190476190477,0.2361111111111111
assessment,amplification_continuation,stock,AAOI,81,35,35,-0.00143778361696118,0.41304347826086957,0.2345679012345679
assessment,amplification_continuation,stock,APLD,79,35,35,-0.001635618711148011,0.41304347826086957,0.24050632911392406
assessment,amplification_continuation,stock,ASTS,78,34,34,-0.0004739670010284471,0.4318181818181818,0.24358974358974358
assessment,amplification_continuation,stock,CIFR,81,35,35,-0.0013592419530340204,0.41304347826086957,0.2345679012345679
assessment,amplification_continuation,stock,HIMS,79,34,34,-0.001342747648700907,0.4222222222222222,0.24050632911392406
assessment,amplification_continuation,stock,IONQ,77,33,33,-0.002880912430416355,0.37777777777777777,0.22077922077922077
assessment,amplification_continuation,stock,IREN,80,35,35,-0.0014465848122546345,0.38636363636363635,0.2125
assessment,amplification_continuation,stock,MARA,73,34,34,-0.0022277911045435225,0.375,0.2054794520547945
assessment,amplification_continuation,stock,MP,82,34,34,-0.0015907293882597294,0.40425531914893614,0.23170731707317074
assessment,amplification_continuation,stock,MRNA,82,34,34,-0.0012851399325593507,0.41304347826086957,0.23170731707317074
assessment,amplification_continuation,stock,MSTR,79,35,35,-0.0017668106824920726,0.4,0.22784810126582278
assessment,amplification_continuation,stock,NVTS,82,35,35,-0.001726795863111101,0.391304347826087,0.21951219512195122
assessment,amplification_continuation,stock,QBTS,79,35,35,-0.0011150926725674326,0.41304347826086957,0.24050632911392406
assessment,amplification_continuation,stock,RGTI,81,35,35,-0.0017209520731609005,0.391304347826087,0.2222222222222222
assessment,amplification_continuation,stock,RIOT,76,34,34,-0.0015070991967742998,0.4186046511627907,0.23684210526315788
assessment,amplification_continuation,stock,RIVN,81,35,35,-0.0017381929226933373,0.391304347826087,0.2222222222222222
assessment,amplification_continuation,stock,SMCI,78,35,35,-0.0013665308547693865,0.4090909090909091,0.23076923076923078
assessment,amplification_continuation,stock,SOFI,78,34,34,-0.001354452561997262,0.4186046511627907,0.23076923076923078
assessment,amplification_continuation,stock,WULF,79,34,34,-0.0013629327925357587,0.3953488372093023,0.21518987341772153
assessment,resistance_reversal,stock,AAL,44,26,26,0.0009074170313801536,0.5263157894736842,0.22727272727272727
assessment,resistance_reversal,stock,AAOI,44,27,27,0.0007424369304080168,0.47058823529411764,0.18181818181818182
assessment,resistance_reversal,stock,APLD,46,28,28,-0.0002821793787659005,0.5,0.1956521739130435
assessment,resistance_reversal,stock,ASTS,44,26,26,0.0013138923082470666,0.5263157894736842,0.22727272727272727
assessment,resistance_reversal,stock,CIFR,45,27,27,0.001139902637850962,0.5263157894736842,0.2222222222222222
assessment,resistance_reversal,stock,HIMS,45,26,26,0.0011774787058796868,0.5263157894736842,0.2222222222222222
assessment,resistance_reversal,stock,IONQ,44,28,28,0.001329799452987834,0.5294117647058824,0.20454545454545456
assessment,resistance_reversal,stock,IREN,42,26,26,0.0007258635189294654,0.5,0.19047619047619047
assessment,resistance_reversal,stock,MARA,42,28,28,0.001834921719885848,0.5882352941176471,0.23809523809523808
assessment,resistance_reversal,stock,MP,42,25,25,0.0011630977766981252,0.5625,0.21428571428571427
assessment,resistance_reversal,stock,MRNA,45,27,27,0.0011700988979467817,0.5263157894736842,0.2222222222222222
assessment,resistance_reversal,stock,NVTS,46,28,28,0.0011269708525095236,0.5263157894736842,0.21739130434782608
assessment,resistance_reversal,stock,RIOT,46,28,28,0.0012582334854350675,0.5263157894736842,0.21739130434782608
assessment,resistance_reversal,stock,RIVN,45,27,27,0.0013465968989489763,0.5555555555555556,0.2222222222222222
assessment,resistance_reversal,stock,SMCI,45,28,28,0.0013645349256893844,0.5263157894736842,0.2222222222222222
assessment,resistance_reversal,stock,SOFI,46,28,28,0.0014000410143314341,0.5555555555555556,0.21739130434782608
assessment,resistance_reversal,stock,WULF,41,27,27,0.0001596510735521762,0.4666666666666667,0.17073170731707318
stress,market_following,stock,AAL,94,13,13,-0.010999479041526794,0.16363636363636364,0.09574468085106383
stress,market_following,stock,AAOI,99,13,13,-0.010057885320954646,0.18181818181818182,0.10101010101010101
stress,market_following,stock,APLD,97,13,13,-0.00952483850012285,0.18867924528301888,0.10309278350515463
stress,market_following,stock,ASTS,98,13,13,-0.010207908514309924,0.17857142857142858,0.10204081632653061
stress,market_following,stock,CIFR,92,13,13,-0.01049742912424001,0.17307692307692307,0.09782608695652174
stress,market_following,stock,HIMS,96,13,13,-0.010685107672034053,0.16666666666666666,0.09375
stress,market_following,stock,IONQ,92,13,13,-0.010074314232480428,0.18867924528301888,0.10869565217391304
stress,market_following,stock,IREN,95,13,13,-0.010138233610333981,0.16666666666666666,0.09473684210526316
stress,market_following,stock,MARA,97,13,13,-0.01044946813771125,0.18181818181818182,0.10309278350515463
stress,market_following,stock,MP,93,13,13,-0.010778450430904004,0.17307692307692307,0.0967741935483871
stress,market_following,stock,MRNA,100,13,13,-0.01045767078280114,0.17543859649122806,0.1
stress,market_following,stock,MSTR,98,13,13,-0.010061258294283698,0.18181818181818182,0.10204081632653061
stress,market_following,stock,NVTS,94,13,13,-0.009990518055021097,0.17307692307692307,0.09574468085106383
stress,market_following,stock,QBTS,94,13,13,-0.009630245508990592,0.17647058823529413,0.09574468085106383
stress,market_following,stock,RGTI,98,13,13,-0.010176244438158299,0.16363636363636364,0.09183673469387756
