period,category,reason,episode_count
assessment,market_transition,opening_market_measurement_incomplete,1
assessment,market_transition,prior_regular_session_close_invalid,1
assessment,stock_response,opening_market_measurement_incomplete,4
assessment,stock_response,prior_regular_session_close_invalid,4
development,market_transition,invalid_market_bar:1,1
development,market_transition,non_contiguous_market_timestamps:0-2,1
development,market_transition,opening_market_measurement_incomplete,5
development,market_transition,prior_regular_session_close_invalid,4
development,stock_response,invalid_market_bar:1,1
development,stock_response,non_contiguous_market_timestamps:0-2,1
development,stock_response,opening_market_measurement_incomplete,6
development,stock_response,prior_regular_session_close_invalid,5
stress,market_transition,opening_market_measurement_incomplete,2
stress,market_transition,prior_regular_session_close_invalid,2
stress,stock_response,opening_market_measurement_incomplete,5
stress,stock_response,prior_regular_session_close_invalid,5
