contrast_id,scope_type,scope_value,feature_observed,features_zeroed,target_classes,probability_effect_original_minus_counterfactual,observed_outcome_rate,rows,unique_candidates,sessions,stocks,target_probability_available
C_recent_4_6_4_to_target_c,assessment_month,2025-02,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.207597609097028,0.875,3,2,2,2,True
C_recent_4_6_4_to_target_c,assessment_month,2025-03,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.170164416201634,0,6,1,1,1,True
C_recent_4_6_4_to_target_c,assessment_month,2025-04,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.175710322581969,1,5,1,1,1,True
C_recent_4_6_4_to_target_c,assessment_month,2025-05,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.176764567279281,1,5,1,1,1,True
C_recent_4_6_4_to_target_c,assessment_month,2025-06,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.164006724683896,0.264367816091954,49,11,7,6,True
C_recent_4_6_4_to_target_c,assessment_month,2025-07,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.174231062478574,0.56671664167916,13,7,5,5,True
C_recent_4_6_4_to_target_c,assessment_month,2025-08,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.18420634511886,0.882677165354331,32,8,4,5,True
C_recent_4_6_4_to_target_c,current_transition_half,HIGH,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.179225631389636,0.873417721518987,6,5,4,5,True
C_recent_4_6_4_to_target_c,current_transition_half,LOW,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.174513364700334,0.555202761000863,119,34,24,15,True
C_recent_4_6_4_to_target_c,prefix_state,CONFLICTING_PREFIX_ACTIVE,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.168673754981497,0,59,23,18,11,True
