precursor,outcome,treated_rows,control_relation_rows,treated_completion_rate,matched_control_completion_rate,treated_minus_control_rate,minimum_controls_required
hidden_5_6_5,loop_p_2-5-6-2,1,5,0,0,0,5
hidden_5_6_5,loop_p_2-6-2,1,5,0,0,0,5
hidden_5_6_5,ANY_REGISTERED_COMPLETION,1,5,0,0,0,5
hidden_2_3_2,ANY_REGISTERED_COMPLETION,6,43,0,0.121296296296296,-0.121296296296296,5
registered_4_6_4,loop_p_4-6-4,0,0,,,,5
