scope_type,scope_value,model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,mean_reciprocal_rank,mean_probability_realised_class,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,unique_candidates,sessions,stocks,target_class_support,weight_sum
assessment_month,2025-05,C1,0.530233919419044,0.292124273495501,0.812481359976141,0.962421711899791,0.898896510587534,0.685018328872759,0.0565022088751792,0.589383576907797,1.80287673794757,667,106,19,19,"{""NO_REGISTERED_COMPLETION"": 577, ""OTHER_REGISTERED_COMPLETION"": 48, ""loop_p_2-5-6-2"": 14, ""loop_p_2-6-2"": 14, ""loop_p_4-6-4"": 14}",5.32222222222222
assessment_month,2025-05,C2,0.532613892457423,0.291814185785359,0.817178645988667,0.962421711899791,0.901245153593797,0.685402123835242,0.0663934823852619,0.587161182346687,1.79887448343241,667,106,19,19,"{""NO_REGISTERED_COMPLETION"": 577, ""OTHER_REGISTERED_COMPLETION"": 48, ""loop_p_2-5-6-2"": 14, ""loop_p_2-6-2"": 14, ""loop_p_4-6-4"": 14}",5.32222222222222
assessment_month,2025-06,C0,0.428769747115104,0.246153070735829,0.83807967631497,0.988173046996576,0.916524017014213,0.707517191472186,0.0825674323472394,0.58171589632938,1.78910571835872,1008,153,20,20,"{""NO_REGISTERED_COMPLETION"": 870, ""OTHER_REGISTERED_COMPLETION"": 118, ""loop_p_2-6-2"": 3, ""loop_p_4-6-4"": 17}",7.65
assessment_month,2025-06,C1,0.425432098309146,0.246246719264738,0.838390911920324,0.992374727668845,0.917379914928934,0.707066613491949,0.0828969456963937,0.578753766522564,1.78381399623596,1008,153,20,20,"{""NO_REGISTERED_COMPLETION"": 870, ""OTHER_REGISTERED_COMPLETION"": 118, ""loop_p_2-6-2"": 3, ""loop_p_4-6-4"": 17}",7.65
assessment_month,2025-06,C2,0.428823895686345,0.248597102213171,0.839324618736383,0.989106753812636,0.917302106027596,0.706219699650212,0.0735275507115558,0.577020646941476,1.7807251107472,1008,153,20,20,"{""NO_REGISTERED_COMPLETION"": 870, ""OTHER_REGISTERED_COMPLETION"": 118, ""loop_p_2-6-2"": 3, ""loop_p_4-6-4"": 17}",7.65
assessment_month,2025-07,C0,0.549829914229186,0.326011612747376,0.769112672391361,0.974212854540723,0.879803105212941,0.663769249748761,0.0375789999147375,0.603322921269029,1.8281836285998,1166,183,21,20,"{""NO_REGISTERED_COMPLETION"": 922, ""OTHER_REGISTERED_COMPLETION"": 197, ""loop_p_2-5-6-2"": 10, ""loop_p_2-6-2"": 7, ""loop_p_4-6-4"": 30}",9.15
assessment_month,2025-07,C1,0.550090954275135,0.325838887480152,0.770947176684881,0.970387717928701,0.880082834591031,0.664656026522194,0.0353265146331549,0.598550489400049,1.81947953316,1166,183,21,20,"{""NO_REGISTERED_COMPLETION"": 922, ""OTHER_REGISTERED_COMPLETION"": 197, ""loop_p_2-5-6-2"": 10, ""loop_p_2-6-2"": 7, ""loop_p_4-6-4"": 30}",9.15
assessment_month,2025-07,C2,0.553007233116896,0.326860529245089,0.770947176684881,0.97311995836586,0.880538207997224,0.664327195197264,0.0425321717184448,0.596776378198322,1.81625443582547,1166,183,21,20,"{""NO_REGISTERED_COMPLETION"": 922, ""OTHER_REGISTERED_COMPLETION"": 197, ""loop_p_2-5-6-2"": 10, ""loop_p_2-6-2"": 7, ""loop_p_4-6-4"": 30}",9.15
assessment_month,2025-08,C0,0.568673282362406,0.333459403198466,0.765860805860806,0.975824175824176,0.878580586080586,0.662537775745772,0.0303050949954832,0.608119218805562,1.83697320309127,846,130,16,20,"{""NO_REGISTERED_COMPLETION"": 656, ""OTHER_REGISTERED_COMPLETION"": 133, ""loop_p_2-6-2"": 18, ""loop_p_4-6-4"": 39}",6.5
assessment_month,2025-08,C1,0.551590186262102,0.32004785084112,0.797142857142857,0.974358974358974,0.893977411477412,0.671148179510689,0.0295401652754566,0.59912078942395,1.82051747832319,846,130,16,20,"{""NO_REGISTERED_COMPLETION"": 656, ""OTHER_REGISTERED_COMPLETION"": 133, ""loop_p_2-6-2"": 18, ""loop_p_4-6-4"": 39}",6.5
assessment_month,2025-08,C2,0.548013879928335,0.318820156568214,0.790476190476191,0.974358974358974,0.890644078144078,0.672565124033725,0.0273827734583033,0.595908155549875,1.81467820694676,846,130,16,20,"{""NO_REGISTERED_COMPLETION"": 656, ""OTHER_REGISTERED_COMPLETION"": 133, ""loop_p_2-6-2"": 18, ""loop_p_4-6-4"": 39}",6.5
