cohort,period,rows,stocks,sessions,mean_net_bps,median_net_bps,positive_rate,mean_mfe_bps,mean_mae_bps,orientation_survival_rate,survival_mean_net_difference_bps,negative_hazard_auc,timing_failure_share_all,no_usable_move_share_all,timing_failure_share_losses
unfiltered_frozen_signal,2023,4859,20,190,-0.1332963203866245,-10.869565973535824,0.4735542292652809,263.9777164892027,-252.65412346688552,0.6978802222679563,-10.652338406658195,0.506585334112136,0.4708787816423132,0.055566989092405844,0.8944487881157154
cycle_04|loop_only,2023,140,13,98,29.09654365315757,5.019715458627347,0.5071428571428571,219.59452877705743,-184.5445149836357,0.7071428571428572,-33.81286781606907,0.5764441722800572,0.4,0.09285714285714286,0.8115942028985508
cycle_04|state4|candidate,2023,132,13,93,26.540629912104738,5.019715458627347,0.5075757575757576,213.7537925172454,-182.70486154951146,0.7196969696969697,7.9433588351867925,0.5447761194029851,0.3939393939393939,0.09848484848484848,0.8
cycle_04|state2|matched_control,2023,8,4,8,71.26912038052936,36.964132840386355,0.5,315.9666770639556,-214.89879664668504,0.5,-558.8660825791775,1.0,0.5,0.0,1.0
cycle_07|loop_only,2023,1053,20,185,-6.350331626757558,-24.025822784810018,0.4577397910731244,251.79844824380532,-244.85952693267998,0.7397910731244065,-18.963627222143636,0.5153530604384824,0.49667616334283,0.045584045584045586,0.9159369527145359
cycle_07|state5|candidate,2023,722,20,178,7.020310254545186,-10.020894805040639,0.48337950138504154,279.5870004493389,-260.7247939634203,0.7285318559556787,-54.63427122215868,0.4973536031710671,0.4792243767313019,0.037396121883656507,0.9276139410187667
cycle_07|state6|matched_control,2023,331,18,141,-35.51529669715205,-43.78153153153151,0.40181268882175225,191.1841440371731,-210.25311365112552,0.7643504531722054,72.17707507354255,0.48737373737373735,0.5347432024169184,0.0634441087613293,0.8939393939393939
unfiltered_frozen_signal,2025,5067,20,190,-2.3030188722635607,-6.713329275714877,0.48865206236431813,243.70516235470714,-235.30768632271366,0.6994276692322874,-22.311996591007706,0.506924990132988,0.4774028024472074,0.033945135188474446,0.9336163643380934
cycle_04|loop_only,2025,102,16,52,27.01150151112569,24.676898693951628,0.5490196078431373,206.94623208899026,-176.26556879006242,0.7156862745098039,-44.711669413787774,0.484666149068323,0.4019607843137255,0.049019607843137254,0.8913043478260869
cycle_04|state4|candidate,2025,96,16,51,30.749284975425667,24.676898693951628,0.5520833333333334,200.5370117961826,-172.51572110012353,0.7395833333333334,-58.75759126578249,0.4971478718736288,0.40625,0.041666666666666664,0.9069767441860465
cycle_04|state2|matched_control,2025,6,5,5,-32.79303391767389,22.586344285215894,0.5,309.493756773912,-236.26313182908459,0.3333333333333333,9.482632410571235,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
cycle_07|loop_only,2025,1009,20,180,2.1510982689593603,-7.119561919883823,0.48761149653121905,247.90621518359927,-235.3915450424929,0.7066402378592666,11.863593956636736,0.49674089100658897,0.4836471754212091,0.028741328047571853,0.9439071566731141
cycle_07|state5|candidate,2025,713,20,165,17.03759488573876,-4.173678532902727,0.49368863955119213,275.53879764641755,-244.63927313092606,0.7040673211781207,11.230088310518871,0.49528613699320073,0.4740532959326788,0.03225806451612903,0.9362880886426593
cycle_07|state6|matched_control,2025,296,20,140,-33.70725337889102,-10.0,0.47297297297297297,181.3452986430942,-213.11576758623332,0.7128378378378378,14.956356367390867,0.4779075091575092,0.5067567567567568,0.02027027027027027,0.9615384615384616
