year_month,lookback_bars,precursor_type,events,observed_prevalence,mean_null_prevalence,enrichment
2025-01,3,same_registered_identity,105,0.219047619047619,0.020952380952381,0.198095238095238
2025-01,3,same_registered_broad_family_different_identity,105,0.019047619047619,0.0308571428571429,-0.0118095238095238
2025-01,3,different_registered_broad_family,105,0.0761904761904762,0.0102857142857143,0.0659047619047619
2025-01,3,any_prior_registered_completion,105,0.314285714285714,0.0556190476190476,0.258666666666667
2025-01,3,hidden_5_6_5,105,0.019047619047619,0.0636190476190476,-0.0445714285714286
2025-01,3,hidden_2_3_2,105,0,0.0201904761904762,-0.0201904761904762
2025-01,3,hidden_2_5_2,105,0,0.00761904761904762,-0.00761904761904762
2025-01,3,hidden_4_7_4,105,0,0.0133333333333333,-0.0133333333333333
2025-01,3,hidden_other_unregistered_family,105,0.152380952380952,0.0952380952380953,0.0571428571428571
2025-01,3,any_hidden_unregistered_completion,105,0.171428571428571,0.174095238095238,-0.00266666666666668
2025-01,3,active_prefix_immediately_before_completion,105,1,0.929142857142857,0.0708571428571428
2025-01,3,active_prefix_any,105,1,0.973714285714286,0.0262857142857142
2025-01,3,matching_prefix_any,105,1,0.565714285714286,0.434285714285714
2025-01,3,other_prefix_any,105,1,0.968761904761905,0.0312380952380953
2025-01,3,any_regime_transition,105,0.752380952380952,0.404190476190476,0.348190476190476
2025-01,3,no_identified_structural_precursor,105,0,0.0201904761904762,-0.0201904761904762
2025-01,6,same_registered_identity,105,0.304761904761905,0.0285714285714286,0.276190476190476
2025-01,6,same_registered_broad_family_different_identity,105,0.019047619047619,0.052952380952381,-0.0339047619047619
2025-01,6,different_registered_broad_family,105,0.114285714285714,0.019047619047619,0.0952380952380952
2025-01,6,any_prior_registered_completion,105,0.39047619047619,0.088,0.30247619047619
2025-01,6,hidden_5_6_5,105,0.0666666666666667,0.138666666666667,-0.072
2025-01,6,hidden_2_3_2,105,0.00952380952380952,0.0262857142857143,-0.0167619047619048
2025-01,6,hidden_2_5_2,105,0.0285714285714286,0.0133333333333333,0.0152380952380952
2025-01,6,hidden_4_7_4,105,0,0.0205714285714286,-0.0205714285714286
2025-01,6,hidden_other_unregistered_family,105,0.2,0.139428571428571,0.0605714285714286
2025-01,6,any_hidden_unregistered_completion,105,0.285714285714286,0.29447619047619,-0.00876190476190475
2025-01,6,active_prefix_immediately_before_completion,105,1,0.929142857142857,0.0708571428571428
2025-01,6,active_prefix_any,105,1,0.989714285714286,0.0102857142857142
2025-01,6,matching_prefix_any,105,1,0.64,0.36
2025-01,6,other_prefix_any,105,1,0.986285714285714,0.0137142857142857
2025-01,6,any_regime_transition,105,0.933333333333333,0.604952380952381,0.328380952380952
2025-01,6,no_identified_structural_precursor,105,0,0.0060952380952381,-0.0060952380952381
2025-01,12,same_registered_identity,105,0.333333333333333,0.0316190476190476,0.301714285714286
2025-01,12,same_registered_broad_family_different_identity,105,0.019047619047619,0.0693333333333333,-0.0502857142857143
2025-01,12,different_registered_broad_family,105,0.123809523809524,0.0205714285714286,0.103238095238095
2025-01,12,any_prior_registered_completion,105,0.428571428571429,0.108190476190476,0.320380952380952
2025-01,12,hidden_5_6_5,105,0.228571428571429,0.256,-0.0274285714285714
2025-01,12,hidden_2_3_2,105,0.00952380952380952,0.0323809523809524,-0.0228571428571429
2025-01,12,hidden_2_5_2,105,0.0285714285714286,0.0186666666666667,0.0099047619047619
2025-01,12,hidden_4_7_4,105,0.00952380952380952,0.0243809523809524,-0.0148571428571429
2025-01,12,hidden_other_unregistered_family,105,0.266666666666667,0.16647619047619,0.100190476190476
2025-01,12,any_hidden_unregistered_completion,105,0.438095238095238,0.415238095238095,0.0228571428571429
2025-01,12,active_prefix_immediately_before_completion,105,1,0.929142857142857,0.0708571428571428
2025-01,12,active_prefix_any,105,1,0.999619047619048,0.000380952380952371
2025-01,12,matching_prefix_any,105,1,0.743238095238095,0.256761904761905
2025-01,12,other_prefix_any,105,1,0.996571428571429,0.00342857142857145
2025-01,12,any_regime_transition,105,1,0.79847619047619,0.20152380952381
2025-01,12,no_identified_structural_precursor,105,0,0.000380952380952381,-0.000380952380952381
2025-02,3,same_registered_identity,89,0.348314606741573,0.021123595505618,0.327191011235955
2025-02,3,same_registered_broad_family_different_identity,89,0.0112359550561798,0.0247191011235955,-0.0134831460674157
2025-02,3,different_registered_broad_family,89,0.0898876404494382,0.00629213483146067,0.0835955056179775
2025-02,3,any_prior_registered_completion,89,0.393258426966292,0.0485393258426966,0.344719101123596
2025-02,3,hidden_5_6_5,89,0.0112359550561798,0.0453932584269663,-0.0341573033707865
2025-02,3,hidden_2_3_2,89,0,0.0296629213483146,-0.0296629213483146
2025-02,3,hidden_2_5_2,89,0,0.0103370786516854,-0.0103370786516854
2025-02,3,hidden_4_7_4,89,0,0.0130337078651685,-0.0130337078651685
2025-02,3,hidden_other_unregistered_family,89,0.247191011235955,0.133483146067416,0.113707865168539
2025-02,3,any_hidden_unregistered_completion,89,0.258426966292135,0.20314606741573,0.0552808988764045
2025-02,3,active_prefix_immediately_before_completion,89,1,0.866516853932584,0.133483146067416
2025-02,3,active_prefix_any,89,1,0.944269662921348,0.0557303370786518
2025-02,3,matching_prefix_any,89,1,0.501573033707865,0.498426966292135
2025-02,3,other_prefix_any,89,0.97752808988764,0.924943820224719,0.0525842696629213
2025-02,3,any_regime_transition,89,0.719101123595506,0.456179775280899,0.262921348314607
2025-02,3,no_identified_structural_precursor,89,0,0.0386516853932584,-0.0386516853932584
2025-02,6,same_registered_identity,89,0.438202247191011,0.0274157303370787,0.410786516853933
2025-02,6,same_registered_broad_family_different_identity,89,0.0337078651685393,0.0440449438202247,-0.0103370786516854
2025-02,6,different_registered_broad_family,89,0.112359550561798,0.00808988764044944,0.104269662921348
2025-02,6,any_prior_registered_completion,89,0.49438202247191,0.0746067415730337,0.419775280898876
2025-02,6,hidden_5_6_5,89,0.0786516853932584,0.0880898876404494,-0.00943820224719101
2025-02,6,hidden_2_3_2,89,0,0.0435955056179775,-0.0435955056179775
2025-02,6,hidden_2_5_2,89,0,0.0179775280898876,-0.0179775280898876
2025-02,6,hidden_4_7_4,89,0,0.0179775280898876,-0.0179775280898876
2025-02,6,hidden_other_unregistered_family,89,0.325842696629214,0.20314606741573,0.122696629213483
2025-02,6,any_hidden_unregistered_completion,89,0.359550561797753,0.316404494382023,0.0431460674157303
2025-02,6,active_prefix_immediately_before_completion,89,1,0.866516853932584,0.133483146067416
2025-02,6,active_prefix_any,89,1,0.983820224719101,0.0161797752808988
2025-02,6,matching_prefix_any,89,1,0.595955056179775,0.404044943820225
2025-02,6,other_prefix_any,89,1,0.966741573033708,0.0332584269662921
2025-02,6,any_regime_transition,89,0.887640449438202,0.681797752808989,0.205842696629213
2025-02,6,no_identified_structural_precursor,89,0,0.0125842696629213,-0.0125842696629213
2025-02,12,same_registered_identity,89,0.449438202247191,0.037752808988764,0.411685393258427
2025-02,12,same_registered_broad_family_different_identity,89,0.0449438202247191,0.0615730337078652,-0.0166292134831461
2025-02,12,different_registered_broad_family,89,0.112359550561798,0.0098876404494382,0.10247191011236
2025-02,12,any_prior_registered_completion,89,0.51685393258427,0.103370786516854,0.413483146067416
