dimension,value,rows,share
stock,IONQ,29,0.0302083333333333
stock,SMCI,46,0.0479166666666667
stock,MP,64,0.0666666666666667
stock,RIVN,89,0.0927083333333333
stock,MRNA,91,0.0947916666666667
stock,SOFI,73,0.0760416666666667
stock,ASTS,31,0.0322916666666667
stock,MARA,54,0.05625
stock,AAL,136,0.141666666666667
stock,AAOI,37,0.0385416666666667
stock,HIMS,34,0.0354166666666667
stock,MSTR,74,0.0770833333333333
stock,RIOT,45,0.046875
stock,WULF,21,0.021875
stock,NVTS,33,0.034375
stock,APLD,20,0.0208333333333333
stock,CIFR,21,0.021875
stock,IREN,20,0.0208333333333333
stock,QBTS,22,0.0229166666666667
stock,RGTI,20,0.0208333333333333
month,2025-01,89,0.0927083333333333
month,2025-02,97,0.101041666666667
month,2025-03,111,0.115625
month,2025-04,91,0.0947916666666667
month,2025-05,106,0.110416666666667
month,2025-06,153,0.159375
month,2025-07,183,0.190625
month,2025-08,130,0.135416666666667
checkpoint,6,233,0.242708333333333
checkpoint,12,727,0.757291666666667
target,0.0,727,0.757291666666667
target,1.0,233,0.242708333333333
