scope,metric,value,rows
pooled,hidden_event_rate_successful,0.175511941120513,233
pooled,hidden_event_rate_failed,0.451358274513583,727
pooled,failed_minus_successful_hidden_event_rate,0.27584633339307,960
unregistered_primitive_like__5-6-5,hidden_family_rate_successful,0.0171231162068793,4
unregistered_primitive_like__5-6-5,hidden_family_rate_failed,0.0467586904675869,34
unregistered_primitive_like__5-6-5,hidden_family_rate_failed_minus_successful,0.0296355742607076,38
unregistered_primitive_like__2-3-2,hidden_family_rate_successful,0.00856155810343964,2
unregistered_primitive_like__2-3-2,hidden_family_rate_failed,0.110308111103081,80
unregistered_primitive_like__2-3-2,hidden_family_rate_failed_minus_successful,0.101746552999641,82
unregistered_primitive_like__2-5-2,hidden_family_rate_successful,0.0256846743103189,6
unregistered_primitive_like__2-5-2,hidden_family_rate_failed,0.030353400303534,22
unregistered_primitive_like__2-5-2,hidden_family_rate_failed_minus_successful,0.00466872599321507,28
unregistered_primitive_like__4-7-4,hidden_family_rate_successful,0,0
unregistered_primitive_like__4-7-4,hidden_family_rate_failed,0,0
unregistered_primitive_like__4-7-4,hidden_family_rate_failed_minus_successful,0,0
OTHER_UNREGISTERED_FAMILY,hidden_family_rate_successful,0.124142592499875,29
OTHER_UNREGISTERED_FAMILY,hidden_family_rate_failed,0.263938072639381,192
OTHER_UNREGISTERED_FAMILY,hidden_family_rate_failed_minus_successful,0.139795480139506,221
pooled,hidden_event_before_registered_completion,0.0426255023437642,41
pooled,hidden_event_with_no_later_registered_completion,0.341739674973705,328
pooled,registered_completion_with_no_hidden_event,0.200238328297229,192
