record_type,draw,lookback_bars,precursor_type,observed_prevalence,null_prevalence,mean_null_prevalence,observed_minus_null_enrichment,null_percentile,null_90th_percentile
draw,0,3,same_registered_identity,0.194610778443114,0.0134730538922156,,0.181137724550898,,
draw,1,3,same_registered_identity,0.194610778443114,0.0209580838323353,,0.173652694610778,,
draw,2,3,same_registered_identity,0.194610778443114,0.0329341317365269,,0.161676646706587,,
draw,3,3,same_registered_identity,0.194610778443114,0.0254491017964072,,0.169161676646707,,
draw,4,3,same_registered_identity,0.194610778443114,0.0284431137724551,,0.166167664670659,,
draw,5,3,same_registered_identity,0.194610778443114,0.0329341317365269,,0.161676646706587,,
draw,6,3,same_registered_identity,0.194610778443114,0.0329341317365269,,0.161676646706587,,
draw,7,3,same_registered_identity,0.194610778443114,0.0254491017964072,,0.169161676646707,,
draw,8,3,same_registered_identity,0.194610778443114,0.0194610778443114,,0.175149700598802,,
draw,9,3,same_registered_identity,0.194610778443114,0.0239520958083832,,0.170658682634731,,
draw,10,3,same_registered_identity,0.194610778443114,0.0269461077844311,,0.167664670658683,,
draw,11,3,same_registered_identity,0.194610778443114,0.031437125748503,,0.163173652694611,,
draw,12,3,same_registered_identity,0.194610778443114,0.0194610778443114,,0.175149700598802,,
draw,13,3,same_registered_identity,0.194610778443114,0.0194610778443114,,0.175149700598802,,
draw,14,3,same_registered_identity,0.194610778443114,0.0284431137724551,,0.166167664670659,,
draw,15,3,same_registered_identity,0.194610778443114,0.0194610778443114,,0.175149700598802,,
draw,16,3,same_registered_identity,0.194610778443114,0.0344311377245509,,0.160179640718563,,
draw,17,3,same_registered_identity,0.194610778443114,0.0239520958083832,,0.170658682634731,,
draw,18,3,same_registered_identity,0.194610778443114,0.031437125748503,,0.163173652694611,,
draw,19,3,same_registered_identity,0.194610778443114,0.0284431137724551,,0.166167664670659,,
draw,20,3,same_registered_identity,0.194610778443114,0.0284431137724551,,0.166167664670659,,
draw,21,3,same_registered_identity,0.194610778443114,0.0404191616766467,,0.154191616766467,,
draw,22,3,same_registered_identity,0.194610778443114,0.0284431137724551,,0.166167664670659,,
draw,23,3,same_registered_identity,0.194610778443114,0.0239520958083832,,0.170658682634731,,
draw,24,3,same_registered_identity,0.194610778443114,0.0239520958083832,,0.170658682634731,,
summary,-1,3,same_registered_identity,0.194610778443114,,0.0265868263473054,0.168023952095808,100,0.0329341317365269
draw,0,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0344311377245509,,-0.0209580838323353,,
draw,1,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0284431137724551,,-0.0149700598802395,,
draw,2,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0224550898203593,,-0.00898203592814371,,
draw,3,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0359281437125748,,-0.0224550898203593,,
