model,log_loss,brier_score,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,mean_probability_realised_class,sessions,stocks
V0,0.551479218339993,0.18254440324558,0.590802229167419,0.334204024822924,0.107998269165698,1.4739755638461,0.0589584496739385,0.242863830640994,960,0.610580547747059,154,20
V1,0.551270629598625,0.182463014348654,0.590886756446841,0.334420871378783,0.110467485674462,1.47290047953453,0.0584972801419179,0.242863830640994,960,0.610878299588797,154,20
