record_type,draw,metric,value,point_estimate,interval_level,lower,upper
draw,14,high_minus_low_completion_rate,0.0699333039962381,0.0372381587529028,,,
draw,14,failed_minus_successful_hidden_event_rate,0.270801351142787,0.27584633339307,,,
draw,15,log_loss_improvement,0.000171521384057294,0.000208588741367755,,,
draw,15,brier_improvement,6.27696975027126e-05,8.13888969261878e-05,,,
draw,15,auc_improvement,-0.000465632657485782,8.45272794213203e-05,,,
draw,15,high_minus_low_completion_rate,0.0423588883316059,0.0372381587529028,,,
draw,15,failed_minus_successful_hidden_event_rate,0.214270719022613,0.27584633339307,,,
draw,16,log_loss_improvement,0.000296312421028788,0.000208588741367755,,,
draw,16,brier_improvement,0.000111267281171945,8.13888969261878e-05,,,
draw,16,auc_improvement,0.00124931978369125,8.45272794213203e-05,,,
draw,16,high_minus_low_completion_rate,0.0354666874432792,0.0372381587529028,,,
draw,16,failed_minus_successful_hidden_event_rate,0.337919220486532,0.27584633339307,,,
draw,17,log_loss_improvement,6.53646415957887e-05,0.000208588741367755,,,
draw,17,brier_improvement,2.69728740423247e-05,8.13888969261878e-05,,,
draw,17,auc_improvement,0.0016311563483915,8.45272794213203e-05,,,
draw,17,high_minus_low_completion_rate,-0.0185356989669718,0.0372381587529028,,,
draw,17,failed_minus_successful_hidden_event_rate,0.253813045089483,0.27584633339307,,,
draw,18,log_loss_improvement,0.000529067829176721,0.000208588741367755,,,
draw,18,brier_improvement,0.000208448967747493,8.13888969261878e-05,,,
draw,18,auc_improvement,0.00289123112004952,8.45272794213203e-05,,,
draw,18,high_minus_low_completion_rate,0.128911379606894,0.0372381587529028,,,
draw,18,failed_minus_successful_hidden_event_rate,0.198745342703753,0.27584633339307,,,
draw,19,log_loss_improvement,0.000406140032021551,0.000208588741367755,,,
draw,19,brier_improvement,0.000156325679791181,8.13888969261878e-05,,,
draw,19,auc_improvement,0.00040166168038247,8.45272794213203e-05,,,
draw,19,high_minus_low_completion_rate,0.0551684635630026,0.0372381587529028,,,
draw,19,failed_minus_successful_hidden_event_rate,0.257472310646869,0.27584633339307,,,
draw,20,log_loss_improvement,0.000136465044546008,0.000208588741367755,,,
draw,20,brier_improvement,5.5113804021456e-05,8.13888969261878e-05,,,
draw,20,auc_improvement,-0.00115297459753616,8.45272794213203e-05,,,
draw,20,high_minus_low_completion_rate,0.0272795185408182,0.0372381587529028,,,
draw,20,failed_minus_successful_hidden_event_rate,0.281661422046366,0.27584633339307,,,
draw,21,log_loss_improvement,4.85417046854897e-05,0.000208588741367755,,,
draw,21,brier_improvement,3.21785440485223e-05,8.13888969261878e-05,,,
draw,21,auc_improvement,-0.00099024755697541,8.45272794213203e-05,,,
draw,21,high_minus_low_completion_rate,0.0151045426876744,0.0372381587529028,,,
draw,21,failed_minus_successful_hidden_event_rate,0.302716964913677,0.27584633339307,,,
draw,22,log_loss_improvement,0.000532259998248796,0.000208588741367755,,,
draw,22,brier_improvement,0.000223591337483037,8.13888969261878e-05,,,
draw,22,auc_improvement,0.00136035523124589,8.45272794213203e-05,,,
draw,22,high_minus_low_completion_rate,0.112408818949267,0.0372381587529028,,,
