lookback_bars,nearest_precursor_label,events,prevalence
3,ACTIVE_MATCHING_PREFIX,532,0.655172413793103
3,NEAREST_COMPLETED_LOOP_EVENT,280,0.344827586206897
6,ACTIVE_MATCHING_PREFIX,413,0.508620689655172
6,NEAREST_COMPLETED_LOOP_EVENT,399,0.491379310344828
12,ACTIVE_MATCHING_PREFIX,328,0.403940886699507
12,NEAREST_COMPLETED_LOOP_EVENT,484,0.596059113300493
