period,lookback_bars,precursor_kind,precursor_identity,target_semantic_loop_id,occurrences,eligible_events,prevalence,sessions,stocks,months,maximum_stock_share,maximum_month_share,development_occurrences,development_matched_occurrences,development_matched_prevalence,development_mean_null_occurrences,development_mean_null_prevalence,development_enrichment,matched_assessment_occurrences,matched_assessment_prevalence,mean_null_occurrences,mean_null_prevalence,assessment_enrichment,same_direction_development_assessment,support_passed,p_value,q_value,q_le_0_10
assessment,3,hidden,unregistered_primitive_like__2-3-2,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,23.24,0.0211850501367366,-0.0202734731084777,1,0.00149700598802395,5.36,0.00802395209580838,-0.00652694610778443,False,False,1,,False
assessment,3,hidden,unregistered_primitive_like__2-3-2,loop_p_0-2-0,5,812,0.0061576354679803,2,3,2,0.4,0.6,11,11,0.0100273473108478,15.84,0.0144393801276208,-0.00441203281677302,5,0.00748502994011976,4.4,0.00658682634730539,0.000898203592814371,False,False,0.5,,False
assessment,3,hidden,unregistered_primitive_like__2-3-2,loop_p_1-2-1,2,812,0.00246305418719212,2,2,2,0.5,0.5,5,5,0.00455788514129444,17.4,0.0158614402917046,-0.0113035551504102,2,0.0029940119760479,7.4,0.0110778443113772,-0.00808383233532934,False,False,1,,False
assessment,3,hidden,unregistered_primitive_like__2-5-2,loop_p_0-2-0,2,812,0.00246305418719212,1,1,1,1,1,1,1,0.000911577028258888,0.84,0.000765724703737466,0.000145852324521422,2,0.0029940119760479,0.44,0.000658682634730539,0.00233532934131737,True,False,0.153846153846154,,False
assessment,3,hidden,unregistered_primitive_like__2-5-2,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,2,2,0.00182315405651778,0.68,0.000619872379216044,0.00120328167730173,1,0.00149700598802395,0.84,0.00125748502994012,0.000239520958083833,True,False,0.576923076923077,,False
assessment,3,hidden,unregistered_primitive_like__4-7-4,loop_p_4-6-4,2,812,0.00246305418719212,1,1,1,1,1,2,2,0.00182315405651778,2.4,0.00218778486782133,-0.000364630811303555,0,0,1.76,0.00263473053892216,-0.00263473053892216,False,False,1,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,3.12,0.00284412032816773,-0.00193254329990884,1,0.00149700598802395,2.04,0.00305389221556886,-0.00155688622754491,False,False,0.923076923076923,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-4-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.68,0.000619872379216044,-0.000619872379216044,0,0,0.68,0.00101796407185629,-0.00101796407185629,False,False,1,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-5-6-2,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333,4,2,0.00182315405651778,5.56,0.00506836827711942,-0.00324521422060164,1,0.00149700598802395,2.76,0.00413173652694611,-0.00263473053892216,False,False,1,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-2,4,812,0.00492610837438424,4,4,3,0.25,0.5,8,5,0.00455788514129444,7.08,0.00645396536007293,-0.00189608021877849,4,0.00598802395209581,3.92,0.00586826347305389,0.000119760479041916,False,False,0.576923076923077,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-5-2,1,812,0.00123152709359606,1,1,1,1,1,1,0,0,1.4,0.00127620783956244,-0.00127620783956244,1,0.00149700598802395,0.52,0.000778443113772455,0.000718562874251497,False,False,0.461538461538462,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_4-5-4,3,812,0.00369458128078818,3,3,3,0.333333333333333,0.333333333333333,2,2,0.00182315405651778,5,0.00455788514129444,-0.00273473108477666,3,0.00449101796407186,4.48,0.00670658682634731,-0.00221556886227545,False,False,0.769230769230769,,False
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_4-6-4,1,812,0.00123152709359606,1,1,1,1,1,2,2,0.00182315405651778,4.4,0.00401093892433911,-0.00218778486782133,1,0.00149700598802395,5.32,0.00796407185628743,-0.00646706586826347,False,False,1,,False
assessment,3,registered,loop_p_0-1-0,loop_p_0-1-0,18,812,0.0221674876847291,11,9,6,0.277777777777778,0.555555555555556,62,55,0.0501367365542388,13.52,0.0123245214220602,0.0378122151321787,17,0.0254491017964072,3.4,0.00508982035928144,0.0203592814371257,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_0-1-0,loop_p_1-2-1,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333,0,0,0,3.88,0.00353691886964448,-0.00353691886964448,3,0.00449101796407186,0.84,0.00125748502994012,0.00323353293413174,False,False,0.115384615384615,,False
assessment,3,registered,loop_p_0-1-0,loop_r2_0-1-0,5,812,0.0061576354679803,4,3,2,0.4,0.8,18,18,0.01640838650866,2.68,0.00244302643573382,0.0139653600729262,5,0.00748502994011976,0.2,0.00029940119760479,0.00718562874251497,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_0-2-0,loop_p_0-2-0,13,812,0.0160098522167488,10,5,6,0.461538461538462,0.384615384615385,31,28,0.0255241567912489,4.72,0.00430264357338195,0.0212215132178669,13,0.0194610778443114,1.8,0.00269461077844311,0.0167664670658683,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_0-4-0,loop_p_0-4-0,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.04,3.64630811303555e-05,-3.64630811303555e-05,1,0.00149700598802395,0.24,0.000359281437125748,0.0011377245508982,False,False,0.230769230769231,,False
assessment,3,registered,loop_p_1-2-1,loop_p_0-1-0,2,812,0.00246305418719212,2,2,1,0.5,1,4,3,0.00273473108477666,4.48,0.00408386508659982,-0.00134913400182315,2,0.0029940119760479,0.92,0.00137724550898204,0.00161676646706587,False,False,0.423076923076923,,False
assessment,3,registered,loop_p_1-2-1,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1,3,3,0.00273473108477666,3.48,0.00317228805834093,-0.000437556973564266,1,0.00149700598802395,0.96,0.00143712574850299,5.98802395209582e-05,False,False,0.653846153846154,,False
assessment,3,registered,loop_p_1-2-1,loop_p_1-2-1,22,812,0.0270935960591133,19,12,7,0.181818181818182,0.409090909090909,52,50,0.0455788514129444,6.24,0.00568824065633546,0.0398906107566089,21,0.031437125748503,2.4,0.00359281437125748,0.0278443113772455,True,True,0.0384615384615385,0.0384615384615385,True
assessment,3,registered,loop_p_1-2-1,loop_r2_1-2-1,1,812,0.00123152709359606,1,1,1,1,1,14,14,0.0127620783956244,0.56,0.000510483135824977,0.0122515952597995,1,0.00149700598802395,0.04,5.98802395209581e-05,0.00143712574850299,True,False,0.0769230769230769,,False
assessment,3,registered,loop_p_2-4-2,loop_p_2-4-2,4,812,0.00492610837438424,3,3,2,0.5,0.75,2,2,0.00182315405651778,0.08,7.2926162260711e-05,0.00175022789425706,4,0.00598802395209581,0.44,0.000658682634730539,0.00532934131736527,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_2-4-2,loop_r2_2-4-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0,0,0.00149700598802395,False,False,0.0384615384615385,,False
assessment,3,registered,loop_p_2-5-6-2,loop_p_2-5-6-2,3,812,0.00369458128078818,3,3,2,0.333333333333333,0.666666666666667,6,4,0.00364630811303555,1.92,0.00175022789425706,0.00189608021877849,3,0.00449101796407186,1.12,0.00167664670658683,0.00281437125748503,True,False,0.115384615384615,,False
assessment,3,registered,loop_p_2-5-6-2,loop_p_2-6-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.84,0.000765724703737466,-0.000765724703737466,1,0.00149700598802395,0.28,0.000419161676646707,0.00107784431137725,False,False,0.269230769230769,,False
assessment,3,registered,loop_p_2-6-2,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1,2,0,0,0.16,0.000145852324521422,-0.000145852324521422,0,0,0.24,0.000359281437125748,-0.000359281437125748,False,False,1,,False
assessment,3,registered,loop_p_2-6-2,loop_p_2-6-2,15,812,0.0184729064039409,10,8,7,0.266666666666667,0.4,28,17,0.0154968094804011,2.52,0.0022971741112124,0.0131996353691887,12,0.0179640718562874,1.64,0.00245508982035928,0.0155089820359281,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_2-6-2,loop_p_2-6-5-2,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,0.24,0.000218778486782133,0.000692798541476755,1,0.00149700598802395,0.08,0.000119760479041916,0.00137724550898204,True,False,0.115384615384615,,False
assessment,3,registered,loop_p_2-6-5-2,loop_p_2-6-2,2,812,0.00246305418719212,1,1,1,1,1,1,1,0.000911577028258888,0.08,7.2926162260711e-05,0.000838650865998177,0,0,0.2,0.00029940119760479,-0.00029940119760479,False,False,1,,False
assessment,3,registered,loop_p_2-6-5-2,loop_p_2-6-5-2,2,812,0.00246305418719212,2,2,2,0.5,0.5,1,1,0.000911577028258888,0.72,0.000656335460346399,0.000255241567912489,2,0.0029940119760479,0.24,0.000359281437125748,0.00263473053892216,True,False,0.0769230769230769,,False
assessment,3,registered,loop_p_4-5-4,loop_p_4-5-4,18,812,0.0221674876847291,13,9,4,0.277777777777778,0.388888888888889,16,15,0.0136736554238833,2.04,0.00185961713764813,0.0118140382862352,18,0.0269461077844311,1.64,0.00245508982035928,0.0244910179640719,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_4-5-4,loop_r2_4-5-4,5,812,0.0061576354679803,3,3,2,0.6,0.6,2,2,0.00182315405651778,0,0,0.00182315405651778,5,0.00748502994011976,0.24,0.000359281437125748,0.00712574850299401,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_4-6-4,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,2,2,0.00182315405651778,0.72,0.000656335460346399,0.00116681859617138,1,0.00149700598802395,0.76,0.0011377245508982,0.000359281437125748,True,False,0.538461538461538,,False
assessment,3,registered,loop_p_4-6-4,loop_p_4-6-4,35,812,0.0431034482758621,24,15,8,0.142857142857143,0.342857142857143,21,20,0.0182315405651778,3.04,0.00277119416590702,0.0154603463992707,32,0.0479041916167665,4.2,0.0062874251497006,0.0416167664670659,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_4-6-4,loop_r2_4-6-4,9,812,0.0110837438423645,7,7,4,0.222222222222222,0.666666666666667,4,4,0.00364630811303555,0.32,0.000291704649042844,0.00335460346399271,9,0.0134730538922156,0.24,0.000359281437125748,0.0131137724550898,True,False,0.0384615384615385,,False
assessment,3,registered,loop_p_6-7-6,loop_p_6-7-6,7,812,0.00862068965517241,4,4,4,0.571428571428571,0.571428571428571,12,5,0.00455788514129444,0.32,0.000291704649042844,0.0042661804922516,5,0.00748502994011976,0.2,0.00029940119760479,0.00718562874251497,True,False,0.0384615384615385,,False
assessment,3,registered,loop_r2_4-5-4,loop_p_4-5-4,2,812,0.00246305418719212,1,1,1,1,1,0,0,0,0.08,7.2926162260711e-05,-7.2926162260711e-05,2,0.0029940119760479,0.12,0.000179640718562874,0.00281437125748503,False,False,0.0384615384615385,,False
assessment,3,registered,loop_r2_4-5-4,loop_r2_4-5-4,2,812,0.00246305418719212,1,1,1,1,1,0,0,0,0,0,0,2,0.0029940119760479,0.24,0.000359281437125748,0.00263473053892216,False,False,0.0384615384615385,,False
assessment,3,registered,loop_r2_4-6-4,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0.08,0.000119760479041916,0.00137724550898204,False,False,0.115384615384615,,False
assessment,6,hidden,unregistered_primitive_like__2-3-2,loop_p_0-1-0,3,812,0.00369458128078818,3,3,3,0.333333333333333,0.333333333333333,8,8,0.0072926162260711,36.76,0.0335095715587967,-0.0262169553327256,3,0.00449101796407186,8.72,0.0130538922155689,-0.00856287425149701,False,False,1,,False
assessment,6,hidden,unregistered_primitive_like__2-3-2,loop_p_0-2-0,8,812,0.00985221674876847,3,4,2,0.5,0.5,20,20,0.0182315405651778,23.72,0.0216226071103008,-0.00339106654512306,8,0.0119760479041916,7.2,0.0107784431137725,0.00119760479041916,False,False,0.423076923076923,,False
assessment,6,hidden,unregistered_primitive_like__2-3-2,loop_p_1-2-1,11,812,0.0135467980295567,10,7,4,0.181818181818182,0.363636363636364,19,18,0.01640838650866,27.12,0.024721969006381,-0.00831358249772106,9,0.0134730538922156,11.6,0.0173652694610778,-0.00389221556886228,False,False,0.923076923076923,,False
assessment,6,hidden,unregistered_primitive_like__2-5-2,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,3.08,0.00280765724703737,-0.00189608021877849,1,0.00149700598802395,0.24,0.000359281437125748,0.0011377245508982,False,False,0.230769230769231,,False
