year_month,model,log_loss,brier_score,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows_x,mean_probability_realised_class,rows_y,high_minus_low_completion_rate,failed_minus_successful_hidden_event_rate
2025-01,V0,0.568164254517823,0.190125393923028,0.529850746268656,0.274674588776086,-0.919746327415536,0.223989708446324,0.0503254184621457,0.247191011235955,89,0.603112576523511,89,0.218181818181818,0.310719131614654
2025-02,V0,0.552097858492066,0.182358331148442,0.514269406392694,0.356053540276261,0.100694739970787,1.41643713809239,0.0674494420135135,0.247422680412371,97,0.612586361142599,97,-0.0264550264550264,0.243721461187215
2025-03,V0,0.59187670044865,0.201594906183428,0.601120692386436,0.389453280235384,0.195630585724615,1.28569816001311,0.0791828863742415,0.288352272727273,111,0.5918094665988,111,0.016604400166044,0.243136059572153
2025-04,V0,0.485075877976718,0.151820264368671,0.668565483883553,0.348210516146266,0.776916784206785,2.70301322594109,0.127429329676101,0.178170754896368,91,0.643329457393958,91,-0.153326458468603,0.277493916854376
2025-05,V0,0.550545655781754,0.181856426542929,0.529164101320298,0.276139130759472,-0.863359521857048,0.434541945192053,0.0758123386288217,0.22651356993737,106,0.610430062733505,106,0.0776577029404373,0.428521676399435
2025-06,V0,0.493777663646259,0.155762758728606,0.651675485008818,0.303529569439222,0.0557406801171424,1.9712474955873,0.126099605462487,0.176470588235294,153,0.636018591755111,153,0.0579839429081176,0.203703703703704
2025-07,V0,0.573656937823823,0.193197163379201,0.66001174398121,0.484078935292572,1.48464564485876,2.92638462795094,0.0753393976886496,0.284153005464481,183,0.598193056389851,183,0.0797872340425531,0.215942454492073
2025-08,V0,0.589635327945343,0.200096717890265,0.528959810874704,0.32140003381902,-0.415145409653684,0.618366963580697,0.0431662946913157,0.276923076923077,130,0.594626932816853,130,-0.0681818181818182,0.333333333333333
2025-01,V1,0.567862302737031,0.189990197869282,0.527137042062415,0.275504351075574,-0.887159017729026,0.262047561333694,0.0505129437697281,0.247191011235955,89,0.603175918818517,89,0.218181818181818,0.310719131614654
2025-02,V1,0.552354731212812,0.18246247354372,0.511415525114155,0.355910273857406,0.0906938085728591,1.4037801127829,0.0675612157029168,0.247422680412371,97,0.612495705200861,97,-0.0264550264550264,0.243721461187215
2025-03,V1,0.591578201956024,0.201486254175511,0.603881454387339,0.388407654739816,0.218483499390334,1.30861053401505,0.0656539199875104,0.288352272727273,111,0.592141063022914,111,0.016604400166044,0.243136059572153
2025-04,V1,0.485582047887785,0.152037257008147,0.666651274633221,0.34953242025577,0.703088475917407,2.6140872091047,0.127418708751434,0.178170754896368,91,0.643161100343836,91,-0.153326458468603,0.277493916854376
2025-05,V1,0.550345660548338,0.181800383343259,0.534145537541123,0.279947086761874,-0.855634214747462,0.44294180875455,0.0754794496237478,0.22651356993737,106,0.610695332060968,106,0.0776577029404373,0.428521676399435
2025-06,V1,0.49294001163926,0.155442195110283,0.650205761316872,0.300682455980318,0.0413956300270115,1.9368381217468,0.124640874454805,0.176470588235294,153,0.636973393248854,153,0.0579839429081176,0.203703703703704
2025-07,V1,0.573323079308271,0.193054217453219,0.662507339988256,0.485858500595152,1.49546748251342,2.9328559661342,0.0784639691176326,0.284153005464481,183,0.598525061894939,183,0.0797872340425531,0.215942454492073
2025-08,V1,0.589622617312291,0.200072667061467,0.524527186761229,0.324776055960692,-0.416281637530329,0.615067072740462,0.0436118138417271,0.276923076923077,130,0.594881924323617,130,-0.0681818181818182,0.333333333333333
