strategy,period,calendar_month,trades,mean_return_on_debit,mean_net_pnl,status,blocker
S1,assessment,2025-01,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-02,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-03,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-04,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-05,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-06,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-07,0,,,blocked,blocked_missing_eodhd_api_token
S1,assessment,2025-08,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-01,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-02,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-03,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-04,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-05,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-06,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-07,0,,,blocked,blocked_missing_eodhd_api_token
S2_ALL,assessment,2025-08,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-01,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-02,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-03,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-04,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-05,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-06,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-07,0,,,blocked,blocked_missing_eodhd_api_token
S2_VETO,assessment,2025-08,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-01,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-02,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-03,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-04,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-05,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-06,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-07,0,,,blocked,blocked_missing_eodhd_api_token
S3,assessment,2025-08,0,,,blocked,blocked_missing_eodhd_api_token
