scope,check,passed,rows,detail,selection_id,strategy,symbol,signal_session,contract_id,quote_role,quote_date,rejection_reason,bid,ask,midpoint,relative_spread
supplied_canonical_cache,pre_boundary_canonical_integrity,True,291,daily option high/low fields were never selected into the canonical frame,,,,,,,,,,,,
current_quick_screen,complete_required_chain_cache,False,5786,no contract substitution or forward fill was attempted,,,,,,,,,,,,
