record_type,draw,metric,value,lower_90,upper_90,lower_95,upper_95
draw,82,A2_minus_A1_brier_improvement,0.00235545044034,,,,
draw,83,A2_minus_A1_brier_improvement,0.000499436421984,,,,
draw,84,A2_minus_A1_brier_improvement,-0.000115229403241,,,,
draw,85,A2_minus_A1_brier_improvement,0.00209490136552,,,,
draw,86,A2_minus_A1_brier_improvement,0.000349691130829,,,,
draw,87,A2_minus_A1_brier_improvement,-0.00271257450145,,,,
draw,88,A2_minus_A1_brier_improvement,0.00214339825467,,,,
draw,89,A2_minus_A1_brier_improvement,0.00192856764366,,,,
draw,90,A2_minus_A1_brier_improvement,0.00364508670937,,,,
draw,91,A2_minus_A1_brier_improvement,0.000532792068756,,,,
draw,92,A2_minus_A1_brier_improvement,0.000166724782645,,,,
draw,93,A2_minus_A1_brier_improvement,0.00235857751108,,,,
draw,94,A2_minus_A1_brier_improvement,0.00146157518428,,,,
draw,95,A2_minus_A1_brier_improvement,0.00291091061652,,,,
draw,96,A2_minus_A1_brier_improvement,0.00259928938854,,,,
draw,97,A2_minus_A1_brier_improvement,0.00314133671286,,,,
draw,98,A2_minus_A1_brier_improvement,0.000164352094355,,,,
draw,99,A2_minus_A1_brier_improvement,0.0028971500066,,,,
draw,100,A2_minus_A1_brier_improvement,-7.50900561582e-05,,,,
draw,101,A2_minus_A1_brier_improvement,0.00449669928216,,,,
draw,102,A2_minus_A1_brier_improvement,0.00312158615183,,,,
draw,103,A2_minus_A1_brier_improvement,0.00153350096702,,,,
draw,104,A2_minus_A1_brier_improvement,0.00156518630854,,,,
draw,105,A2_minus_A1_brier_improvement,0.000352549509899,,,,
draw,106,A2_minus_A1_brier_improvement,0.00162054629728,,,,
draw,107,A2_minus_A1_brier_improvement,-0.000543326176672,,,,
draw,108,A2_minus_A1_brier_improvement,0.0020916804596,,,,
draw,109,A2_minus_A1_brier_improvement,0.00234147815222,,,,
draw,110,A2_minus_A1_brier_improvement,0.00272680264738,,,,
draw,111,A2_minus_A1_brier_improvement,-0.00221180622655,,,,
draw,112,A2_minus_A1_brier_improvement,0.00562565533589,,,,
draw,113,A2_minus_A1_brier_improvement,-0.0019235001919,,,,
draw,114,A2_minus_A1_brier_improvement,0.00113187005011,,,,
draw,115,A2_minus_A1_brier_improvement,0.00172805328709,,,,
draw,116,A2_minus_A1_brier_improvement,-0.00150264719467,,,,
draw,117,A2_minus_A1_brier_improvement,0.00264207185099,,,,
draw,118,A2_minus_A1_brier_improvement,-0.00238546371676,,,,
draw,119,A2_minus_A1_brier_improvement,-0.000418590328722,,,,
draw,120,A2_minus_A1_brier_improvement,0.000497935428344,,,,
draw,121,A2_minus_A1_brier_improvement,0.00363627913314,,,,
draw,122,A2_minus_A1_brier_improvement,0.00232881675678,,,,
draw,123,A2_minus_A1_brier_improvement,0.00813853210978,,,,
draw,124,A2_minus_A1_brier_improvement,0.000195747224105,,,,
draw,125,A2_minus_A1_brier_improvement,-0.000102252816188,,,,
draw,126,A2_minus_A1_brier_improvement,0.00324068762996,,,,
draw,127,A2_minus_A1_brier_improvement,0.0023329099583,,,,
draw,128,A2_minus_A1_brier_improvement,0.000212888851303,,,,
draw,129,A2_minus_A1_brier_improvement,0.00266209814981,,,,
draw,130,A2_minus_A1_brier_improvement,0.00195859594291,,,,
draw,131,A2_minus_A1_brier_improvement,0.00383174849507,,,,
draw,132,A2_minus_A1_brier_improvement,0.00117118974994,,,,
draw,133,A2_minus_A1_brier_improvement,-0.00232942411396,,,,
draw,134,A2_minus_A1_brier_improvement,0.00334150697329,,,,
draw,135,A2_minus_A1_brier_improvement,-0.00279972151683,,,,
draw,136,A2_minus_A1_brier_improvement,-0.00136670585141,,,,
draw,137,A2_minus_A1_brier_improvement,0.00226508337889,,,,
draw,138,A2_minus_A1_brier_improvement,0.00147344451893,,,,
draw,139,A2_minus_A1_brier_improvement,0.00213428311814,,,,
draw,140,A2_minus_A1_brier_improvement,-0.00374668813231,,,,
draw,141,A2_minus_A1_brier_improvement,0.00237660977484,,,,
draw,142,A2_minus_A1_brier_improvement,0.00175409918128,,,,
draw,143,A2_minus_A1_brier_improvement,0.000443051849448,,,,
draw,144,A2_minus_A1_brier_improvement,0.00372555444707,,,,
draw,145,A2_minus_A1_brier_improvement,0.00454292081716,,,,
draw,146,A2_minus_A1_brier_improvement,-0.00162250175853,,,,
draw,147,A2_minus_A1_brier_improvement,-0.000232188317742,,,,
draw,148,A2_minus_A1_brier_improvement,0.00274451306625,,,,
draw,149,A2_minus_A1_brier_improvement,0.00180640171537,,,,
draw,150,A2_minus_A1_brier_improvement,-0.00158565321291,,,,
draw,151,A2_minus_A1_brier_improvement,-0.000477231239107,,,,
draw,152,A2_minus_A1_brier_improvement,0.00948158671678,,,,
draw,153,A2_minus_A1_brier_improvement,-0.0032977546406,,,,
draw,154,A2_minus_A1_brier_improvement,-0.00210609689813,,,,
draw,155,A2_minus_A1_brier_improvement,-0.000273140967236,,,,
draw,156,A2_minus_A1_brier_improvement,0.00113672469864,,,,
draw,157,A2_minus_A1_brier_improvement,0.00309328068979,,,,
draw,158,A2_minus_A1_brier_improvement,0.000418349619585,,,,
draw,159,A2_minus_A1_brier_improvement,0.00200956322445,,,,
draw,160,A2_minus_A1_brier_improvement,0.00107713713554,,,,
draw,161,A2_minus_A1_brier_improvement,0.000204328980319,,,,
draw,162,A2_minus_A1_brier_improvement,0.00213677660145,,,,
draw,163,A2_minus_A1_brier_improvement,0.00205465946111,,,,
draw,164,A2_minus_A1_brier_improvement,0.00148553769063,,,,
draw,165,A2_minus_A1_brier_improvement,0.00250299633844,,,,
draw,166,A2_minus_A1_brier_improvement,-6.11725114379e-05,,,,
draw,167,A2_minus_A1_brier_improvement,0.00180122970865,,,,
draw,168,A2_minus_A1_brier_improvement,0.000354353889967,,,,
draw,169,A2_minus_A1_brier_improvement,0.00258977226865,,,,
draw,170,A2_minus_A1_brier_improvement,-0.00129961631503,,,,
draw,171,A2_minus_A1_brier_improvement,0.00239937668026,,,,
draw,172,A2_minus_A1_brier_improvement,-0.00126602949366,,,,
draw,173,A2_minus_A1_brier_improvement,-0.000727763494046,,,,
draw,174,A2_minus_A1_brier_improvement,-0.00147159207208,,,,
draw,175,A2_minus_A1_brier_improvement,0.00115532341161,,,,
draw,176,A2_minus_A1_brier_improvement,0.000980058306386,,,,
draw,177,A2_minus_A1_brier_improvement,0.00402061880631,,,,
draw,178,A2_minus_A1_brier_improvement,2.44484438711e-05,,,,
draw,179,A2_minus_A1_brier_improvement,0.00228324283456,,,,
draw,180,A2_minus_A1_brier_improvement,-0.00194758340013,,,,
draw,181,A2_minus_A1_brier_improvement,-0.00198664817729,,,,
draw,182,A2_minus_A1_brier_improvement,-0.000670301629928,,,,
draw,183,A2_minus_A1_brier_improvement,0.00556308602106,,,,
draw,184,A2_minus_A1_brier_improvement,0.000137883281689,,,,
draw,185,A2_minus_A1_brier_improvement,0.00184151358275,,,,
draw,186,A2_minus_A1_brier_improvement,0.00210852581491,,,,
draw,187,A2_minus_A1_brier_improvement,0.00426287920141,,,,
draw,188,A2_minus_A1_brier_improvement,0.000599012604491,,,,
draw,189,A2_minus_A1_brier_improvement,0.000523864447831,,,,
draw,190,A2_minus_A1_brier_improvement,0.00171757232464,,,,
draw,191,A2_minus_A1_brier_improvement,0.00134550148724,,,,
draw,192,A2_minus_A1_brier_improvement,0.00223089967595,,,,
draw,193,A2_minus_A1_brier_improvement,0.00299547668344,,,,
draw,194,A2_minus_A1_brier_improvement,-0.00103774908653,,,,
draw,195,A2_minus_A1_brier_improvement,0.00585925017449,,,,
draw,196,A2_minus_A1_brier_improvement,0.00213452241406,,,,
draw,197,A2_minus_A1_brier_improvement,0.00300020520074,,,,
draw,198,A2_minus_A1_brier_improvement,0.000734866746667,,,,
draw,199,A2_minus_A1_brier_improvement,0.000645351198571,,,,
draw,0,A2_minus_A1_log_loss_improvement,0.00173187181904,,,,
draw,1,A2_minus_A1_log_loss_improvement,0.00436214384071,,,,
draw,2,A2_minus_A1_log_loss_improvement,0.00720824949329,,,,
draw,3,A2_minus_A1_log_loss_improvement,0.00641920506365,,,,
draw,4,A2_minus_A1_log_loss_improvement,-0.00242898512887,,,,
draw,5,A2_minus_A1_log_loss_improvement,-0.00176550811706,,,,
draw,6,A2_minus_A1_log_loss_improvement,0.00162740005899,,,,
draw,7,A2_minus_A1_log_loss_improvement,-0.000271161623692,,,,
draw,8,A2_minus_A1_log_loss_improvement,0.0036255170032,,,,
draw,9,A2_minus_A1_log_loss_improvement,0.00309569398076,,,,
draw,10,A2_minus_A1_log_loss_improvement,0.00285243561864,,,,
draw,11,A2_minus_A1_log_loss_improvement,0.00886262474472,,,,
draw,12,A2_minus_A1_log_loss_improvement,0.00778978751067,,,,
draw,13,A2_minus_A1_log_loss_improvement,0.00283306947005,,,,
draw,14,A2_minus_A1_log_loss_improvement,0.000926380936264,,,,
draw,15,A2_minus_A1_log_loss_improvement,-0.00257305830466,,,,
draw,16,A2_minus_A1_log_loss_improvement,-0.00185952449678,,,,
draw,17,A2_minus_A1_log_loss_improvement,0.00636763316639,,,,
draw,18,A2_minus_A1_log_loss_improvement,0.00228215793782,,,,
draw,19,A2_minus_A1_log_loss_improvement,0.00360856442756,,,,
draw,20,A2_minus_A1_log_loss_improvement,0.00515942195572,,,,
draw,21,A2_minus_A1_log_loss_improvement,0.00834147007325,,,,
draw,22,A2_minus_A1_log_loss_improvement,0.00314680599512,,,,
draw,23,A2_minus_A1_log_loss_improvement,0.00739201059133,,,,
draw,24,A2_minus_A1_log_loss_improvement,-0.00066633688425,,,,
draw,25,A2_minus_A1_log_loss_improvement,0.0102940276175,,,,
draw,26,A2_minus_A1_log_loss_improvement,0.00515566025105,,,,
draw,27,A2_minus_A1_log_loss_improvement,9.80554344516e-05,,,,
draw,28,A2_minus_A1_log_loss_improvement,0.00248650462032,,,,
draw,29,A2_minus_A1_log_loss_improvement,0.0101121243567,,,,
draw,30,A2_minus_A1_log_loss_improvement,0.000757667488986,,,,
draw,31,A2_minus_A1_log_loss_improvement,0.000732659850175,,,,
draw,32,A2_minus_A1_log_loss_improvement,0.00353070946411,,,,
