detector,period,month,rows,target_first_precision,control_precision,precision_lift,dynamic_mean_net_bps
H1_downside_expansion_exhaustion_long,2025,2025-01,70,0.42857142857142855,0.45714285714285713,-0.02857142857142857,-13.51814602180313
H1_downside_expansion_exhaustion_long,2025,2025-02,68,0.35294117647058826,0.39705882352941174,-0.04411764705882353,-19.264821596187232
H1_downside_expansion_exhaustion_long,2025,2025-03,89,0.42696629213483145,0.5056179775280899,-0.07865168539325842,-14.15231557185272
H1_downside_expansion_exhaustion_long,2025,2025-04,93,0.24731182795698925,0.3333333333333333,-0.08602150537634409,-23.16330883976634
H1_downside_expansion_exhaustion_long,2025,2025-05,56,0.21428571428571427,0.5,-0.2857142857142857,-27.113395331065238
H1_downside_expansion_exhaustion_long,2025,2025-06,44,0.25,0.36363636363636365,-0.11363636363636363,-23.777965944082087
H1_downside_expansion_exhaustion_long,2025,2025-07,35,0.4,0.5142857142857142,-0.11428571428571428,-14.464805229947316
H1_downside_expansion_exhaustion_long,2025,2025-08,18,0.3333333333333333,0.3888888888888889,-0.05555555555555555,-19.549705587836733
H1_downside_expansion_exhaustion_long,2025,2025-09,26,0.4230769230769231,0.5,-0.07692307692307693,-15.726487692209222
H1_downside_expansion_exhaustion_long,2025,2025-10,89,0.2247191011235955,0.25842696629213485,-0.033707865168539325,-28.63164858986336
H1_downside_expansion_exhaustion_long,2025,2025-11,45,0.3333333333333333,0.3333333333333333,0.0,-19.497917268311667
H1_downside_expansion_exhaustion_long,2025,2025-12,22,0.36363636363636365,0.5,-0.13636363636363635,-19.204171658301952
H1_downside_expansion_exhaustion_long,2026,2026-01,35,0.4857142857142857,0.4857142857142857,0.0,-12.000701416550905
H1_downside_expansion_exhaustion_long,2026,2026-02,35,0.42857142857142855,0.4,0.02857142857142857,-12.828091741611757
H1_downside_expansion_exhaustion_long,2026,2026-03,58,0.43103448275862066,0.41379310344827586,0.017241379310344827,-12.664235793229539
H1_downside_expansion_exhaustion_long,2026,2026-04,56,0.30357142857142855,0.375,-0.07142857142857142,-20.380836036695776
H1_downside_expansion_exhaustion_long,2026,2026-05,25,0.36,0.44,-0.08,-17.827948798581374
H1_downside_expansion_exhaustion_long,2026,2026-06,52,0.4423076923076923,0.2692307692307692,0.17307692307692307,-12.580106313579668
H2_failed_breakdown_reclaim_long,2025,2025-01,218,0.48623853211009177,0.4724770642201835,0.013761467889908258,-15.002847612859476
H2_failed_breakdown_reclaim_long,2025,2025-02,239,0.40585774058577406,0.4351464435146444,-0.029288702928870293,-19.889139643940183
H2_failed_breakdown_reclaim_long,2025,2025-03,274,0.5109489051094891,0.48905109489051096,0.021897810218978103,-8.61421636540743
H2_failed_breakdown_reclaim_long,2025,2025-04,261,0.421455938697318,0.5287356321839081,-0.10727969348659004,-20.93455530942823
H2_failed_breakdown_reclaim_long,2025,2025-05,188,0.46808510638297873,0.425531914893617,0.0425531914893617,-9.88672056435763
H2_failed_breakdown_reclaim_long,2025,2025-06,239,0.48535564853556484,0.47280334728033474,0.012552301255230125,-6.914645383655421
H2_failed_breakdown_reclaim_long,2025,2025-07,264,0.5378787878787878,0.5265151515151515,0.011363636363636364,-4.262708022837937
H2_failed_breakdown_reclaim_long,2025,2025-08,244,0.46311475409836067,0.4959016393442623,-0.03278688524590164,-13.196798642670409
H2_failed_breakdown_reclaim_long,2025,2025-09,215,0.4232558139534884,0.5023255813953489,-0.07906976744186046,-17.73462023112895
H2_failed_breakdown_reclaim_long,2025,2025-10,310,0.4258064516129032,0.4612903225806452,-0.035483870967741936,-22.28818910859057
H2_failed_breakdown_reclaim_long,2025,2025-11,261,0.3793103448275862,0.42528735632183906,-0.04597701149425287,-25.17800873190178
H2_failed_breakdown_reclaim_long,2025,2025-12,236,0.5,0.4364406779661017,0.0635593220338983,-7.661103386693562
H2_failed_breakdown_reclaim_long,2026,2026-01,214,0.5,0.5467289719626168,-0.04672897196261682,-10.416314990286457
H2_failed_breakdown_reclaim_long,2026,2026-02,232,0.4525862068965517,0.40948275862068967,0.04310344827586207,-14.031760395053542
H2_failed_breakdown_reclaim_long,2026,2026-03,269,0.49070631970260226,0.43866171003717475,0.05204460966542751,-8.303437450863411
H2_failed_breakdown_reclaim_long,2026,2026-04,256,0.49609375,0.53125,-0.03515625,-11.249275820668014
H2_failed_breakdown_reclaim_long,2026,2026-05,172,0.5465116279069767,0.45930232558139533,0.0872093023255814,-6.599151609484048
H2_failed_breakdown_reclaim_long,2026,2026-06,238,0.5546218487394958,0.40756302521008403,0.14705882352941177,-3.314703404148405
H3_two_bar_reversal_confirmation_long,2025,2025-01,136,0.39705882352941174,0.5367647058823529,-0.13970588235294118,-30.73768478146725
H3_two_bar_reversal_confirmation_long,2025,2025-02,110,0.42727272727272725,0.44545454545454544,-0.01818181818181818,-11.463812505881123
H3_two_bar_reversal_confirmation_long,2025,2025-03,111,0.46846846846846846,0.4864864864864865,-0.018018018018018018,-13.107894220825573
H3_two_bar_reversal_confirmation_long,2025,2025-04,100,0.42,0.56,-0.14,-24.790026271137343
H3_two_bar_reversal_confirmation_long,2025,2025-05,116,0.45689655172413796,0.4396551724137931,0.017241379310344827,-18.622839545185688
