period,symbol_norm,detector,events
2026,AAOI,H1_downside_expansion_exhaustion_long,30
2026,AAOI,H2_failed_breakdown_reclaim_long,72
2026,AAOI,H3_two_bar_reversal_confirmation_long,26
2026,AAOI,H4_opening_range_failed_breakdown_long,12
2026,AAOI,H5_activity_activated_downside_expansion_long,24
2026,APLD,H1_downside_expansion_exhaustion_long,14
2026,APLD,H2_failed_breakdown_reclaim_long,64
2026,APLD,H3_two_bar_reversal_confirmation_long,30
2026,APLD,H4_opening_range_failed_breakdown_long,11
2026,APLD,H5_activity_activated_downside_expansion_long,10
2026,ASTS,H1_downside_expansion_exhaustion_long,25
2026,ASTS,H2_failed_breakdown_reclaim_long,68
2026,ASTS,H3_two_bar_reversal_confirmation_long,23
2026,ASTS,H4_opening_range_failed_breakdown_long,17
2026,ASTS,H5_activity_activated_downside_expansion_long,21
2026,CIFR,H1_downside_expansion_exhaustion_long,22
2026,CIFR,H2_failed_breakdown_reclaim_long,76
2026,CIFR,H3_two_bar_reversal_confirmation_long,31
2026,CIFR,H4_opening_range_failed_breakdown_long,16
2026,CIFR,H5_activity_activated_downside_expansion_long,17
2026,HIMS,H1_downside_expansion_exhaustion_long,13
2026,HIMS,H2_failed_breakdown_reclaim_long,77
2026,HIMS,H3_two_bar_reversal_confirmation_long,31
2026,HIMS,H4_opening_range_failed_breakdown_long,9
2026,HIMS,H5_activity_activated_downside_expansion_long,13
2026,IONQ,H1_downside_expansion_exhaustion_long,15
2026,IONQ,H2_failed_breakdown_reclaim_long,83
2026,IONQ,H3_two_bar_reversal_confirmation_long,31
2026,IONQ,H4_opening_range_failed_breakdown_long,14
2026,IONQ,H5_activity_activated_downside_expansion_long,13
2026,IREN,H1_downside_expansion_exhaustion_long,14
2026,IREN,H2_failed_breakdown_reclaim_long,84
2026,IREN,H3_two_bar_reversal_confirmation_long,28
2026,IREN,H4_opening_range_failed_breakdown_long,11
2026,IREN,H5_activity_activated_downside_expansion_long,12
2026,MARA,H1_downside_expansion_exhaustion_long,17
2026,MARA,H2_failed_breakdown_reclaim_long,77
2026,MARA,H3_two_bar_reversal_confirmation_long,38
2026,MARA,H4_opening_range_failed_breakdown_long,13
2026,MARA,H5_activity_activated_downside_expansion_long,10
2026,MP,H1_downside_expansion_exhaustion_long,5
2026,MP,H2_failed_breakdown_reclaim_long,65
2026,MP,H3_two_bar_reversal_confirmation_long,22
2026,MP,H4_opening_range_failed_breakdown_long,10
2026,MP,H5_activity_activated_downside_expansion_long,5
2026,MRNA,H1_downside_expansion_exhaustion_long,6
2026,MRNA,H2_failed_breakdown_reclaim_long,71
2026,MRNA,H3_two_bar_reversal_confirmation_long,31
2026,MRNA,H4_opening_range_failed_breakdown_long,7
2026,MRNA,H5_activity_activated_downside_expansion_long,6
2026,MSTR,H1_downside_expansion_exhaustion_long,6
2026,MSTR,H2_failed_breakdown_reclaim_long,82
2026,MSTR,H3_two_bar_reversal_confirmation_long,36
2026,MSTR,H4_opening_range_failed_breakdown_long,16
2026,MSTR,H5_activity_activated_downside_expansion_long,3
2026,NVTS,H1_downside_expansion_exhaustion_long,25
2026,NVTS,H2_failed_breakdown_reclaim_long,72
2026,NVTS,H3_two_bar_reversal_confirmation_long,25
2026,NVTS,H4_opening_range_failed_breakdown_long,13
2026,NVTS,H5_activity_activated_downside_expansion_long,21
2026,QBTS,H1_downside_expansion_exhaustion_long,12
2026,QBTS,H2_failed_breakdown_reclaim_long,77
2026,QBTS,H3_two_bar_reversal_confirmation_long,23
2026,QBTS,H4_opening_range_failed_breakdown_long,14
2026,QBTS,H5_activity_activated_downside_expansion_long,11
2026,RGTI,H1_downside_expansion_exhaustion_long,15
2026,RGTI,H2_failed_breakdown_reclaim_long,70
2026,RGTI,H3_two_bar_reversal_confirmation_long,31
2026,RGTI,H4_opening_range_failed_breakdown_long,15
2026,RGTI,H5_activity_activated_downside_expansion_long,11
2026,RIOT,H1_downside_expansion_exhaustion_long,21
2026,RIOT,H2_failed_breakdown_reclaim_long,77
2026,RIOT,H3_two_bar_reversal_confirmation_long,41
2026,RIOT,H4_opening_range_failed_breakdown_long,17
2026,RIOT,H5_activity_activated_downside_expansion_long,18
2026,RIVN,H1_downside_expansion_exhaustion_long,2
2026,RIVN,H2_failed_breakdown_reclaim_long,62
2026,RIVN,H3_two_bar_reversal_confirmation_long,34
2026,RIVN,H4_opening_range_failed_breakdown_long,10
2026,RIVN,H5_activity_activated_downside_expansion_long,2
2026,SMCI,H1_downside_expansion_exhaustion_long,4
2026,SMCI,H2_failed_breakdown_reclaim_long,71
2026,SMCI,H3_two_bar_reversal_confirmation_long,29
2026,SMCI,H4_opening_range_failed_breakdown_long,12
2026,SMCI,H5_activity_activated_downside_expansion_long,2
2026,SOFI,H1_downside_expansion_exhaustion_long,1
2026,SOFI,H2_failed_breakdown_reclaim_long,67
2026,SOFI,H3_two_bar_reversal_confirmation_long,29
2026,SOFI,H4_opening_range_failed_breakdown_long,7
2026,SOFI,H5_activity_activated_downside_expansion_long,1
2026,WULF,H1_downside_expansion_exhaustion_long,15
2026,WULF,H2_failed_breakdown_reclaim_long,76
2026,WULF,H3_two_bar_reversal_confirmation_long,40
2026,WULF,H4_opening_range_failed_breakdown_long,16
2026,WULF,H5_activity_activated_downside_expansion_long,12
