detector,period,hit_type,rows,share,mean_mfe_r,mean_mae_r,mean_dynamic_net_bps
H1_downside_expansion_exhaustion_long,2025,dual_touch_conservative_stop,216,0.3297709923664122,8.996232645532606,8.726017305663534,-38.922556710294685
H1_downside_expansion_exhaustion_long,2025,no_touch_time_exit,1,0.0015267175572519084,0.1930626974223609,0.9275411822297391,-76.56705408440101
H1_downside_expansion_exhaustion_long,2025,stop_first,225,0.3435114503816794,5.519405020510821,9.403878537078352,-39.69880500339534
H1_downside_expansion_exhaustion_long,2025,stop_gap_or_open_first,1,0.0015267175572519084,1.66666666666668,9.222222222222245,-66.35566687539173
H1_downside_expansion_exhaustion_long,2025,target_first,212,0.3236641221374046,9.755053539527871,4.358817023044203,19.49366611474931
H1_downside_expansion_exhaustion_long,2026,dual_touch_conservative_stop,66,0.25287356321839083,8.091406199110594,9.456609665064573,-36.22253946553088
H1_downside_expansion_exhaustion_long,2026,stop_first,88,0.3371647509578544,4.945022892654851,9.10946083765848,-37.53271809583768
H1_downside_expansion_exhaustion_long,2026,stop_gap_or_open_first,1,0.0038314176245210726,3.100000000000089,4.2000000000000615,-44.1413451689987
H1_downside_expansion_exhaustion_long,2026,target_first,106,0.4061302681992337,9.451430601211591,5.761960725347058,17.858336221312317
H2_failed_breakdown_reclaim_long,2025,dual_touch_conservative_stop,92,0.031197015937605967,6.092641485879111,5.258531415184497,-47.202158795856455
H2_failed_breakdown_reclaim_long,2025,no_touch_time_exit,5,0.00169548999660902,0.6561915278783388,0.6998388009689456,41.75189620387899
H2_failed_breakdown_reclaim_long,2025,stop_first,1495,0.506951508986097,2.6483861162126328,4.34475444082468,-64.32381032334297
H2_failed_breakdown_reclaim_long,2025,stop_gap_or_open_first,5,0.00169548999660902,1.9147713069050483,5.750715540568711,-50.51159608643906
H2_failed_breakdown_reclaim_long,2025,target_first,1349,0.4574432010851136,4.803622039323533,2.556595126289749,42.640633710575315
H2_failed_breakdown_reclaim_long,2025,target_gap_or_open_first,3,0.001017293997965412,2.968494121605131,0.6526838593703311,73.83304693341329
H2_failed_breakdown_reclaim_long,2026,dual_touch_conservative_stop,46,0.0333091962346126,5.539425508289219,5.445603498135505,-46.70472777461737
H2_failed_breakdown_reclaim_long,2026,no_touch_time_exit,5,0.003620564808110065,0.7255094271923566,0.6412992093457373,-14.290120621366356
H2_failed_breakdown_reclaim_long,2026,stop_first,630,0.4561911658218682,2.7508497500928124,4.536415482270194,-60.40824787345556
H2_failed_breakdown_reclaim_long,2026,stop_gap_or_open_first,3,0.002172338884866039,4.131864638539196,1.972212331063557,-80.08808610995436
H2_failed_breakdown_reclaim_long,2026,target_first,695,0.503258508327299,4.880632925891955,2.4773844501383944,40.14785525922753
H2_failed_breakdown_reclaim_long,2026,target_gap_or_open_first,2,0.001448225923244026,6.731159337324693,1.4476533434919714,46.35825160869689
H3_two_bar_reversal_confirmation_long,2025,dual_touch_conservative_stop,5,0.003897116134060795,3.967753707562899,7.266760799438515,-62.49786891166575
