detector,period,deleted_symbol,rows,target_first_precision,precision_lift,dynamic_mean_net_bps
H1_downside_expansion_exhaustion_long,2025,AAL,650,0.32153846153846155,-0.08615384615384615,-20.49106058102211
H1_downside_expansion_exhaustion_long,2025,AAOI,605,0.3140495867768595,-0.09090909090909091,-21.173423788723575
H1_downside_expansion_exhaustion_long,2025,APLD,604,0.3195364238410596,-0.08609271523178808,-20.437700706920477
H1_downside_expansion_exhaustion_long,2025,ASTS,619,0.32310177705977383,-0.07431340872374798,-20.502477077698327
H1_downside_expansion_exhaustion_long,2025,CIFR,594,0.3333333333333333,-0.06902356902356903,-19.859661668484097
H1_downside_expansion_exhaustion_long,2025,HIMS,620,0.33064516129032256,-0.07580645161290323,-19.972590261115112
H1_downside_expansion_exhaustion_long,2025,IONQ,617,0.31766612641815234,-0.08752025931928688,-20.704593672583325
H1_downside_expansion_exhaustion_long,2025,IREN,618,0.3220064724919094,-0.09061488673139159,-20.52176558073477
H1_downside_expansion_exhaustion_long,2025,MARA,637,0.3202511773940345,-0.08320251177394035,-20.528314079100202
H1_downside_expansion_exhaustion_long,2025,MP,627,0.31259968102073366,-0.09569377990430622,-21.153780500180208
H1_downside_expansion_exhaustion_long,2025,MRNA,644,0.3198757763975155,-0.08695652173913043,-20.50776204774788
H1_downside_expansion_exhaustion_long,2025,MSTR,636,0.31761006289308175,-0.0880503144654088,-20.722371049323108
H1_downside_expansion_exhaustion_long,2025,NVTS,600,0.33,-0.06833333333333333,-19.763447600069387
H1_downside_expansion_exhaustion_long,2025,QBTS,614,0.3338762214983713,-0.08957654723127036,-19.61482647082036
H1_downside_expansion_exhaustion_long,2025,RGTI,602,0.33222591362126247,-0.0664451827242525,-19.75411660288893
H1_downside_expansion_exhaustion_long,2025,RIOT,624,0.32371794871794873,-0.08173076923076923,-20.469102972500366
H1_downside_expansion_exhaustion_long,2025,RIVN,644,0.32142857142857145,-0.08540372670807453,-20.573494909719937
H1_downside_expansion_exhaustion_long,2025,SMCI,639,0.325508607198748,-0.07981220657276995,-20.354250911260724
H1_downside_expansion_exhaustion_long,2025,SOFI,648,0.3271604938271605,-0.08179012345679013,-20.24336976005767
H1_downside_expansion_exhaustion_long,2025,WULF,603,0.3283582089552239,-0.07960199004975124,-20.196034297060898
H1_downside_expansion_exhaustion_long,2026,AAOI,231,0.41125541125541126,0.017316017316017316,-14.56754207114281
H1_downside_expansion_exhaustion_long,2026,APLD,247,0.4089068825910931,0.016194331983805668,-14.502330842440626
H1_downside_expansion_exhaustion_long,2026,ASTS,237,0.4177215189873418,0.03375527426160337,-13.77776462893483
H1_downside_expansion_exhaustion_long,2026,CIFR,239,0.4100418410041841,0.02510460251046025,-14.636848871415912
H1_downside_expansion_exhaustion_long,2026,HIMS,248,0.40725806451612906,0.024193548387096774,-14.555202778269768
