symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
VOD,140148322,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:41.355239+00:00,
VSVS,118857122,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:40.238929+00:00,
VTY,26652747,4,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:28.740503+00:00,
W7L,257468823,0,False,0,,2026-09-14T08:58:46.138334+00:00,IBKR historical data returned no bars for W7L
WEIR,21915985,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:28.639422+00:00,
WISE,881108665,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:59:06.452666+00:00,
WIZZ,185320420,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:43.144538+00:00,
WPP,119773886,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:40.355454+00:00,
WTB,42402491,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:34.045161+00:00,
XAR,35151833,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:31.240714+00:00,
XPP,64847575,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:36.139705+00:00,
XPS,266308363,2,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:46.537980+00:00,
YCA,325059774,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:49.438278+00:00,
YOU,48889360,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:35.238570+00:00,
YU.,225639719,0,False,0,,2026-09-14T08:58:44.942621+00:00,IBKR historical data returned no bars for YU.
ZEG,187511163,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:43.542101+00:00,
ZIG,69034979,4,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:36.243396+00:00,
