run_id,period,session,episode_id,pair,loop,orientation,regime,component,source_artifact,source_hash,episode_level,onset,end,source_pair_episode_ids,loops,regimes,loop_count,regime_count,source_pair_episode_count,duration_sessions,final_dominant_loop,leader_tie,final_dominant_regime,dominant_regime_tie,second_place_loop,final_leader_share,leader_margin,loop_payoff_entropy,loop_occurrence_entropy,regime_payoff_entropy,regime_occurrence_entropy,occurrence_coverage_fraction,occurrence_population_complete,anatomy_category,common_component_mean,regime_component_mean,loop_excess_component_mean,common_component_positive_pair_share,regime_component_positive_pair_share,loop_excess_component_positive_pair_share,common_positive_contribution_share,regime_positive_contribution_share,loop_excess_positive_contribution_share,common_signed_contribution_to_positive_pair_payoff,regime_signed_contribution_to_positive_pair_payoff,loop_excess_signed_contribution_to_positive_pair_payoff,common_marginal_variance_share_noncausal,regime_marginal_variance_share_noncausal,loop_excess_marginal_variance_share_noncausal,variance_decomposition_is_causal,common_first_positive_relative_session,common_last_positive_relative_session,regime_first_positive_relative_session,regime_last_positive_relative_session,loop_excess_first_positive_relative_session,loop_excess_last_positive_relative_session,common_onset_value,common_decay_value,regime_onset_value,regime_decay_value,loop_excess_onset_value,loop_excess_decay_value,common_component_persistence,stock_top_one_positive_contribution_share,stock_or_cohort_concentrated,shared_regime_activation,multi_regime_shared_episode,loop_specific_activation,leader_positive_loop_excess_share,same_regime_peer_positive_fraction,regime_sequence_interaction_candidate
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-11-17..2025-11-19,same_regime_0077,cycle_04|state_4,cycle_04,state_4,state_4,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-11-17,2025-11-19,episode_0119,cycle_04,state_4,1,1,1,3,cycle_04,False,state_4,False,unavailable,1,,-0,-0,-0,-0,1,True,SINGLE_LOOP_EPISODE,28.1192637312,-83.7045617983,156.095301002,0.333333333333,0.333333333333,0.666666666667,0.123711385924,0.0860002596374,0.790288354438,0.226249308814,-0.811040014069,1.58479070525,0.0197588432861,0.196370297515,0.783870859199,False,0,0,1,1,0,2,97.5552054199,-8.58559201308,-296.422692275,-22.5082997679,578.181840787,45.0165995357,1,0.591702547643,True,False,False,True,1.58479070525,,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-11-21..2025-12-23,same_regime_0078,cycle_04|state_4;cycle_06|state_4;cycle_08|state_4,cycle_04;cycle_06;cycle_08,state_4,state_4,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-11-21,2025-12-23,episode_0120|episode_0121|episode_0141|episode_0142|episode_0143|episode_0183,cycle_04|cycle_06|cycle_08,state_4,3,1,6,22,cycle_06,False,state_4,False,cycle_04,0.519871086803,486.865939871,1.02488267138,0.476679237599,-0,-0,1,True,MAJORITY_LOOP_DOMINANCE,3.13108407327,37.8957581355,0.978237222589,0.473684210526,0.578947368421,0.368421052632,0.252476345592,0.456899159161,0.290624495247,0.1601126125,0.419665844305,0.420221543195,0.272813126183,0.297416086607,0.429770787211,False,0,20,2,20,13,13,26.832512057,-68.1057558458,-77.5858220592,-51.278717262,0,0,-0.269246711263,0.11279006311,False,False,False,False,0.282999176569,0.5625,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-04-02..2025-04-10,same_regime_0079,cycle_07|state_5,cycle_07,state_5,state_5,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-04-02,2025-04-10,episode_0158,cycle_07,state_5,1,1,1,7,cycle_07,False,state_5,False,unavailable,1,,-0,-0,-0,-0,1,True,SINGLE_LOOP_EPISODE,37.0766203844,-55.806615542,102.627448376,0.571428571429,0.142857142857,0.857142857143,0.343772330069,0.0296373088094,0.626590361122,0.485096049768,-0.202002210789,0.716906161021,0.311999486637,0.203269459561,0.484731053802,False,0,6,6,6,0,6,81.9324303917,80.1999996144,-32.8453449033,33.9794720442,306.659901022,87.4625485817,-0.238707677002,0.136246011033,False,False,False,True,0.88417968061,,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-04-24..2025-05-09,same_regime_0080,cycle_07|state_5;cycle_11|state_5,cycle_07;cycle_11,state_5,state_5,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-04-24,2025-05-09,episode_0159|episode_0193,cycle_07|cycle_11,state_5,2,1,2,12,cycle_07,False,state_5,False,cycle_11,0.709829127179,468.148872415,0.602304608496,0.6829081047,-0,-0,1,True,MAJORITY_LOOP_DOMINANCE,-21.3940436988,36.6942606724,2.54593250149,0.333333333333,0.666666666667,0.428571428571,0.174943778694,0.488619547821,0.336436673485,-0.0465540094019,0.422892888802,0.6236611206,0.216167453829,0.384178374393,0.399654171779,False,0,7,1,11,10,11,94.6636725501,-163.167528323,-139.938943198,196.856848711,0,68.7472105781,0.0346554016309,0.191735532687,False,False,False,True,0.668659808594,0.363636363636,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-05-22..2025-06-26,same_regime_0081,cycle_07|state_5;cycle_11|state_5;cycle_13|state_5,cycle_07;cycle_11;cycle_13,state_5,state_5,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-05-22,2025-06-26,episode_0160|episode_0161|episode_0162|episode_0194|episode_0195|episode_0200,cycle_07|cycle_11|cycle_13,state_5,3,1,6,24,cycle_13,False,state_5,False,cycle_11,0.702471388582,1323.14276659,0.608755734564,0.982029011496,-0,-0,1,True,MAJORITY_LOOP_DOMINANCE,5.1212928467,31.7811744578,9.95335295899,0.571428571429,0.5,0.375,0.187019084948,0.426789166684,0.386191748368,0.120960528498,0.465514836955,0.413524634547,0.0946710506382,0.386445717782,0.51888323158,False,2,22,0,22,3,19,-94.8041465761,-46.231884058,106.039227256,0,0,0,0.120630864278,0.143467686001,False,False,False,True,0.651064598482,0.487179487179,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-07-14..2025-09-29,same_regime_0082,cycle_07|state_5;cycle_11|state_5;cycle_13|state_5,cycle_07;cycle_11;cycle_13,state_5,state_5,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-07-14,2025-09-29,episode_0163|episode_0164|episode_0165|episode_0196|episode_0197|episode_0201,cycle_07|cycle_11|cycle_13,state_5,3,1,6,55,cycle_07,False,state_5,False,cycle_11,0.689070885967,1732.02836995,0.818433352543,0.814407833143,-0,-0,1,True,MAJORITY_LOOP_DOMINANCE,1.67554635154,11.7278703606,3.52343809024,0.509803921569,0.509803921569,0.392156862745,0.255141901451,0.356927452922,0.387930645627,0.224702006315,0.296098318976,0.479199674709,0.175355514954,0.287851153399,0.536793331647,False,2,53,2,51,3,54,-43.6187905393,-30.6283737889,-48.5142788745,-33.2525248475,0,3.5527136788e-15,-0.0319850552619,0.137335695372,False,False,False,False,0.470042561137,0.5,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-10-06..2025-10-27,same_regime_0083,cycle_07|state_5;cycle_11|state_5;cycle_13|state_5,cycle_07;cycle_11;cycle_13,state_5,state_5,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-10-06,2025-10-27,episode_0166|episode_0198|episode_0202|episode_0203,cycle_07|cycle_11|cycle_13,state_5,3,1,4,16,cycle_13,False,state_5,False,cycle_11,0.482264511893,320.344269032,1.01053268068,0.772407449979,-0,-0,1,True,DIFFUSE_MULTI_LOOP,53.922194212,3.47572583736,-13.2623039233,0.8,0.45,0.375,0.404934175815,0.292158838694,0.30290698549,0.456140659306,0.254340399616,0.289518941078,0.179220668903,0.231722544974,0.589056786123,False,1,15,1,15,2,2,-7.78153534017,52.741036238,-119.898105639,75.8200839082,0,0,-0.0813127712918,0.1948279486,False,False,False,False,0.43960346143,0.535714285714,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-11-04..2025-12-30,same_regime_0084,cycle_07|state_5;cycle_11|state_5;cycle_13|state_5,cycle_07;cycle_11;cycle_13,state_5,state_5,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-11-04,2025-12-30,episode_0167|episode_0168|episode_0169|episode_0199|episode_0204,cycle_07|cycle_11|cycle_13,state_5,3,1,5,39,cycle_11,False,state_5,False,cycle_07,0.539610741507,261.409929874,0.690005868213,0.751992922121,-0,-0,1,True,MAJORITY_LOOP_DOMINANCE,-9.70158135039,45.6643042449,-4.7408751049,0.438596491228,0.491228070175,0.315789473684,0.16147438079,0.55337340513,0.28515221408,0.0832794360648,0.629906957743,0.286813606192,0.125290789744,0.486679293975,0.388029916281,False,0,33,0,38,8,31,32.8840900832,-0.334827263993,126.744812885,10.7966094422,0,0,0.0058501918089,0.137215430372,False,True,False,True,0.507768573015,0.47619047619,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-04-01..2025-04-10,same_regime_0085,cycle_06|state_6;cycle_07|state_6;cycle_09|state_6,cycle_06;cycle_07;cycle_09,state_6,state_6,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-04-01,2025-04-10,episode_0144|episode_0170|episode_0186,cycle_06|cycle_07|cycle_09,state_6,3,1,3,8,cycle_06,False,state_6,False,cycle_09,0.4945761987,167.53804119,0.988741460884,0.791719016332,-0,-0,1,True,DIFFUSE_MULTI_LOOP,41.1515125333,9.21673727645,-6.57047096093,0.65,0.45,0.4,0.286615748854,0.45306225944,0.260321991705,0.235935192608,0.468051625293,0.296013182099,0.0495531016807,0.649029199433,0.301417698886,False,0,7,0,5,,,69.6757575758,80.1999996144,67.1506870657,-210.481625496,0,0,-0.18493156689,0.112190738457,False,False,False,False,0.653547507265,0.583333333333,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,2025-04-16..2025-04-25,same_regime_0086,cycle_06|state_6;cycle_07|state_6,cycle_06;cycle_07,state_6,state_6,episode_anatomy,derived_episode_ledgers,60f5870f787b7f79068e50bf2619d3c48671184816bb0eee27f69253a93612be,same_regime,2025-04-16,2025-04-25,episode_0145|episode_0171,cycle_06|cycle_07,state_6,2,1,2,7,cycle_07,False,state_6,False,cycle_06,0.775751185756,406.643029532,0.53223318298,0.600768415036,-0,-0,1,True,MAJORITY_LOOP_DOMINANCE,34.8456252834,-17.7642257267,4.04335217686,0.692307692308,0.307692307692,0.461538461538,0.27539355552,0.391745160068,0.332861284412,0.0719967193425,0.429557997059,0.498445283598,0.118082021298,0.543104857015,0.338813121687,False,0,6,1,2,2,3,151.90066131,2.80475877038,-74.8598181294,-106.694414279,-98.6581549132,0,-0.813126493604,0.142889968615,False,False,False,False,0.572584660583,0.571428571429,False
