run_id,period,session,episode_id,pair,loop,orientation,regime,component,source_artifact,source_hash,calendar_cells,payoff_available_cells,positive_label_available_cells,positive_cells,missing_payoff_cells
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_01|state_1,cycle_01,state_1,state_1,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,4,4,0,246
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_01|state_3,cycle_01,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,12,9,0,238
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_02|state_1,cycle_02,state_1,state_1,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,9,7,2,241
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_02|state_2,cycle_02,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,4,3,3,246
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_04|state_2,cycle_04,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,14,8,5,236
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_04|state_4,cycle_04,state_4,state_4,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,124,93,25,126
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_05|state_0,cycle_05,state_0,state_0,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,139,102,31,111
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_05|state_3,cycle_05,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,2,0,0,248
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_06|state_4,cycle_06,state_4,state_4,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,244,187,51,6
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_06|state_6,cycle_06,state_6,state_6,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,246,187,22,4
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_07|state_5,cycle_07,state_5,state_5,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,231,178,43,19
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_07|state_6,cycle_07,state_6,state_6,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,187,141,18,63
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_08|state_3,cycle_08,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,7,4,1,243
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_08|state_4,cycle_08,state_4,state_4,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,32,25,7,218
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_09|state_3,cycle_09,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,5,2,0,245
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_09|state_6,cycle_09,state_6,state_6,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,120,87,22,130
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_10|state_1,cycle_10,state_1,state_1,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,13,12,4,237
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_11|state_2,cycle_11,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,5,3,0,245
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_11|state_5,cycle_11,state_5,state_5,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,160,122,27,90
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_13|state_5,cycle_13,state_5,state_5,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,107,83,12,143
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_13|state_7,cycle_13,state_7,state_7,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,212,161,47,38
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_20|state_3,cycle_20,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,2,2,0,248
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_01|state_1,cycle_01,state_1,state_1,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,29,25,11,221
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_01|state_3,cycle_01,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,19,14,3,231
