record_type,draw,metric,null_value,real_value,null_q90,real_percentile
draw,0,D2_minus_D1_brier_improvement,-0.0012139140865917164,-0.0033672559176859962,,
draw,1,D2_minus_D1_brier_improvement,-0.00081787079998318912,-0.0033672559176859962,,
draw,2,D2_minus_D1_brier_improvement,-0.0053711778973751234,-0.0033672559176859962,,
draw,3,D2_minus_D1_brier_improvement,-0.0018452888982802285,-0.0033672559176859962,,
draw,4,D2_minus_D1_brier_improvement,-0.0022325715379550859,-0.0033672559176859962,,
draw,5,D2_minus_D1_brier_improvement,-0.0031772028350255943,-0.0033672559176859962,,
draw,6,D2_minus_D1_brier_improvement,0.00029075353463306475,-0.0033672559176859962,,
draw,7,D2_minus_D1_brier_improvement,-0.0017512170872960309,-0.0033672559176859962,,
draw,8,D2_minus_D1_brier_improvement,0.00032922883692740323,-0.0033672559176859962,,
draw,9,D2_minus_D1_brier_improvement,-0.0048716736116024562,-0.0033672559176859962,,
draw,10,D2_minus_D1_brier_improvement,4.8914814840761434e-05,-0.0033672559176859962,,
draw,11,D2_minus_D1_brier_improvement,5.8645370005133701e-05,-0.0033672559176859962,,
draw,12,D2_minus_D1_brier_improvement,-0.0036195672241619015,-0.0033672559176859962,,
draw,13,D2_minus_D1_brier_improvement,-0.0023706305656852611,-0.0033672559176859962,,
draw,14,D2_minus_D1_brier_improvement,-0.00079139314615631062,-0.0033672559176859962,,
draw,15,D2_minus_D1_brier_improvement,-0.0017349957526642257,-0.0033672559176859962,,
draw,16,D2_minus_D1_brier_improvement,-0.0010304332960863194,-0.0033672559176859962,,
draw,17,D2_minus_D1_brier_improvement,0.00068077152736975566,-0.0033672559176859962,,
draw,18,D2_minus_D1_brier_improvement,-0.0022459415310643327,-0.0033672559176859962,,
draw,19,D2_minus_D1_brier_improvement,-0.0017423246371493506,-0.0033672559176859962,,
draw,20,D2_minus_D1_brier_improvement,-0.00082584096931598294,-0.0033672559176859962,,
draw,21,D2_minus_D1_brier_improvement,-0.0020590593717314531,-0.0033672559176859962,,
draw,22,D2_minus_D1_brier_improvement,-0.0013876289641668316,-0.0033672559176859962,,
draw,23,D2_minus_D1_brier_improvement,-0.003495837979625438,-0.0033672559176859962,,
draw,24,D2_minus_D1_brier_improvement,-0.0016836893888246274,-0.0033672559176859962,,
draw,25,D2_minus_D1_brier_improvement,-0.0015501609569279484,-0.0033672559176859962,,
draw,26,D2_minus_D1_brier_improvement,-0.00075937241490064977,-0.0033672559176859962,,
draw,27,D2_minus_D1_brier_improvement,-0.00030147022439577786,-0.0033672559176859962,,
draw,28,D2_minus_D1_brier_improvement,-0.00075455113345002101,-0.0033672559176859962,,
draw,29,D2_minus_D1_brier_improvement,-0.00082237691061873286,-0.0033672559176859962,,
draw,30,D2_minus_D1_brier_improvement,-0.0027663531233068084,-0.0033672559176859962,,
draw,31,D2_minus_D1_brier_improvement,-0.00044116822410605883,-0.0033672559176859962,,
draw,32,D2_minus_D1_brier_improvement,-0.0023610683394019172,-0.0033672559176859962,,
draw,33,D2_minus_D1_brier_improvement,-8.2573757803822145e-05,-0.0033672559176859962,,
draw,34,D2_minus_D1_brier_improvement,-0.0027348887250027709,-0.0033672559176859962,,
draw,35,D2_minus_D1_brier_improvement,-0.00030031958533921488,-0.0033672559176859962,,
draw,36,D2_minus_D1_brier_improvement,-0.0011507879381206232,-0.0033672559176859962,,
draw,37,D2_minus_D1_brier_improvement,0.0003422460849191733,-0.0033672559176859962,,
draw,38,D2_minus_D1_brier_improvement,-0.0027807898491632455,-0.0033672559176859962,,
draw,39,D2_minus_D1_brier_improvement,-0.0022103364394950309,-0.0033672559176859962,,
