scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
checkpoint,6,large_remaining_move,P0,10,0.90000000000000002,1,0,,
checkpoint,6,large_remaining_move,P1,1,0,0.10000000000000001,0,,
checkpoint,6,large_remaining_move,P1,2,0.10000000000000001,0.20000000000000001,1121,0.16928076990506799,0.10615521855486174
checkpoint,6,large_remaining_move,P1,3,0.20000000000000001,0.29999999999999999,1223,0.24226626689021402,0.20359771054783321
checkpoint,6,large_remaining_move,P1,4,0.29999999999999999,0.40000000000000002,437,0.3403587476577915,0.23340961098398169
checkpoint,6,large_remaining_move,P1,5,0.40000000000000002,0.5,156,0.44155275862759824,0.35897435897435898
checkpoint,6,large_remaining_move,P1,6,0.5,0.59999999999999998,92,0.54551000780340075,0.43478260869565216
checkpoint,6,large_remaining_move,P1,7,0.59999999999999998,0.69999999999999996,48,0.63906761074741703,0.625
checkpoint,6,large_remaining_move,P1,8,0.69999999999999996,0.80000000000000004,22,0.74666072618368196,0.54545454545454541
checkpoint,6,large_remaining_move,P1,9,0.80000000000000004,0.90000000000000002,17,0.84760858507525094,0.94117647058823528
checkpoint,6,large_remaining_move,P1,10,0.90000000000000002,1,15,0.95106139918294352,0.46666666666666667
checkpoint,6,large_remaining_move,P2,1,0,0.10000000000000001,116,0.08655193353304616,0.1206896551724138
checkpoint,6,large_remaining_move,P2,2,0.10000000000000001,0.20000000000000001,1171,0.15492576595740951,0.11870196413321947
checkpoint,6,large_remaining_move,P2,3,0.20000000000000001,0.29999999999999999,1026,0.24549640571370179,0.19883040935672514
checkpoint,6,large_remaining_move,P2,4,0.29999999999999999,0.40000000000000002,453,0.34101413387144824,0.24061810154525387
checkpoint,6,large_remaining_move,P2,5,0.40000000000000002,0.5,198,0.44314851988260406,0.39393939393939392
checkpoint,6,large_remaining_move,P2,6,0.5,0.59999999999999998,91,0.54093604775449322,0.46153846153846156
checkpoint,6,large_remaining_move,P2,7,0.59999999999999998,0.69999999999999996,42,0.64515309540191612,0.54761904761904767
checkpoint,6,large_remaining_move,P2,8,0.69999999999999996,0.80000000000000004,19,0.74803906366928319,0.73684210526315785
checkpoint,6,large_remaining_move,P2,9,0.80000000000000004,0.90000000000000002,13,0.84384353026075276,0.53846153846153844
checkpoint,6,large_remaining_move,P2,10,0.90000000000000002,1,2,0.97057315969236679,0.5
