record_type,system,symbol,count,share,maximum_stock_decision_row_share,maximum_stock_economic_selection_share,decision_row_gate_passed,economic_selection_gate_passed
decision_row_share,all_rows,AAL,312,0.049824337272436924,,,,
decision_row_share,all_rows,AAOI,314,0.05014372404982434,,,,
decision_row_share,all_rows,APLD,312,0.049824337272436924,,,,
decision_row_share,all_rows,ASTS,312,0.049824337272436924,,,,
decision_row_share,all_rows,CIFR,314,0.05014372404982434,,,,
decision_row_share,all_rows,HIMS,314,0.05014372404982434,,,,
decision_row_share,all_rows,IONQ,312,0.049824337272436924,,,,
decision_row_share,all_rows,IREN,314,0.05014372404982434,,,,
decision_row_share,all_rows,MARA,314,0.05014372404982434,,,,
decision_row_share,all_rows,MP,314,0.05014372404982434,,,,
decision_row_share,all_rows,MRNA,314,0.05014372404982434,,,,
decision_row_share,all_rows,MSTR,314,0.05014372404982434,,,,
decision_row_share,all_rows,NVTS,312,0.049824337272436924,,,,
decision_row_share,all_rows,QBTS,312,0.049824337272436924,,,,
decision_row_share,all_rows,RGTI,314,0.05014372404982434,,,,
decision_row_share,all_rows,RIOT,312,0.049824337272436924,,,,
decision_row_share,all_rows,RIVN,314,0.05014372404982434,,,,
decision_row_share,all_rows,SMCI,314,0.05014372404982434,,,,
decision_row_share,all_rows,SOFI,312,0.049824337272436924,,,,
decision_row_share,all_rows,WULF,312,0.049824337272436924,,,,
economic_selection_share,behavioural_conjunctions,AAL,4,0.012738853503184714,,,,
economic_selection_share,behavioural_conjunctions,AAOI,19,0.060509554140127389,,,,
economic_selection_share,behavioural_conjunctions,APLD,25,0.079617834394904455,,,,
economic_selection_share,behavioural_conjunctions,ASTS,19,0.060509554140127389,,,,
economic_selection_share,behavioural_conjunctions,CIFR,7,0.022292993630573247,,,,
economic_selection_share,behavioural_conjunctions,HIMS,34,0.10828025477707007,,,,
economic_selection_share,behavioural_conjunctions,IONQ,14,0.044585987261146494,,,,
economic_selection_share,behavioural_conjunctions,IREN,11,0.035031847133757961,,,,
economic_selection_share,behavioural_conjunctions,MARA,3,0.0095541401273885346,,,,
economic_selection_share,behavioural_conjunctions,MP,28,0.089171974522292988,,,,
economic_selection_share,behavioural_conjunctions,MRNA,14,0.044585987261146494,,,,
economic_selection_share,behavioural_conjunctions,MSTR,5,0.015923566878980892,,,,
economic_selection_share,behavioural_conjunctions,NVTS,40,0.12738853503184713,,,,
economic_selection_share,behavioural_conjunctions,QBTS,34,0.10828025477707007,,,,
economic_selection_share,behavioural_conjunctions,RGTI,19,0.060509554140127389,,,,
economic_selection_share,behavioural_conjunctions,RIOT,2,0.006369426751592357,,,,
economic_selection_share,behavioural_conjunctions,RIVN,3,0.0095541401273885346,,,,
economic_selection_share,behavioural_conjunctions,SMCI,12,0.038216560509554139,,,,
economic_selection_share,behavioural_conjunctions,SOFI,8,0.025477707006369428,,,,
economic_selection_share,behavioural_conjunctions,WULF,13,0.041401273885350316,,,,
economic_selection_share,behavioural_dimensions,AAL,4,0.012738853503184714,,,,
economic_selection_share,behavioural_dimensions,AAOI,21,0.066878980891719744,,,,
economic_selection_share,behavioural_dimensions,APLD,25,0.079617834394904455,,,,
economic_selection_share,behavioural_dimensions,ASTS,20,0.063694267515923567,,,,
economic_selection_share,behavioural_dimensions,CIFR,10,0.031847133757961783,,,,
economic_selection_share,behavioural_dimensions,HIMS,33,0.10509554140127389,,,,
economic_selection_share,behavioural_dimensions,IONQ,17,0.054140127388535034,,,,
economic_selection_share,behavioural_dimensions,IREN,9,0.028662420382165606,,,,
economic_selection_share,behavioural_dimensions,MARA,4,0.012738853503184714,,,,
economic_selection_share,behavioural_dimensions,MP,25,0.079617834394904455,,,,
economic_selection_share,behavioural_dimensions,MRNA,16,0.050955414012738856,,,,
economic_selection_share,behavioural_dimensions,MSTR,5,0.015923566878980892,,,,
economic_selection_share,behavioural_dimensions,NVTS,37,0.1178343949044586,,,,
economic_selection_share,behavioural_dimensions,QBTS,28,0.089171974522292988,,,,
economic_selection_share,behavioural_dimensions,RGTI,18,0.057324840764331211,,,,
economic_selection_share,behavioural_dimensions,RIOT,4,0.012738853503184714,,,,
economic_selection_share,behavioural_dimensions,RIVN,2,0.006369426751592357,,,,
economic_selection_share,behavioural_dimensions,SMCI,18,0.057324840764331211,,,,
economic_selection_share,behavioural_dimensions,SOFI,6,0.019108280254777069,,,,
economic_selection_share,behavioural_dimensions,WULF,12,0.038216560509554139,,,,
economic_selection_share,predecessor,AAL,4,0.012738853503184714,,,,
economic_selection_share,predecessor,AAOI,24,0.076433121019108277,,,,
economic_selection_share,predecessor,APLD,31,0.098726114649681534,,,,
economic_selection_share,predecessor,ASTS,20,0.063694267515923567,,,,
economic_selection_share,predecessor,CIFR,11,0.035031847133757961,,,,
economic_selection_share,predecessor,HIMS,28,0.089171974522292988,,,,
economic_selection_share,predecessor,IONQ,18,0.057324840764331211,,,,
economic_selection_share,predecessor,IREN,15,0.047770700636942678,,,,
economic_selection_share,predecessor,MARA,5,0.015923566878980892,,,,
economic_selection_share,predecessor,MP,25,0.079617834394904455,,,,
economic_selection_share,predecessor,MRNA,11,0.035031847133757961,,,,
economic_selection_share,predecessor,MSTR,4,0.012738853503184714,,,,
economic_selection_share,predecessor,NVTS,29,0.092356687898089165,,,,
economic_selection_share,predecessor,QBTS,26,0.082802547770700632,,,,
economic_selection_share,predecessor,RGTI,19,0.060509554140127389,,,,
economic_selection_share,predecessor,RIOT,3,0.0095541401273885346,,,,
economic_selection_share,predecessor,RIVN,1,0.0031847133757961785,,,,
economic_selection_share,predecessor,SMCI,19,0.060509554140127389,,,,
economic_selection_share,predecessor,SOFI,8,0.025477707006369428,,,,
economic_selection_share,predecessor,WULF,13,0.041401273885350316,,,,
summary,all_primary_systems,,80,,0.05014372404982434,0.12738853503184713,True,True
