scope_type,scope_value,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
checkpoint,6,large_remaining_move,P0,0.1633097592300865,0.50920397925263639,0.5,-1.3767401483150792,0,0.048910894221424972,0.20153305653145959,3131,157,20
checkpoint,6,large_remaining_move,P1,0.1531379013491439,0.48420005865255572,0.67114167987321716,-0.4919811448861533,0.89162840961986045,0.06445853324623696,0.20153305653145959,3131,157,20
checkpoint,6,large_remaining_move,P2,0.15250326231819628,0.47927249404631633,0.66786434231378766,-0.41022624305626809,0.90334225952210179,0.052994453613574945,0.20153305653145959,3131,157,20
checkpoint,6,large_remaining_move,P3,0.15282405189328879,0.47977135826945483,0.66566275752773374,-0.42502173819423605,0.8899298140450963,0.050740442686809897,0.20153305653145959,3131,157,20
checkpoint,6,up_given_large_move,D0,0.24856010984672797,0.69025826548484515,0.53795999111810899,-0.8152744181625402,4.8316488331219256,0.015054063066350265,0.53407290015847864,631,153,20
checkpoint,6,up_given_large_move,D1,0.24855451276436874,0.69030989204009585,0.5421587032439088,-0.00024221767664816738,0.5702582199247157,0.04192322834090307,0.53407290015847864,631,153,20
checkpoint,6,up_given_large_move,D2,0.25185470521545028,0.69863934879471656,0.53978683461515176,0.056832582300707563,0.31094676924262882,0.043441680507911751,0.53407290015847864,631,153,20
checkpoint,6,up_given_large_move,D3,0.25318773245488591,0.70191093329457777,0.53662770746280708,0.082160076542555249,0.2162224088836934,0.051362614166602684,0.53407290015847864,631,153,20
checkpoint,12,large_remaining_move,P0,0.17085111102682654,0.525790552854418,0.5,-1.2859197563180937,0,0.034616205737095895,0.21654423506866816,3131,157,20
checkpoint,12,large_remaining_move,P1,0.16237833980481267,0.50389697775101228,0.66434935489263047,-0.39555824762508035,0.89793179365128117,0.050644283981279084,0.21654423506866816,3131,157,20
checkpoint,12,large_remaining_move,P2,0.16052269040465147,0.49714767804328552,0.67015045089571867,-0.32939734145677707,0.91223102548175206,0.041280406240410197,0.21654423506866816,3131,157,20
checkpoint,12,large_remaining_move,P3,0.16097223117897386,0.49797573681929896,0.66989731434749089,-0.36193411823278621,0.87659732084201358,0.040162269481692298,0.21654423506866816,3131,157,20
checkpoint,12,up_given_large_move,D0,0.24680703969507048,0.68673732025385958,0.53898993808049545,-0.60926211781326267,3.6132132239142458,0.0046862333583579108,0.55162241887905605,678,156,20
checkpoint,12,up_given_large_move,D1,0.24877931419899504,0.69059406506009768,0.51371200394033212,0.12373750436751364,0.34910179845297801,0.047458286409162047,0.55162241887905605,678,156,20
checkpoint,12,up_given_large_move,D2,0.25220898464091041,0.69868391881251279,0.51708943146636654,0.16072886756592,0.18011195211682302,0.060206655317477424,0.55162241887905605,678,156,20
checkpoint,12,up_given_large_move,D3,0.25365746727668054,0.70194847543344352,0.51023782718829158,0.18553121633979178,0.085360716142459325,0.056453392091417164,0.55162241887905605,678,156,20
