primitive_loop_id,legacy_event_count,hysteretic_event_count,same_primitive_bounded_shift_fraction,exact_event_agreement,hard_only_events,hysteretic_only_events,orientation_agreement_on_same_primitive,prefix_progress_agreement_on_same_primitive,repeat_depth_agreement_on_same_primitive,legacy_structural_null_observed,legacy_structural_null_mean,legacy_structural_null_rate_ratio,legacy_structural_null_empirical_p,hysteretic_structural_null_observed,hysteretic_structural_null_mean,hysteretic_structural_null_rate_ratio,hysteretic_structural_null_empirical_p,legacy_stock_breadth,hysteretic_stock_breadth,legacy_month_breadth,hysteretic_month_breadth,legacy_first_event_coverage,hysteretic_first_event_coverage,low_soft_support_hard_events,soft_supported_robust_events,run_id,git_sha,contract_hash,data_snapshot_hash,implementation_source_hash,state_model_version,state_model_hash,state_representation,dictionary_version,dictionary_hash,decision_id,symbol,session,decision_timestamp,orientation_id,prefix_progress,source_artifact,source_hash,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion
loop_p_5-6-5,20648,20203,0.857419604804,0.769033320418,2195,1782,0.992939448712,0.995876638048,1,20927,11691.81,1.78988539841,0.00990099009901,20318,11905.39,1.70662195863,0.00990099009901,22,22,12,12,0.0486312452453,0.0475831580633,2563,11482,3b8fb195297cf76edbc309e6,66cd706fa727ac5873b299d5c22388221203f451,dd44ce458f41a16f023a49b9be7ab3f762ed31b07d42fc6e1ba673f233546c55,4b613ea262583ab77426813fc39b0210e2e737e0dbb042996feb5f4201c64349,eb12d895260f52d0b8e83a7aa90f5f86d9d27612f9b853237d4db645a89c4ec9,causal_semimarkov_posterior_export_v2_tail78,d5fb65d1512f625c91e93564da9c5596ff84b02956a3b46faab65a7126f491c2,not_applicable,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,4b613ea262583ab77426813fc39b0210e2e737e0dbb042996feb5f4201c64349,True,False,disabled,False,False,False,False,False
loop_p_4-6-4,17940,18141,0.883166109253,0.81856187291,1671,1840,0.992678616511,0.995518808382,1,17975,10572.27,1.70020251091,0.00990099009901,18122,11312.83,1.60189802198,0.00990099009901,22,22,12,12,0.0422532225737,0.0427266282447,1412,10069,3b8fb195297cf76edbc309e6,66cd706fa727ac5873b299d5c22388221203f451,dd44ce458f41a16f023a49b9be7ab3f762ed31b07d42fc6e1ba673f233546c55,4b613ea262583ab77426813fc39b0210e2e737e0dbb042996feb5f4201c64349,eb12d895260f52d0b8e83a7aa90f5f86d9d27612f9b853237d4db645a89c4ec9,causal_semimarkov_posterior_export_v2_tail78,d5fb65d1512f625c91e93564da9c5596ff84b02956a3b46faab65a7126f491c2,not_applicable,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,4b613ea262583ab77426813fc39b0210e2e737e0dbb042996feb5f4201c64349,True,False,disabled,False,False,False,False,False
