symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
0155E0,897059965,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.043185+00:00,
016100,319811295,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:06.762452+00:00,
017250,852103380,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:06.526769+00:00,
017900,17382848,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:00.006401+00:00,
0197V0,908455422,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.482744+00:00,
020150,108775402,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.020947+00:00,
0220W0,906321800,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:04.550988+00:00,
023410,338002937,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.659243+00:00,
024060,852102595,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:13.729941+00:00,
024850,852100699,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.852157+00:00,
025820,839404725,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.656621+00:00,
029480,852104140,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.029854+00:00,
032820,844203044,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.897750+00:00,
032940,852105897,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:17.304816+00:00,
033170,852102228,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:05.786299+00:00,
034020,17382942,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.446816+00:00,
035610,852104325,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:00.435513+00:00,
036800,852104466,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.584354+00:00,
040160,852101154,,False,2,2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.315882+00:00,
040300,852105350,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:55.952912+00:00,
042510,852104704,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:57.100621+00:00,
043710,852102004,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.514386+00:00,
045390,362155957,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:16.102215+00:00,
045970,852106495,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:06.509955+00:00,
046120,852102999,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.319122+00:00,
046970,852101295,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:17.642138+00:00,
047040,17382963,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.136133+00:00,
052220,852106485,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:55.951494+00:00,
052400,537638860,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:02.176487+00:00,
052690,89139897,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.836775+00:00,
052710,852106672,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:01.445138+00:00,
058110,852101999,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:02.844366+00:00,
062970,852103976,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:02.651256+00:00,
064290,852105199,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.838485+00:00,
067920,852105084,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:00.918745+00:00,
