group,month,rows,log_loss_improvement
pooled,2024-09,27,0.00611858822595809
pooled,2024-10,130,-0.1211518530241882
pooled,2024-11,125,-0.01163842988671604
pooled,2024-12,119,0.09405699505290732
cycle_04|state4,2024-09,9,-0.2080982990447925
cycle_04|state4,2024-10,41,-0.09319225702085727
cycle_04|state4,2024-11,28,0.04762261086539278
cycle_04|state4,2024-12,34,-0.051017437482034675
cycle_07|state5,2024-09,18,0.11322703186133339
cycle_07|state5,2024-10,89,-0.13403211635156537
cycle_07|state5,2024-11,97,-0.02874470969144848
cycle_07|state5,2024-12,85,0.15208676806688415
