model,group,rows,mae_bps,rmse_bps,baseline_rmse_bps,spearman,calibration_slope,calibration_intercept_bps,positive_share,negative_share,unknown_share
admission_only,pooled,401,240.72369096457157,342.9865772534061,341.0573482796646,0.1640473748552853,0.6958455336334556,46.24438483353985,0.0,0.0,1.0
admission_only,cycle_04|state4,112,147.8472075859497,200.88220206546887,197.06907584925293,-0.013214541975603924,0.029815286569759878,-15.007347061988641,0.0,0.0,1.0
admission_only,cycle_07|state5,289,276.71734542272264,384.17640683180787,382.5551923342033,0.12424637287038327,0.512403949430415,77.61945582390271,0.0,0.0,1.0
admission_plus_causal_route_probabilities,pooled,401,238.84180855894445,342.6978292926425,341.0573482796646,0.17305266182541368,0.5992652425861482,41.35046883103809,0.0,0.0,1.0
admission_plus_causal_route_probabilities,cycle_04|state4,112,147.18268160859625,202.11961263830034,197.06907584925293,-0.05111559093859979,-0.19928236477387426,-15.168571446094168,0.0,0.0,1.0
admission_plus_causal_route_probabilities,cycle_07|state5,289,274.36368474731466,383.56685511871086,382.5551923342033,0.13298041849642622,0.41738544291011537,75.26174146770998,0.0,0.0,1.0
