config,base_events,base_total_r,candidate_events,overlap_with_or_stack,addon_events,addon_source_total_r,addon_source_mean_r,addon_source_win_rate,addon_confirmed_total_r,addon_confirmed_mean_r,addon_confirmed_win_rate,source_combined_events,source_combined_total_r,source_combined_mean_r,source_combined_win_rate,confirmed_combined_events,confirmed_combined_total_r,confirmed_combined_mean_r,confirmed_combined_win_rate,median_delay_min
2025_to_2026|5d|thr=1.1|refresh|all|top3,29,21.774751207706334,8,0,8,5.2,0.65,0.875,-0.8270108175619602,-0.10337635219524502,0.5,37,26.974751207706333,0.729047329938009,0.918918918918919,37,20.947740390144375,0.5661551456795777,0.8378378378378378,12.5
pre2026_to_2026|5d|thr=1.0|refresh|all|top5,29,21.774751207706334,11,0,11,4.06913054157448,0.3699209583249527,0.7272727272727273,0.87298918243804,0.07936265294891273,0.5454545454545454,40,25.84388174928082,0.6460970437320205,0.875,40,22.647740390144378,0.5661935097536095,0.825,15.0
pre2026_to_2026|10d|thr=1.0|refresh|first2_per_window|top1,29,21.774751207706334,10,0,10,1.86908853737408,0.186908853737408,0.6,1.4533134093968598,0.14533134093968597,0.6,39,23.643839745080413,0.606252301155908,0.8461538461538461,39,23.228064617103193,0.5955914004385434,0.8461538461538461,12.5
2025_to_2026|10d|thr=1.0|refresh|loop_first|top2,29,21.774751207706334,12,0,12,1.6690885373740796,0.13909071144783997,0.5833333333333334,1.2533134093968596,0.10444278411640497,0.5833333333333334,41,23.443839745080417,0.5718009693922053,0.8292682926829268,41,23.028064617103198,0.5616601126122731,0.8292682926829268,15.0
